Configured
00/00/0000, 00:00:00, Master Init Complete
11/11/2012, 15:43:59, Note,1
11/11/2012, 15:44:00, Note,2
11/11/2012, 15:44:00, Note,3
11/11/2012, 15:44:00, Note,4
11/11/2012, 15:44:00, Note,4
11/11/2012, 15:44:01, Note,5
11/11/2012, 15:44:01, Note,3
11/11/2012, 15:44:01, Note,4
11/11/2012, 15:44:01, Note,3
11/11/2012, 15:44:01, Note,4
11/11/2012, 15:44:01, Note,1
11/11/2012, 15:44:01, Note,3
11/11/2012, 15:44:01, Note,2
11/11/2012, 15:44:02, Note,1
11/11/2012, 15:44:02, Note,2
11/11/2012, 15:44:02, Note,2
11/11/2012, 15:44:02, Note,2
11/11/2012, 15:44:02, Switching to instrument 1
11/11/2012, 15:44:02, Note,3
11/11/2012, 15:44:03, Note,2
11/11/2012, 15:44:03, Note,4
11/11/2012, 15:44:04, Note,2
11/11/2012, 15:44:04, Note,3
11/11/2012, 15:44:04, Note,1
11/11/2012, 15:44:04, Note,1
11/11/2012, 15:44:04, Note,4
11/11/2012, 15:44:04, Note,1
11/11/2012, 15:44:04, Note,5
11/11/2012, 15:44:04, Note,2
11/11/2012, 15:44:05, Note,1
11/11/2012, 15:44:05, Note,2
11/11/2012, 15:44:05, Note,1
11/11/2012, 15:44:05, Note,5
11/11/2012, 15:44:05, Note,1
11/11/2012, 15:44:05, Note,6
11/11/2012, 15:44:06, Note,7
11/11/2012, 15:44:06, Note,8
11/11/2012, 15:44:07, Note,6
11/11/2012, 15:44:07, Note,6
11/11/2012, 15:44:07, Note,6
11/11/2012, 15:44:08, Note,5
11/11/2012, 15:44:08, Note,5
11/11/2012, 15:44:08, Note,6
11/11/2012, 15:44:08, Note,3
11/11/2012, 15:44:08, Note,4
11/11/2012, 15:44:08, Note,2
11/11/2012, 15:44:08, Note,1
11/11/2012, 15:44:08, Note,2
11/11/2012, 15:44:08, Switching to instrument 2
11/11/2012, 15:44:08, Note,1
11/11/2012, 15:44:08, Note,3
11/11/2012, 15:44:09, Note,2
11/11/2012, 15:44:09, Note,1
11/11/2012, 15:44:09, Note,3
11/11/2012, 15:44:09, Note,1
11/11/2012, 15:44:10, Note,1
11/11/2012, 15:44:11, Note,2
11/11/2012, 15:44:11, Note,3
11/11/2012, 15:44:11, Note,3
11/11/2012, 15:44:11, Note,7
11/11/2012, 15:44:12, Note,6
11/11/2012, 15:44:12, Note,7
11/11/2012, 15:44:12, Note,4
11/11/2012, 15:44:12, Note,5
11/11/2012, 15:44:12, Note,4
11/11/2012, 15:44:12, Note,5
11/11/2012, 15:44:13, Note,3
11/11/2012, 15:44:14, Note,2
11/11/2012, 15:44:14, Switching to instrument 3
11/11/2012, 15:44:14, Note,3
11/11/2012, 15:44:14, Note,2
11/11/2012, 15:44:15, Note,2
11/11/2012, 15:44:15, Note,3
11/11/2012, 15:44:15, Note,4
11/11/2012, 15:44:15, Note,1
11/11/2012, 15:44:16, Note,5
11/11/2012, 15:44:16, Note,6
11/11/2012, 15:44:16, Note,5
11/11/2012, 15:44:16, Note,5
11/11/2012, 15:44:16, Note,7
11/11/2012, 15:44:16, Note,6
11/11/2012, 15:44:17, Note,8
11/11/2012, 15:44:17, Note,7
11/11/2012, 15:44:17, Note,8
11/11/2012, 15:44:18, Note,4
11/11/2012, 15:44:18, Note,3
11/11/2012, 15:44:18, Note,2
11/11/2012, 15:44:18, Note,2
11/11/2012, 15:44:18, Note,2
11/11/2012, 15:44:19, Note,2
11/11/2012, 15:44:19, Note,1
11/11/2012, 15:44:19, Switching to instrument 4
11/11/2012, 15:44:19, Note,3
11/11/2012, 15:44:19, Note,2
11/11/2012, 15:44:20, Note,1
11/11/2012, 15:44:20, Note,1
11/11/2012, 15:44:20, Note,3
11/11/2012, 15:44:20, Note,1
11/11/2012, 15:44:20, Note,1
11/11/2012, 15:44:20, Note,2
11/11/2012, 15:44:20, Note,4
11/11/2012, 15:44:20, Note,2
11/11/2012, 15:44:21, Note,4
11/11/2012, 15:44:21, Note,1
11/11/2012, 15:44:21, Note,1
11/11/2012, 15:44:21, Note,2
11/11/2012, 15:44:21, Note,2
11/11/2012, 15:44:21, Note,5
11/11/2012, 15:44:21, Note,1
11/11/2012, 15:44:21, Note,3
11/11/2012, 15:44:21, Note,6
11/11/2012, 15:44:22, Note,4
11/11/2012, 15:44:22, Note,7
11/11/2012, 15:44:22, Note,8
