00/00/0000, 00:00:00, Master Init Complete
08/16/2012, 18:52:17, Screen Saver
08/16/2012, 18:52:28, Screen Saver
08/16/2012, 18:52:39, Screen Saver
08/16/2012, 18:52:50, Screen Saver
08/16/2012, 18:52:59, Note,6
08/16/2012, 18:53:00, Note,5
08/16/2012, 18:53:00, Note,4
08/16/2012, 18:53:00, Note,4
08/16/2012, 18:53:01, Note,3
08/16/2012, 18:53:01, Note,2
08/16/2012, 18:53:02, Note,1
08/16/2012, 18:53:03, Note,1
08/16/2012, 18:53:04, Note,2
08/16/2012, 18:53:04, Note,2
08/16/2012, 18:53:05, Note,1
08/16/2012, 18:53:05, Note,3
08/16/2012, 18:53:05, Note,2
08/16/2012, 18:53:05, Note,1
08/16/2012, 18:53:06, Note,3
08/16/2012, 18:53:06, Note,4
08/16/2012, 18:53:06, Note,5
08/16/2012, 18:53:06, Note,2
08/16/2012, 18:53:06, Note,3
08/16/2012, 18:53:06, Note,7
08/16/2012, 18:53:06, Note,4
08/16/2012, 18:53:07, Note,6
08/16/2012, 18:53:07, Note,7
08/16/2012, 18:53:07, Note,8
08/16/2012, 18:53:07, Note,7
08/16/2012, 18:53:07, Note,6
08/16/2012, 18:53:08, Note,5
08/16/2012, 18:53:08, Note,4
08/16/2012, 18:53:08, Note,3
08/16/2012, 18:53:08, Note,2
08/16/2012, 18:53:08, Note,1
08/16/2012, 18:53:15, Switching to instrument 1
08/16/2012, 18:53:16, Note,2
08/16/2012, 18:53:17, Note,3
08/16/2012, 18:53:17, Note,5
08/16/2012, 18:53:17, Note,4
08/16/2012, 18:53:17, Note,5
08/16/2012, 18:53:17, Note,6
08/16/2012, 18:53:17, Note,4
08/16/2012, 18:53:18, Note,5
08/16/2012, 18:53:18, Note,7
08/16/2012, 18:53:18, Note,3
08/16/2012, 18:53:18, Note,8
08/16/2012, 18:53:19, Note,6
08/16/2012, 18:53:19, Note,5
08/16/2012, 18:53:19, Note,4
08/16/2012, 18:53:19, Note,3
08/16/2012, 18:53:19, Note,1
08/16/2012, 18:53:19, Note,2
08/16/2012, 18:53:20, Note,1
08/16/2012, 18:53:21, Note,2
08/16/2012, 18:53:21, Switching to instrument 2
08/16/2012, 18:53:22, Note,1
08/16/2012, 18:53:23, Note,2
08/16/2012, 18:53:23, Note,4
08/16/2012, 18:53:24, Note,5
08/16/2012, 18:53:24, Note,7
08/16/2012, 18:53:25, Note,8
08/16/2012, 18:53:25, Note,7
08/16/2012, 18:53:25, Note,6
08/16/2012, 18:53:25, Note,5
08/16/2012, 18:53:25, Note,4
08/16/2012, 18:53:25, Note,3
08/16/2012, 18:53:26, Note,2
08/16/2012, 18:53:26, Note,1
08/16/2012, 18:53:30, Note,1
08/16/2012, 18:53:31, Note,2
08/16/2012, 18:53:31, Note,3
08/16/2012, 18:53:32, Note,1
08/16/2012, 18:53:32, Note,1
08/16/2012, 18:53:32, Note,3
08/16/2012, 18:53:33, Switching to instrument 3
08/16/2012, 18:53:34, Note,1
08/16/2012, 18:53:35, Note,2
08/16/2012, 18:53:35, Note,3
08/16/2012, 18:53:35, Note,4
08/16/2012, 18:53:36, Note,5
08/16/2012, 18:53:36, Note,6
08/16/2012, 18:53:36, Note,5
08/16/2012, 18:53:36, Note,5
08/16/2012, 18:53:36, Note,7
08/16/2012, 18:53:37, Note,6
08/16/2012, 18:53:37, Note,5
08/16/2012, 18:53:37, Note,4
08/16/2012, 18:53:37, Note,3
08/16/2012, 18:53:37, Note,2
08/16/2012, 18:53:37, Note,1
08/16/2012, 18:53:38, Switching to instrument 4
08/16/2012, 18:53:39, Note,1
08/16/2012, 18:53:39, Note,1
08/16/2012, 18:53:40, Note,2
08/16/2012, 18:53:40, Note,3
08/16/2012, 18:53:40, Note,4
08/16/2012, 18:53:40, Note,5
08/16/2012, 18:53:40, Note,2
08/16/2012, 18:53:40, Note,6
08/16/2012, 18:53:40, Note,3
08/16/2012, 18:53:40, Note,4
08/16/2012, 18:53:41, Note,6
08/16/2012, 18:53:41, Note,5
08/16/2012, 18:53:41, Note,4
08/16/2012, 18:53:41, Note,3
08/16/2012, 18:53:41, Note,2
08/16/2012, 18:53:41, Note,2
08/16/2012, 18:53:41, Note,4
08/16/2012, 18:53:41, Note,5
08/16/2012, 18:53:42, Note,7
08/16/2012, 18:53:42, Note,6
08/16/2012, 18:53:42, Note,4
08/16/2012, 18:53:42, Note,3
08/16/2012, 18:53:42, Note,6
08/16/2012, 18:53:42, Note,7
08/16/2012, 18:53:42, Note,8
08/16/2012, 18:53:43, Note,7
08/16/2012, 18:53:43, Note,6
08/16/2012, 18:53:43, Note,1
08/16/2012, 18:53:43, Note,3
08/16/2012, 18:53:44, Switching to noises
08/16/2012, 18:53:45, Note,3
08/16/2012, 18:53:45, Note,3
08/16/2012, 18:53:45, Note,4
08/16/2012, 18:53:45, Note,3
08/16/2012, 18:53:45, Note,5
08/16/2012, 18:53:46, Note,4
08/16/2012, 18:53:46, Note,4
08/16/2012, 18:53:46, Note,6
08/16/2012, 18:53:46, Note,6
08/16/2012, 18:53:46, Note,7
08/16/2012, 18:53:46, Note,2
08/16/2012, 18:53:46, Note,3
08/16/2012, 18:53:47, Note,4
08/16/2012, 18:53:47, Note,7
08/16/2012, 18:53:47, Note,4
08/16/2012, 18:53:47, Note,7
08/16/2012, 18:53:47, Note,3
08/16/2012, 18:53:47, Note,6
08/16/2012, 18:53:47, Note,5
08/16/2012, 18:53:47, Note,3
08/16/2012, 18:53:47, Note,4
08/16/2012, 18:53:48, Note,3
08/16/2012, 18:53:48, Note,4
08/16/2012, 18:53:48, Note,1
08/16/2012, 18:53:48, Note,4
08/16/2012, 18:53:48, Note,1
08/16/2012, 18:53:49, Note,4
08/16/2012, 18:53:49, Note,5
08/16/2012, 18:53:49, Note,6
08/16/2012, 18:53:49, Note,5
08/16/2012, 18:53:49, Note,5
08/16/2012, 18:53:49, Note,3
08/16/2012, 18:53:50, Note,4
08/16/2012, 18:53:50, Note,3
08/16/2012, 18:53:51, Note,2
08/16/2012, 18:53:51, Note,3
08/16/2012, 18:53:51, Note,4
08/16/2012, 18:53:51, Note,1
08/16/2012, 18:53:51, Note,1
08/16/2012, 18:53:51, Note,2
08/16/2012, 18:53:51, Note,1
08/16/2012, 18:53:52, Note,1
08/16/2012, 18:53:52, Note,3
08/16/2012, 18:53:52, Note,4
08/16/2012, 18:53:52, Note,5
08/16/2012, 18:53:53, Note,4
08/16/2012, 18:53:53, Note,7
08/16/2012, 18:53:53, Note,8
08/16/2012, 18:53:53, Note,7
08/16/2012, 18:53:53, Note,5
08/16/2012, 18:53:53, Note,5
08/16/2012, 18:53:53, Note,4
08/16/2012, 18:53:53, Note,6
08/16/2012, 18:53:53, Note,4
08/16/2012, 18:53:53, Note,6
08/16/2012, 18:53:54, Note,4
08/16/2012, 18:53:54, Note,3
08/16/2012, 18:53:54, Note,2
08/16/2012, 18:53:54, Note,1
08/16/2012, 18:53:55, Switching to instrument 0
08/16/2012, 18:53:56, Note,1
08/16/2012, 18:53:56, Note,1
08/16/2012, 18:53:57, Note,2
08/16/2012, 18:53:57, Note,3
08/16/2012, 18:53:57, Note,4
08/16/2012, 18:53:57, Note,2
08/16/2012, 18:53:57, Note,3
08/16/2012, 18:53:57, Note,6
08/16/2012, 18:53:57, Note,4
08/16/2012, 18:53:57, Note,7
08/16/2012, 18:53:57, Note,5
08/16/2012, 18:53:57, Note,7
08/16/2012, 18:53:58, Note,5
08/16/2012, 18:53:58, Note,8
08/16/2012, 18:53:58, Note,8
08/16/2012, 18:53:58, Note,7
08/16/2012, 18:53:58, Note,6
08/16/2012, 18:53:59, Note,5
08/16/2012, 18:53:59, Note,4
08/16/2012, 18:53:59, Note,3
08/16/2012, 18:53:59, Note,2
08/16/2012, 18:53:59, Note,1
08/16/2012, 18:54:04, Switching to instrument 1
08/16/2012, 18:54:04, Note,1
08/16/2012, 18:54:05, Note,1
08/16/2012, 18:54:05, Note,2
08/16/2012, 18:54:05, Note,3
08/16/2012, 18:54:06, Note,4
08/16/2012, 18:54:06, Note,5
08/16/2012, 18:54:08, Note,7
08/16/2012, 18:54:08, Note,3
08/16/2012, 18:54:09, Note,3
08/16/2012, 18:54:09, Note,6
08/16/2012, 18:54:09, Note,5
08/16/2012, 18:54:10, Note,3
08/16/2012, 18:54:10, Note,5
08/16/2012, 18:54:10, Note,4
08/16/2012, 18:54:10, Note,6
08/16/2012, 18:54:10, Note,5
08/16/2012, 18:54:10, Note,6
08/16/2012, 18:54:10, Note,4
08/16/2012, 18:54:10, Note,5
08/16/2012, 18:54:10, Note,3
08/16/2012, 18:54:10, Note,4
08/16/2012, 18:54:11, Note,4
08/16/2012, 18:54:11, Note,3
08/16/2012, 18:54:11, Note,5
08/16/2012, 18:54:11, Note,4
08/16/2012, 18:54:11, Note,6
08/16/2012, 18:54:11, Note,5
08/16/2012, 18:54:11, Note,5
08/16/2012, 18:54:11, Note,4
08/16/2012, 18:54:11, Note,6
08/16/2012, 18:54:11, Note,4
08/16/2012, 18:54:11, Note,4
08/16/2012, 18:54:12, Note,5
08/16/2012, 18:54:12, Note,3
08/16/2012, 18:54:12, Note,7
08/16/2012, 18:54:12, Note,5
08/16/2012, 18:54:12, Note,6
08/16/2012, 18:54:12, Note,7
08/16/2012, 18:54:12, Note,8
08/16/2012, 18:54:12, Note,6
08/16/2012, 18:54:13, Note,5
08/16/2012, 18:54:13, Note,4
08/16/2012, 18:54:13, Note,3
08/16/2012, 18:54:13, Note,2
08/16/2012, 18:54:13, Note,2
08/16/2012, 18:54:14, Note,3
08/16/2012, 18:54:14, Note,4
08/16/2012, 18:54:14, Note,5
08/16/2012, 18:54:14, Note,6
08/16/2012, 18:54:14, Note,7
08/16/2012, 18:54:15, Note,8
08/16/2012, 18:54:16, Note,6
08/16/2012, 18:54:16, Note,5
08/16/2012, 18:54:16, Note,4
08/16/2012, 18:54:16, Note,3
08/16/2012, 18:54:16, Note,2
08/16/2012, 18:54:16, Note,1
08/16/2012, 18:54:17, Note,2
08/16/2012, 18:54:17, Note,3
08/16/2012, 18:54:17, Note,4
08/16/2012, 18:54:17, Note,5
08/16/2012, 18:54:17, Note,7
08/16/2012, 18:54:17, Note,8
08/16/2012, 18:54:18, Note,7
08/16/2012, 18:54:18, Note,5
08/16/2012, 18:54:18, Note,4
08/16/2012, 18:54:18, Note,3
08/16/2012, 18:54:18, Note,2
08/16/2012, 18:54:18, Note,3
08/16/2012, 18:54:18, Note,5
08/16/2012, 18:54:19, Note,5
08/16/2012, 18:54:19, Note,4
08/16/2012, 18:54:19, Note,3
08/16/2012, 18:54:21, Switching to instrument 2
08/16/2012, 18:54:22, Note,1
08/16/2012, 18:54:22, Note,2
08/16/2012, 18:54:23, Note,3
08/16/2012, 18:54:23, Note,4
08/16/2012, 18:54:24, Note,5
08/16/2012, 18:54:24, Note,6
08/16/2012, 18:54:24, Note,7
08/16/2012, 18:54:25, Note,8
08/16/2012, 18:54:26, Note,8
08/16/2012, 18:54:26, Note,6
08/16/2012, 18:54:26, Note,4
08/16/2012, 18:54:26, Note,3
08/16/2012, 18:54:26, Note,4
08/16/2012, 18:54:26, Note,5
08/16/2012, 18:54:26, Note,6
08/16/2012, 18:54:27, Note,6
08/16/2012, 18:54:27, Note,6
08/16/2012, 18:54:27, Note,4
08/16/2012, 18:54:29, Switching to instrument 3
08/16/2012, 18:54:31, Note,3
08/16/2012, 18:54:32, Note,3
08/16/2012, 18:54:33, Note,4
08/16/2012, 18:54:33, Note,4
08/16/2012, 18:54:33, Note,5
08/16/2012, 18:54:33, Note,4
