Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
00/00/0000, 00:00:00, Switching to instrument 0
IR Controller Online
Light Controller Online
Master Init Complete
10/28/2011, 09:40:28, Switching to instrument 1
10/28/2011, 09:40:28, Switching to instrument 2
10/28/2011, 09:40:29, Switching to instrument 3
10/28/2011, 09:40:30, Note,1
10/28/2011, 09:40:31, Note,2
10/28/2011, 09:40:31, Switching to instrument 4
10/28/2011, 09:40:31, Switching to noises
10/28/2011, 09:40:32, Switching to instrument 0
10/28/2011, 09:40:33, Note,1
10/28/2011, 09:40:33, Note,1
10/28/2011, 09:40:33, Note,1
10/28/2011, 09:40:34, Note,1
10/28/2011, 09:40:34, Note,1
10/28/2011, 09:40:34, Note,1
10/28/2011, 09:40:34, Note,1
10/28/2011, 09:40:34, Note,1
10/28/2011, 09:40:34, Note,1
10/28/2011, 09:40:34, Note,1
10/28/2011, 09:40:35, Note,1
10/28/2011, 09:40:35, Note,2
10/28/2011, 09:40:36, Note,2
10/28/2011, 09:40:36, Note,2
10/28/2011, 09:40:36, Note,2
10/28/2011, 09:40:38, Note,3
10/28/2011, 09:40:38, Note,3
10/28/2011, 09:40:41, Note,4
10/28/2011, 09:42:23, Note,1
10/28/2011, 09:42:25, Note,1
10/28/2011, 09:42:25, Note,1
10/28/2011, 09:42:25, Note,1
10/28/2011, 09:42:26, Note,8
10/28/2011, 09:42:26, Note,8
10/28/2011, 09:42:26, Note,1
10/28/2011, 09:42:26, Note,1
10/28/2011, 09:42:26, Note,8
10/28/2011, 09:42:26, Note,1
10/28/2011, 09:42:26, Note,1
10/28/2011, 09:42:27, Note,8
10/28/2011, 09:42:27, Note,6
10/28/2011, 09:42:27, Note,1
10/28/2011, 09:42:27, Note,2
10/28/2011, 09:42:27, Note,2
10/28/2011, 09:42:27, Note,2
10/28/2011, 09:42:28, Note,4
10/28/2011, 09:42:29, Note,4
10/28/2011, 09:42:29, Note,6
10/28/2011, 09:42:29, Note,7
10/28/2011, 09:42:30, Note,3
10/28/2011, 09:42:30, Note,5
10/28/2011, 09:42:30, Note,4
10/28/2011, 09:42:30, Note,5
10/28/2011, 09:42:31, Note,6
10/28/2011, 09:42:32, Note,5
10/28/2011, 09:42:32, Note,4
10/28/2011, 09:42:33, Note,7
10/28/2011, 09:42:33, Note,6
10/28/2011, 09:42:33, Note,7
10/28/2011, 09:42:34, Note,1
10/28/2011, 09:42:34, Note,4
10/28/2011, 09:42:35, Note,2
10/28/2011, 09:42:35, Note,2
10/28/2011, 09:42:35, Note,1
10/28/2011, 09:42:35, Note,1
10/28/2011, 09:42:35, Note,1
10/28/2011, 09:42:35, Note,1
10/28/2011, 09:42:36, Note,3
10/28/2011, 09:42:37, Note,3
10/28/2011, 09:42:38, Switching to instrument 1
10/28/2011, 09:42:38, Switching to instrument 2
10/28/2011, 09:42:38, Note,3
10/28/2011, 09:42:38, Note,8
10/28/2011, 09:42:38, Note,7
10/28/2011, 09:42:38, Note,6
