Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
00/00/0000, 00:00:00, Switching to instrument 0
IR Controller Online
Light Controller Online
Master Init Complete
11/03/2011, 14:39:18, Switching to instrument 1
11/03/2011, 14:39:18, Switching to instrument 2
11/03/2011, 14:39:18, Switching to instrument 3
11/03/2011, 14:39:20, Switching to instrument 4
11/03/2011, 14:39:21, Note,1
11/03/2011, 14:39:22, Note,2
11/03/2011, 14:39:22, Note,2
11/03/2011, 14:39:22, Note,3
11/03/2011, 14:39:23, Note,3
11/03/2011, 14:39:23, Note,4
11/03/2011, 14:39:25, Note,8
11/03/2011, 14:39:25, Note,8
11/03/2011, 14:39:28, Note,7
11/03/2011, 14:39:32, Switching to noises
11/03/2011, 14:39:32, Switching to instrument 0
11/03/2011, 14:39:33, Switching to instrument 1
11/03/2011, 14:39:35, Switching to instrument 2
11/03/2011, 14:40:03, Note,8
11/03/2011, 14:40:04, Note,7
11/03/2011, 14:40:04, Note,6
11/03/2011, 14:40:04, Note,5
11/03/2011, 14:40:04, Note,4
11/03/2011, 14:40:04, Note,3
11/03/2011, 14:40:05, Note,3
11/03/2011, 14:40:05, Note,3
11/03/2011, 14:40:05, Note,4
11/03/2011, 14:40:05, Note,5
11/03/2011, 14:40:05, Note,6
11/03/2011, 14:40:05, Note,7
11/03/2011, 14:40:08, Note,8
11/03/2011, 14:40:08, Note,7
11/03/2011, 14:40:08, Note,6
11/03/2011, 14:40:09, Note,5
11/03/2011, 14:40:09, Note,4
11/03/2011, 14:40:09, Note,4
11/03/2011, 14:40:09, Note,5
11/03/2011, 14:40:09, Note,6
11/03/2011, 14:40:10, Note,8
11/03/2011, 14:40:14, Note,7
11/03/2011, 14:40:15, Note,5
11/03/2011, 14:40:15, Note,7
11/03/2011, 14:40:15, Note,8
11/03/2011, 14:40:20, Note,8
11/03/2011, 14:40:20, Note,6
11/03/2011, 14:40:21, Note,6
11/03/2011, 14:40:21, Note,7
11/03/2011, 14:40:21, Note,8
11/03/2011, 14:40:22, Note,8
11/03/2011, 14:40:22, Note,7
11/03/2011, 14:40:22, Note,6
11/03/2011, 14:40:22, Note,6
11/03/2011, 14:40:23, Note,7
11/03/2011, 14:40:23, Note,8
11/03/2011, 14:40:23, Note,7
11/03/2011, 14:42:05, Note,8
11/03/2011, 14:42:05, Note,7
11/03/2011, 14:42:05, Note,6
11/03/2011, 14:42:05, Note,5
11/03/2011, 14:42:06, Note,4
11/03/2011, 14:42:06, Note,2
11/03/2011, 14:42:06, Note,1
11/03/2011, 14:42:08, Switching to instrument 3
11/03/2011, 14:42:08, Switching to instrument 4
11/03/2011, 14:42:10, Note,2
11/03/2011, 14:42:10, Note,4
11/03/2011, 14:42:12, Note,7
11/03/2011, 14:42:12, Note,1
11/03/2011, 14:42:13, Note,3
11/03/2011, 14:42:14, Note,8
11/03/2011, 14:42:14, Note,8
11/03/2011, 14:42:14, Note,8
11/03/2011, 14:42:14, Note,2
11/03/2011, 14:42:14, Note,8
11/03/2011, 14:42:14, Note,2
11/03/2011, 14:42:15, Note,2
11/03/2011, 14:42:15, Note,3
11/03/2011, 14:42:15, Note,4
11/03/2011, 14:42:15, Note,4
11/03/2011, 14:42:15, Note,2
11/03/2011, 14:42:16, Note,3
11/03/2011, 14:42:16, Note,4
11/03/2011, 14:42:16, Note,4
11/03/2011, 14:42:16, Note,2
11/03/2011, 14:42:16, Note,3
11/03/2011, 14:42:16, Note,4
11/03/2011, 14:42:17, Note,4
11/03/2011, 14:42:17, Note,2
11/03/2011, 14:42:17, Note,8
11/03/2011, 14:42:17, Note,3
11/03/2011, 14:42:17, Note,8
11/03/2011, 14:42:17, Note,8
11/03/2011, 14:42:17, Note,3
11/03/2011, 14:42:17, Note,8
11/03/2011, 14:42:17, Note,2
11/03/2011, 14:42:17, Note,8
11/03/2011, 14:42:17, Note,2
11/03/2011, 14:42:17, Note,8
11/03/2011, 14:42:18, Note,8
11/03/2011, 14:42:18, Note,8
11/03/2011, 14:42:18, Note,8
11/03/2011, 14:42:18, Note,8
11/03/2011, 14:42:18, Note,3
11/03/2011, 14:42:18, Note,2
