Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
00/00/0000, 00:00:00, Switching to instrument 0
IR Controller Online
Light Controller Online
Master Init Complete
11/11/2011, 15:45:55, Switching to instrument 1
11/11/2011, 15:45:58, Note,2
11/11/2011, 15:45:58, Note,2
11/11/2011, 15:46:00, Note,3
11/11/2011, 15:46:01, Note,3
11/11/2011, 15:46:01, Note,3
11/11/2011, 15:46:03, Note,1
11/11/2011, 15:46:03, Switching to instrument 2
11/11/2011, 15:46:12, Note,1
11/11/2011, 15:46:12, Note,1
11/11/2011, 15:46:12, Note,1
11/11/2011, 15:46:13, Note,2
11/11/2011, 15:46:13, Note,3
11/11/2011, 15:46:14, Note,5
11/11/2011, 15:46:14, Note,4
11/11/2011, 15:46:15, Note,5
11/11/2011, 15:46:16, Note,5
11/11/2011, 15:46:16, Note,4
11/11/2011, 15:46:17, Note,2
11/11/2011, 15:46:18, Note,1
11/11/2011, 15:46:20, Note,2
11/11/2011, 15:46:21, Note,3
11/11/2011, 15:46:24, Note,4
11/11/2011, 15:46:25, Note,3
11/11/2011, 15:46:25, Note,4
11/11/2011, 15:46:26, Note,5
11/11/2011, 15:46:27, Note,5
11/11/2011, 15:46:28, Note,4
11/11/2011, 15:46:29, Note,5
11/11/2011, 15:46:29, Note,3
11/11/2011, 15:46:30, Note,2
11/11/2011, 15:46:31, Note,1
11/11/2011, 15:46:33, Note,4
11/11/2011, 15:46:35, Note,4
11/11/2011, 15:46:36, Note,3
11/11/2011, 15:46:38, Note,4
11/11/2011, 15:46:38, Note,5
11/11/2011, 15:46:39, Note,4
11/11/2011, 15:46:39, Note,6
11/11/2011, 15:46:40, Note,7
11/11/2011, 15:46:41, Note,8
11/11/2011, 15:46:42, Note,5
11/11/2011, 15:46:43, Note,6
11/11/2011, 15:46:44, Note,8
11/11/2011, 15:46:45, Note,7
11/11/2011, 15:46:47, Note,4
11/11/2011, 15:46:47, Note,3
11/11/2011, 15:46:48, Note,2
11/11/2011, 15:46:48, Note,1
11/11/2011, 15:46:50, Note,1
11/11/2011, 15:46:50, Note,7
11/11/2011, 15:46:50, Note,2
11/11/2011, 15:46:50, Note,6
11/11/2011, 15:46:50, Note,2
11/11/2011, 15:46:50, Note,4
11/11/2011, 15:46:50, Note,2
11/11/2011, 15:46:50, Note,2
11/11/2011, 15:46:51, Switching to instrument 3
11/11/2011, 15:46:51, Switching to instrument 4
11/11/2011, 15:46:51, Note,1
11/11/2011, 15:46:53, Switching to noises
11/11/2011, 15:46:54, Note,1
11/11/2011, 15:46:56, Note,2
11/11/2011, 15:46:57, Note,3
11/11/2011, 15:46:58, Note,3
11/11/2011, 15:46:59, Switching to instrument 0
11/11/2011, 15:47:00, Note,1
11/11/2011, 15:47:01, Note,1
11/11/2011, 15:47:02, Note,2
11/11/2011, 15:47:02, Note,3
11/11/2011, 15:47:03, Note,3
11/11/2011, 15:47:04, Note,3
11/11/2011, 15:47:05, Note,4
11/11/2011, 15:47:06, Note,3
11/11/2011, 15:47:06, Note,4
11/11/2011, 15:47:06, Note,3
11/11/2011, 15:47:07, Note,3
11/11/2011, 15:47:07, Note,3
11/11/2011, 15:47:08, Note,1
11/11/2011, 15:47:09, Note,2
11/11/2011, 15:47:10, Note,2
11/11/2011, 15:47:10, Note,3
11/11/2011, 15:47:12, Note,3
11/11/2011, 15:47:12, Note,4
11/11/2011, 15:47:12, Note,5
11/11/2011, 15:47:13, Note,4
11/11/2011, 15:47:13, Note,4
11/11/2011, 15:47:13, Note,3
11/11/2011, 15:47:14, Note,6
11/11/2011, 15:47:15, Note,8
11/11/2011, 15:47:15, Note,8
11/11/2011, 15:47:17, Note,2
11/11/2011, 15:47:18, Note,3
11/11/2011, 15:47:18, Note,4
11/11/2011, 15:47:20, Note,5
11/11/2011, 15:47:21, Note,5
11/11/2011, 15:47:21, Note,5
11/11/2011, 15:47:22, Note,4
11/11/2011, 15:47:22, Note,5
11/11/2011, 15:47:23, Note,6
11/11/2011, 15:47:24, Note,5
11/11/2011, 15:47:24, Note,5
11/11/2011, 15:47:24, Note,5
11/11/2011, 15:47:24, Note,4
11/11/2011, 15:47:25, Note,3
11/11/2011, 15:47:25, Note,2
11/11/2011, 15:47:27, Note,1
11/11/2011, 15:47:28, Note,2
11/11/2011, 15:47:29, Note,3
11/11/2011, 15:47:30, Note,3
11/11/2011, 15:47:31, Note,3
11/11/2011, 15:47:32, Note,4
11/11/2011, 15:47:32, Note,3
11/11/2011, 15:47:33, Note,4
11/11/2011, 15:47:33, Note,3
11/11/2011, 15:47:35, Note,2
11/11/2011, 15:47:35, Note,2
11/11/2011, 15:47:37, Note,1
11/11/2011, 15:47:37, Note,1
11/11/2011, 15:47:37, Note,1
11/11/2011, 15:47:38, Note,2
11/11/2011, 15:47:39, Note,1
11/11/2011, 15:47:42, Note,1
11/11/2011, 15:47:42, Note,1
11/11/2011, 15:47:42, Note,1
11/11/2011, 15:47:44, Note,2
11/11/2011, 15:47:45, Note,3
11/11/2011, 15:47:46, Note,3
11/11/2011, 15:47:47, Note,3
11/11/2011, 15:47:48, Note,4
11/11/2011, 15:47:48, Note,4
11/11/2011, 15:47:48, Note,3
11/11/2011, 15:47:48, Note,4
11/11/2011, 15:47:49, Note,4
11/11/2011, 15:47:49, Note,3
11/11/2011, 15:47:51, Note,1
11/11/2011, 15:47:51, Note,1
11/11/2011, 15:47:52, Note,2
11/11/2011, 15:47:53, Note,3
11/11/2011, 15:47:54, Note,3
11/11/2011, 15:47:55, Note,3
11/11/2011, 15:47:55, Note,4
11/11/2011, 15:47:56, Note,4
11/11/2011, 15:47:57, Note,3
11/11/2011, 15:47:57, Note,4
11/11/2011, 15:47:58, Note,3
11/11/2011, 15:48:00, Note,2
11/11/2011, 15:48:00, Note,3
11/11/2011, 15:48:00, Note,3
11/11/2011, 15:48:01, Note,4
11/11/2011, 15:48:01, Note,5
11/11/2011, 15:48:02, Note,5
11/11/2011, 15:48:02, Note,5
11/11/2011, 15:48:02, Note,5
11/11/2011, 15:48:03, Note,6
11/11/2011, 15:48:03, Note,5
11/11/2011, 15:48:05, Note,4
11/11/2011, 15:48:05, Note,4
