Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
00/00/0000, 00:00:00, Switching to instrument 0
IR Controller Online
Light Controller Online
Master Init Complete
12/01/2011, 09:52:15, Switching to instrument 1
12/01/2011, 09:52:17, Switching to instrument 2
12/01/2011, 09:52:20, Switching to instrument 3
12/01/2011, 09:52:21, Switching to instrument 4
12/01/2011, 09:52:23, Switching to noises
12/01/2011, 09:52:25, Switching to instrument 0
12/01/2011, 09:52:26, Switching to instrument 1
12/01/2011, 09:52:28, Switching to instrument 2
12/01/2011, 09:52:30, Switching to instrument 3
12/01/2011, 09:54:48, Switching to instrument 4
12/01/2011, 09:54:50, Switching to noises
12/01/2011, 09:54:51, Switching to instrument 0
12/01/2011, 09:54:51, Switching to instrument 1
12/01/2011, 09:54:51, Note,6
12/01/2011, 09:54:54, Switching to instrument 2
12/01/2011, 09:54:54, Note,3
12/01/2011, 09:54:56, Note,3
12/01/2011, 09:54:59, Note,4
12/01/2011, 09:54:59, Note,5
12/01/2011, 09:54:59, Note,5
12/01/2011, 09:54:59, Note,5
12/01/2011, 09:55:00, Note,4
12/01/2011, 09:55:01, Note,7
12/01/2011, 09:55:01, Note,7
12/01/2011, 09:55:01, Note,8
12/01/2011, 10:32:59, Note,4
12/01/2011, 10:33:02, Note,4
12/01/2011, 10:33:03, Note,5
12/01/2011, 10:33:03, Note,5
12/01/2011, 10:33:03, Note,5
12/01/2011, 10:33:03, Note,5
12/01/2011, 10:33:04, Note,5
12/01/2011, 10:33:04, Note,7
12/01/2011, 10:33:05, Note,7
12/01/2011, 10:33:05, Note,7
12/01/2011, 10:33:05, Note,7
12/01/2011, 10:33:05, Note,7
12/01/2011, 10:33:05, Note,7
12/01/2011, 10:33:06, Note,7
12/01/2011, 10:53:20, Switching to instrument 3
12/01/2011, 10:53:20, Note,1
12/01/2011, 10:53:21, Note,1
12/01/2011, 10:53:21, Note,2
12/01/2011, 10:53:21, Note,1
12/01/2011, 10:53:21, Note,2
12/01/2011, 10:53:21, Note,1
12/01/2011, 10:53:22, Note,2
12/01/2011, 10:53:22, Note,3
12/01/2011, 10:53:22, Note,1
12/01/2011, 10:53:22, Note,1
12/01/2011, 10:53:22, Note,2
12/01/2011, 10:53:22, Note,2
12/01/2011, 10:53:23, Note,3
12/01/2011, 10:53:23, Note,2
12/01/2011, 10:53:23, Note,4
12/01/2011, 10:53:23, Note,4
12/01/2011, 10:53:24, Note,2
12/01/2011, 10:53:24, Note,2
12/01/2011, 10:53:25, Note,2
12/01/2011, 10:53:25, Note,5
12/01/2011, 10:53:25, Note,2
12/01/2011, 10:53:25, Note,2
12/01/2011, 10:53:26, Note,5
12/01/2011, 10:53:26, Note,5
12/01/2011, 10:53:27, Note,3
12/01/2011, 10:53:27, Note,5
12/01/2011, 10:53:27, Note,4
12/01/2011, 10:53:28, Note,3
12/01/2011, 10:53:28, Note,3
12/01/2011, 10:53:28, Note,3
12/01/2011, 10:53:29, Note,3
12/01/2011, 10:53:30, Note,4
12/01/2011, 10:53:30, Note,3
12/01/2011, 10:53:31, Note,4
12/01/2011, 10:53:31, Note,3
12/01/2011, 10:53:32, Note,3
12/01/2011, 10:53:33, Note,3
12/01/2011, 10:53:34, Note,3
12/01/2011, 10:53:34, Note,1
12/01/2011, 10:53:34, Note,1
12/01/2011, 10:53:34, Note,4
12/01/2011, 10:53:35, Note,4
12/01/2011, 10:53:35, Switching to instrument 4
12/01/2011, 10:53:35, Note,1
12/01/2011, 10:53:36, Note,1
12/01/2011, 10:53:36, Switching to noises
12/01/2011, 10:53:36, Note,1
12/01/2011, 10:53:36, Note,1
12/01/2011, 10:53:37, Note,1
12/01/2011, 10:53:37, Switching to instrument 0
12/01/2011, 10:53:37, Note,1
12/01/2011, 10:53:38, Note,1
12/01/2011, 10:53:38, Note,1
12/01/2011, 10:53:38, Note,1
12/01/2011, 10:53:39, Note,2
12/01/2011, 10:53:42, Note,2
12/01/2011, 10:53:42, Note,4
12/01/2011, 10:53:43, Note,3
12/01/2011, 10:53:44, Note,2
12/01/2011, 10:53:47, Note,2
12/01/2011, 10:53:47, Note,3
12/01/2011, 10:53:47, Note,3
12/01/2011, 10:53:47, Note,3
12/01/2011, 10:53:48, Note,2
12/01/2011, 10:53:48, Note,8
12/01/2011, 10:53:48, Note,8
12/01/2011, 10:53:48, Note,8
12/01/2011, 10:53:48, Note,3
12/01/2011, 10:53:48, Note,8
12/01/2011, 10:53:49, Note,2
12/01/2011, 10:53:49, Note,1
12/01/2011, 10:53:49, Switching to instrument 1
12/01/2011, 10:53:49, Note,8
12/01/2011, 10:53:51, Note,2
12/01/2011, 10:53:51, Note,1
12/01/2011, 10:53:51, Note,1
12/01/2011, 10:53:51, Note,1
12/01/2011, 10:53:52, Note,1
12/01/2011, 10:53:52, Note,1
12/01/2011, 10:53:52, Note,7
12/01/2011, 10:53:52, Note,7
12/01/2011, 10:53:52, Note,3
12/01/2011, 10:53:52, Note,7
12/01/2011, 10:53:52, Note,7
12/01/2011, 10:53:52, Note,2
12/01/2011, 10:53:52, Note,2
12/01/2011, 10:53:52, Note,7
12/01/2011, 10:53:52, Note,2
12/01/2011, 10:53:52, Note,2
12/01/2011, 10:53:52, Note,8
12/01/2011, 10:53:53, Note,7
12/01/2011, 10:53:53, Note,2
12/01/2011, 10:53:53, Note,7
12/01/2011, 10:53:53, Note,7
12/01/2011, 10:53:53, Note,7
12/01/2011, 10:53:53, Note,1
12/01/2011, 10:53:53, Note,8
12/01/2011, 10:53:54, Note,2
12/01/2011, 10:53:54, Note,3
12/01/2011, 10:53:54, Note,7
12/01/2011, 10:53:54, Note,2
12/01/2011, 10:53:55, Note,8
12/01/2011, 10:53:55, Note,3
12/01/2011, 10:53:55, Note,7
12/01/2011, 10:53:56, Note,7
12/01/2011, 10:53:56, Note,8
12/01/2011, 10:53:56, Note,8
12/01/2011, 10:53:57, Note,7
12/01/2011, 10:53:57, Note,7
12/01/2011, 10:53:57, Note,7
12/01/2011, 10:53:57, Note,7
12/01/2011, 10:53:57, Note,7
12/01/2011, 10:53:57, Note,7
12/01/2011, 10:53:57, Note,7
12/01/2011, 10:53:59, Switching to instrument 2
12/01/2011, 10:54:00, Switching to instrument 3
12/01/2011, 10:54:01, Switching to instrument 4
12/01/2011, 10:54:02, Switching to noises
12/01/2011, 10:54:02, Switching to instrument 0
12/01/2011, 10:54:03, Switching to instrument 1
12/01/2011, 10:54:04, Switching to instrument 2
12/01/2011, 10:54:04, Switching to instrument 3
12/01/2011, 10:54:10, Note,3
12/01/2011, 10:54:10, Note,4
12/01/2011, 10:54:12, Note,4
12/01/2011, 10:54:12, Note,4
12/01/2011, 10:54:12, Note,5
12/01/2011, 10:54:12, Note,5
12/01/2011, 10:54:12, Note,5
12/01/2011, 10:54:13, Note,6
12/01/2011, 10:54:15, Note,5
12/01/2011, 10:54:16, Note,5
12/01/2011, 10:54:16, Note,7
12/01/2011, 10:54:17, Note,6
12/01/2011, 10:54:17, Note,8
12/01/2011, 10:54:17, Note,8
12/01/2011, 10:54:18, Note,8
12/01/2011, 10:54:21, Note,8
12/01/2011, 10:54:22, Note,8
12/01/2011, 10:54:23, Note,8
12/01/2011, 10:54:24, Note,7
12/01/2011, 10:54:26, Note,8
12/01/2011, 10:54:26, Switching to instrument 4
12/01/2011, 10:54:27, Note,8
12/01/2011, 10:54:27, Note,1
12/01/2011, 10:54:27, Note,2
12/01/2011, 10:54:28, Note,8
12/01/2011, 10:54:28, Note,2
12/01/2011, 10:54:28, Note,2
12/01/2011, 10:54:29, Note,8
12/01/2011, 10:54:29, Note,2
12/01/2011, 10:54:29, Note,8
12/01/2011, 10:54:29, Note,2
12/01/2011, 10:54:29, Note,8
12/01/2011, 10:54:30, Switching to noises
12/01/2011, 10:54:30, Note,2
12/01/2011, 10:54:30, Note,2
12/01/2011, 10:54:30, Note,2
12/01/2011, 10:54:31, Note,2
12/01/2011, 10:54:31, Note,2
12/01/2011, 10:54:31, Note,2
12/01/2011, 10:54:32, Note,2
12/01/2011, 10:54:32, Note,2
12/01/2011, 10:54:33, Note,6
12/01/2011, 10:54:34, Note,2
12/01/2011, 10:54:34, Note,5
12/01/2011, 10:54:34, Note,1
12/01/2011, 10:54:35, Note,1
12/01/2011, 10:54:35, Switching to instrument 0
12/01/2011, 10:54:35, Switching to instrument 1
12/01/2011, 10:54:37, Note,2
12/01/2011, 10:54:38, Note,2
12/01/2011, 10:54:38, Note,2
12/01/2011, 10:54:39, Note,1
12/01/2011, 10:54:40, Note,1
12/01/2011, 10:54:40, Note,1
12/01/2011, 10:54:41, Note,1
12/01/2011, 10:54:41, Note,1
12/01/2011, 10:54:42, Note,1
12/01/2011, 10:54:42, Note,1
12/01/2011, 10:54:42, Note,1
12/01/2011, 10:54:42, Note,1
12/01/2011, 10:54:42, Note,1
12/01/2011, 10:54:42, Note,1
12/01/2011, 10:54:43, Note,1
12/01/2011, 10:54:49, Note,6
12/01/2011, 10:54:49, Note,2
12/01/2011, 10:54:50, Note,6
12/01/2011, 10:54:50, Note,6
12/01/2011, 10:54:50, Note,6
12/01/2011, 10:54:51, Note,1
12/01/2011, 10:54:51, Note,1
12/01/2011, 10:54:51, Note,1
12/01/2011, 10:54:53, Note,1
12/01/2011, 10:54:53, Note,8
12/01/2011, 10:54:54, Note,8
12/01/2011, 10:54:54, Note,8
12/01/2011, 10:54:54, Note,8
12/01/2011, 10:54:54, Note,8
12/01/2011, 10:54:54, Note,8
12/01/2011, 10:54:55, Note,1
12/01/2011, 10:54:55, Note,1
12/01/2011, 10:54:56, Note,1
12/01/2011, 10:54:56, Note,1
12/01/2011, 10:54:57, Note,2
12/01/2011, 10:54:57, Note,2
12/01/2011, 10:54:57, Note,8
12/01/2011, 10:54:57, Note,1
12/01/2011, 10:54:57, Switching to instrument 2
12/01/2011, 10:54:57, Note,8
12/01/2011, 10:54:57, Note,1
12/01/2011, 10:54:57, Note,8
12/01/2011, 10:54:57, Note,8
12/01/2011, 10:54:57, Switching to instrument 3
12/01/2011, 10:54:57, Note,2
12/01/2011, 10:54:57, Note,8
12/01/2011, 10:54:59, Note,8
12/01/2011, 10:54:59, Note,8
12/01/2011, 10:54:59, Note,8
12/01/2011, 10:54:59, Note,8
12/01/2011, 10:54:59, Note,8
12/01/2011, 10:55:01, Note,8
12/01/2011, 10:55:05, Note,1
12/01/2011, 10:55:05, Note,1
12/01/2011, 10:55:05, Note,1
12/01/2011, 10:55:05, Note,1
12/01/2011, 10:55:05, Note,1
12/01/2011, 10:55:06, Note,1
12/01/2011, 10:55:06, Note,1
12/01/2011, 10:55:06, Note,1
12/01/2011, 10:55:07, Note,1
12/01/2011, 10:55:07, Note,1
12/01/2011, 10:55:10, Note,4
12/01/2011, 10:55:10, Note,4
12/01/2011, 10:55:12, Note,4
12/01/2011, 10:55:12, Note,4
12/01/2011, 10:55:12, Note,4
12/01/2011, 10:55:12, Note,4
12/01/2011, 10:55:12, Note,4
12/01/2011, 10:55:12, Note,4
12/01/2011, 10:55:14, Note,6
12/01/2011, 10:55:14, Note,6
12/01/2011, 10:55:15, Note,6
12/01/2011, 10:55:16, Note,5
12/01/2011, 10:55:16, Note,5
12/01/2011, 10:55:16, Note,5
12/01/2011, 10:55:16, Note,5
12/01/2011, 10:55:16, Note,5
12/01/2011, 10:55:17, Note,5
12/01/2011, 10:55:17, Note,5
12/01/2011, 10:55:18, Note,5
12/01/2011, 10:55:18, Note,5
12/01/2011, 10:55:18, Note,5
12/01/2011, 10:55:20, Note,7
12/01/2011, 10:55:20, Note,1
12/01/2011, 10:55:21, Note,1
12/01/2011, 10:55:21, Note,3
12/01/2011, 10:55:21, Note,7
12/01/2011, 10:55:21, Note,7
12/01/2011, 10:55:21, Note,7
12/01/2011, 10:55:21, Note,1
12/01/2011, 10:55:21, Note,7
12/01/2011, 10:55:21, Note,7
12/01/2011, 10:55:21, Note,7
12/01/2011, 10:55:21, Note,7
12/01/2011, 10:55:21, Note,1
12/01/2011, 10:55:22, Note,1
12/01/2011, 10:55:22, Note,3
12/01/2011, 10:55:22, Note,1
12/01/2011, 10:55:22, Note,3
12/01/2011, 10:55:22, Note,1
12/01/2011, 10:55:22, Note,1
12/01/2011, 10:55:22, Note,3
12/01/2011, 10:55:22, Note,1
12/01/2011, 10:55:23, Note,3
12/01/2011, 10:55:23, Note,1
12/01/2011, 10:55:23, Note,8
12/01/2011, 10:55:23, Note,3
12/01/2011, 10:55:23, Note,3
12/01/2011, 10:55:23, Note,1
12/01/2011, 10:55:23, Note,3
12/01/2011, 10:55:24, Note,8
12/01/2011, 10:55:24, Note,1
12/01/2011, 10:55:24, Note,3
12/01/2011, 10:55:24, Note,1
12/01/2011, 10:55:25, Note,1
12/01/2011, 10:55:25, Note,8
12/01/2011, 10:55:25, Note,1
12/01/2011, 10:55:25, Note,7
12/01/2011, 10:55:25, Note,1
12/01/2011, 10:55:26, Note,5
12/01/2011, 10:55:26, Note,6
12/01/2011, 10:55:26, Note,6
12/01/2011, 10:55:26, Note,5
12/01/2011, 10:55:26, Note,5
12/01/2011, 10:55:26, Note,5
12/01/2011, 10:55:27, Note,1
12/01/2011, 10:55:27, Note,5
12/01/2011, 10:55:27, Note,3
12/01/2011, 10:55:27, Note,1
12/01/2011, 10:55:27, Note,3
12/01/2011, 10:55:27, Note,5
12/01/2011, 10:55:27, Note,1
12/01/2011, 10:55:27, Note,3
12/01/2011, 10:55:27, Note,6
12/01/2011, 10:55:27, Note,5
12/01/2011, 10:55:27, Note,5
12/01/2011, 10:55:27, Note,1
12/01/2011, 10:55:27, Note,1
12/01/2011, 10:55:28, Note,3
12/01/2011, 10:55:28, Note,1
12/01/2011, 10:55:28, Note,3
12/01/2011, 10:55:28, Note,1
12/01/2011, 10:55:28, Note,6
12/01/2011, 10:55:28, Note,3
12/01/2011, 10:55:28, Note,5
12/01/2011, 10:55:29, Note,3
12/01/2011, 10:55:29, Note,3
12/01/2011, 10:55:29, Note,3
12/01/2011, 10:55:29, Note,6
12/01/2011, 10:55:29, Note,3
12/01/2011, 10:55:29, Note,1
12/01/2011, 10:55:29, Note,6
12/01/2011, 10:55:30, Note,6
12/01/2011, 10:55:30, Note,5
12/01/2011, 10:55:30, Note,1
12/01/2011, 10:55:30, Note,5
12/01/2011, 10:55:30, Note,5
12/01/2011, 10:55:30, Note,6
12/01/2011, 10:55:30, Note,6
12/01/2011, 10:55:31, Note,1
12/01/2011, 10:55:31, Note,3
12/01/2011, 10:55:31, Note,1
12/01/2011, 10:55:31, Note,1
12/01/2011, 10:55:31, Note,3
12/01/2011, 10:55:32, Note,8
12/01/2011, 10:55:32, Note,3
12/01/2011, 10:55:32, Note,8
12/01/2011, 10:55:32, Note,1
12/01/2011, 10:55:32, Note,8
12/01/2011, 10:55:34, Note,8
12/01/2011, 10:55:35, Note,8
12/01/2011, 10:55:37, Note,8
12/01/2011, 10:55:38, Note,8
12/01/2011, 10:55:38, Note,7
12/01/2011, 10:55:38, Note,7
12/01/2011, 10:55:38, Note,7
12/01/2011, 10:55:38, Note,7
12/01/2011, 10:55:39, Note,7
12/01/2011, 10:55:41, Note,2
12/01/2011, 10:55:41, Note,2
12/01/2011, 10:55:41, Note,2
12/01/2011, 10:55:42, Note,3
12/01/2011, 10:55:42, Note,3
12/01/2011, 10:55:43, Note,3
12/01/2011, 10:55:43, Note,3
12/01/2011, 10:55:44, Note,1
12/01/2011, 10:55:45, Note,2
12/01/2011, 10:55:45, Note,2
12/01/2011, 10:55:46, Note,2
12/01/2011, 10:55:46, Note,1
12/01/2011, 10:55:46, Note,1
12/01/2011, 10:55:46, Note,2
12/01/2011, 10:55:46, Note,1
12/01/2011, 10:55:46, Note,2
12/01/2011, 10:55:47, Note,1
12/01/2011, 10:55:48, Note,1
12/01/2011, 10:55:48, Note,1
12/01/2011, 10:55:48, Note,1
12/01/2011, 10:55:49, Note,7
12/01/2011, 10:55:50, Note,8
12/01/2011, 10:55:50, Note,8
12/01/2011, 10:55:50, Note,8
12/01/2011, 10:55:50, Note,8
12/01/2011, 10:55:51, Note,7
12/01/2011, 10:55:51, Note,8
12/01/2011, 10:55:51, Note,7
12/01/2011, 10:55:51, Note,8
12/01/2011, 10:55:52, Note,8
12/01/2011, 10:55:52, Note,8
12/01/2011, 10:55:52, Note,7
12/01/2011, 10:55:53, Note,7
12/01/2011, 10:55:53, Note,8
12/01/2011, 10:55:53, Note,7
12/01/2011, 10:55:53, Note,7
12/01/2011, 10:55:54, Note,8
12/01/2011, 10:55:54, Note,8
12/01/2011, 10:56:00, Note,3
12/01/2011, 10:56:07, Note,4
12/01/2011, 10:56:17, Note,8
12/01/2011, 10:56:20, Note,8
12/01/2011, 10:56:20, Note,8
12/01/2011, 10:56:21, Note,6
12/01/2011, 10:56:21, Note,7
12/01/2011, 10:56:22, Note,6
12/01/2011, 10:56:22, Note,6
12/01/2011, 10:56:22, Note,6
12/01/2011, 10:56:23, Note,5
12/01/2011, 10:56:24, Note,4
