Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
00/00/0000, 00:00:00, Switching to instrument 0
GPS Configured
IR Controller Online
Light Controller Online
Master Init Complete
01/06/2012, 09:15:47, Switching to instrument 1
01/06/2012, 09:15:51, Switching to instrument 2
01/06/2012, 09:15:56, Note,1
01/06/2012, 09:15:57, Note,1
01/06/2012, 09:15:58, Note,3
01/06/2012, 09:15:59, Note,4
01/06/2012, 09:15:59, Note,5
01/06/2012, 09:15:59, Note,5
01/06/2012, 09:15:59, Note,6
01/06/2012, 09:16:04, Switching to instrument 3
01/06/2012, 09:16:05, Note,1
01/06/2012, 09:16:05, Note,2
01/06/2012, 09:16:06, Note,3
01/06/2012, 09:16:07, Note,4
01/06/2012, 09:16:07, Note,4
01/06/2012, 09:16:07, Note,4
01/06/2012, 09:16:07, Note,4
01/06/2012, 09:16:11, Switching to instrument 4
01/06/2012, 09:16:12, Note,1
01/06/2012, 09:16:13, Note,2
01/06/2012, 09:16:13, Note,3
01/06/2012, 09:16:13, Note,3
01/06/2012, 09:16:13, Note,3
01/06/2012, 09:16:14, Note,3
01/06/2012, 09:16:14, Note,3
01/06/2012, 09:16:14, Note,2
01/06/2012, 09:16:15, Note,1
01/06/2012, 09:16:15, Note,2
01/06/2012, 09:16:15, Note,3
01/06/2012, 09:16:15, Note,4
01/06/2012, 09:16:16, Note,4
01/06/2012, 09:16:16, Note,3
01/06/2012, 09:16:16, Note,2
01/06/2012, 09:16:16, Note,1
01/06/2012, 09:16:17, Note,2
01/06/2012, 09:16:17, Note,3
01/06/2012, 09:16:17, Note,3
01/06/2012, 09:16:17, Note,3
01/06/2012, 09:16:19, Switching to noises
01/06/2012, 09:16:20, Note,1
01/06/2012, 09:16:21, Note,2
01/06/2012, 09:16:21, Note,1
01/06/2012, 09:16:22, Note,2
01/06/2012, 09:16:22, Note,4
01/06/2012, 09:16:23, Note,4
01/06/2012, 09:16:23, Note,3
01/06/2012, 09:16:23, Note,2
01/06/2012, 09:16:23, Note,3
01/06/2012, 09:16:24, Note,4
01/06/2012, 09:16:25, Note,4
01/06/2012, 09:16:25, Note,5
01/06/2012, 09:16:26, Note,6
01/06/2012, 09:16:26, Note,7
01/06/2012, 09:16:27, Note,8
01/06/2012, 09:16:27, Note,7
01/06/2012, 09:16:27, Note,7
01/06/2012, 09:16:28, Note,6
01/06/2012, 09:16:29, Note,6
01/06/2012, 09:16:29, Note,5
01/06/2012, 09:16:29, Note,6
01/06/2012, 09:16:29, Note,4
01/06/2012, 09:16:29, Note,5
01/06/2012, 09:16:30, Note,4
01/06/2012, 09:16:30, Note,3
01/06/2012, 09:16:30, Note,2
01/06/2012, 09:16:30, Note,1
01/06/2012, 09:16:36, Switching to instrument 0
01/06/2012, 09:16:36, Note,6
01/06/2012, 09:16:37, Note,1
01/06/2012, 09:16:38, Note,2
01/06/2012, 09:16:39, Note,4
01/06/2012, 09:16:40, Note,4
01/06/2012, 09:16:40, Note,2
01/06/2012, 09:16:41, Note,3
01/06/2012, 09:16:41, Note,4
01/06/2012, 09:16:43, Note,7
01/06/2012, 09:16:43, Note,7
01/06/2012, 09:16:44, Note,7
01/06/2012, 09:16:44, Note,6
01/06/2012, 09:16:44, Note,5
01/06/2012, 09:16:45, Note,3
01/06/2012, 09:16:45, Note,2
01/06/2012, 09:16:46, Note,1
01/06/2012, 09:16:48, Switching to instrument 1
01/06/2012, 09:16:49, Note,1
01/06/2012, 09:16:50, Note,1
01/06/2012, 09:16:51, Note,2
01/06/2012, 09:16:51, Note,3
01/06/2012, 09:16:51, Note,4
01/06/2012, 09:16:51, Note,4
01/06/2012, 09:16:52, Note,3
01/06/2012, 09:16:52, Note,2
01/06/2012, 09:16:52, Note,3
01/06/2012, 09:16:53, Note,3
01/06/2012, 09:16:53, Note,2
01/06/2012, 09:16:53, Note,1
01/06/2012, 09:16:57, Switching to instrument 2
01/06/2012, 09:16:57, Note,1
01/06/2012, 09:16:59, Note,1
01/06/2012, 09:17:00, Note,2
01/06/2012, 09:17:00, Note,3
01/06/2012, 09:17:01, Note,4
01/06/2012, 09:17:02, Note,3
01/06/2012, 09:17:03, Note,3
01/06/2012, 09:17:03, Note,4
01/06/2012, 09:17:04, Note,3
01/06/2012, 09:17:04, Note,2
01/06/2012, 09:17:05, Note,1
01/06/2012, 09:17:05, Note,1
01/06/2012, 09:17:06, Note,2
