Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
00/00/0000, 00:00:00, Switching to instrument 0
GPS Configured
IR Controller Online
Light Controller Online
Master Init Complete
02/26/2012, 12:24:22, Switching to instrument 1
02/26/2012, 12:24:23, Note,1
02/26/2012, 12:24:23, Note,2
02/26/2012, 12:24:23, Note,4
02/26/2012, 12:24:24, Note,3
02/26/2012, 12:24:24, Note,6
02/26/2012, 12:24:24, Note,7
02/26/2012, 12:24:24, Note,8
02/26/2012, 12:24:25, Note,4
02/26/2012, 12:24:25, Note,1
02/26/2012, 12:24:25, Note,2
02/26/2012, 12:24:25, Note,4
02/26/2012, 12:24:26, Note,5
02/26/2012, 12:24:26, Note,5
02/26/2012, 12:24:26, Note,3
02/26/2012, 12:24:26, Note,2
02/26/2012, 12:24:26, Note,1
02/26/2012, 12:24:26, Note,4
02/26/2012, 12:24:26, Note,2
02/26/2012, 12:24:26, Note,5
02/26/2012, 12:24:27, Note,6
02/26/2012, 12:24:27, Note,6
02/26/2012, 12:24:27, Note,4
02/26/2012, 12:24:27, Note,5
02/26/2012, 12:24:27, Note,3
02/26/2012, 12:24:27, Note,4
02/26/2012, 12:24:27, Note,5
02/26/2012, 12:24:27, Note,3
02/26/2012, 12:24:27, Note,6
02/26/2012, 12:24:27, Note,5
02/26/2012, 12:24:27, Note,2
02/26/2012, 12:24:27, Note,5
02/26/2012, 12:24:27, Note,1
02/26/2012, 12:24:27, Note,4
02/26/2012, 12:24:27, Note,5
02/26/2012, 12:24:28, Note,1
02/26/2012, 12:24:28, Note,6
02/26/2012, 12:24:28, Note,5
02/26/2012, 12:24:28, Note,2
02/26/2012, 12:24:28, Note,5
02/26/2012, 12:24:28, Note,2
02/26/2012, 12:24:29, Note,2
02/26/2012, 12:24:29, Note,1
02/26/2012, 12:24:29, Note,1
02/26/2012, 12:24:29, Switching to instrument 2
02/26/2012, 12:24:29, Note,7
02/26/2012, 12:24:31, Note,8
02/26/2012, 12:24:31, Note,8
02/26/2012, 12:24:31, Note,6
02/26/2012, 12:24:32, Note,4
02/26/2012, 12:24:32, Note,3
02/26/2012, 12:24:32, Note,3
02/26/2012, 12:24:33, Note,4
02/26/2012, 12:24:33, Note,2
02/26/2012, 12:24:33, Note,4
02/26/2012, 12:24:34, Note,3
02/26/2012, 12:24:35, Note,4
02/26/2012, 12:24:36, Note,5
02/26/2012, 12:24:37, Note,7
02/26/2012, 12:24:37, Note,7
02/26/2012, 12:24:37, Note,8
02/26/2012, 12:24:38, Note,7
02/26/2012, 12:24:38, Note,6
02/26/2012, 12:24:38, Note,5
02/26/2012, 12:24:38, Note,4
02/26/2012, 12:24:38, Note,3
02/26/2012, 12:24:39, Note,2
02/26/2012, 12:24:39, Note,1
02/26/2012, 12:24:39, Note,2
02/26/2012, 12:24:39, Note,3
02/26/2012, 12:24:40, Note,4
02/26/2012, 12:24:40, Note,5
02/26/2012, 12:24:42, Note,7
02/26/2012, 12:24:42, Note,7
02/26/2012, 12:24:43, Note,6
02/26/2012, 12:24:43, Note,5
02/26/2012, 12:24:43, Note,4
02/26/2012, 12:24:44, Note,3
02/26/2012, 12:24:44, Note,2
02/26/2012, 12:24:44, Note,3
02/26/2012, 12:24:45, Note,4
02/26/2012, 12:24:45, Note,5
02/26/2012, 12:25:20, Note,2
02/26/2012, 12:25:21, Note,2
02/26/2012, 12:25:21, Note,1
02/26/2012, 12:25:22, Note,3
02/26/2012, 12:25:22, Note,2
02/26/2012, 12:25:22, Note,2
02/26/2012, 12:25:22, Note,4
02/26/2012, 12:25:22, Note,3
02/26/2012, 12:25:22, Note,4
02/26/2012, 12:25:23, Note,5
02/26/2012, 12:25:23, Note,7
02/26/2012, 12:25:23, Note,5
02/26/2012, 12:25:23, Note,6
02/26/2012, 12:25:24, Note,8
02/26/2012, 12:25:26, Note,8
02/26/2012, 12:25:26, Note,8
02/26/2012, 12:25:33, Note,5
02/26/2012, 12:25:33, Note,4
02/26/2012, 12:25:35, Note,4
02/26/2012, 12:25:35, Note,4
02/26/2012, 12:25:35, Note,4
02/26/2012, 12:25:35, Note,3
02/26/2012, 12:25:36, Note,5
02/26/2012, 12:25:36, Note,3
02/26/2012, 12:25:36, Note,4
02/26/2012, 12:25:36, Note,7
02/26/2012, 12:25:36, Note,5
02/26/2012, 12:25:36, Note,8
02/26/2012, 12:25:37, Note,5
02/26/2012, 12:25:37, Note,8
02/26/2012, 12:25:37, Note,5
02/26/2012, 12:25:37, Note,5
02/26/2012, 12:25:37, Note,5
02/26/2012, 12:25:38, Note,7
02/26/2012, 12:25:38, Note,8
02/26/2012, 12:25:39, Note,5
02/26/2012, 12:25:40, Note,8
02/26/2012, 12:26:22, Note,7
02/26/2012, 12:26:22, Note,5
02/26/2012, 12:26:22, Note,7
02/26/2012, 12:26:22, Note,6
02/26/2012, 12:26:23, Note,7
02/26/2012, 12:26:24, Note,7
02/26/2012, 12:26:24, Note,6
02/26/2012, 12:26:25, Note,5
02/26/2012, 12:26:26, Note,4
02/26/2012, 12:26:26, Note,4
02/26/2012, 12:26:28, Note,2
02/26/2012, 12:26:28, Note,1
02/26/2012, 12:26:29, Note,8
02/26/2012, 12:26:32, Note,8
02/26/2012, 12:26:35, Note,8
02/26/2012, 12:26:35, Note,8
02/26/2012, 12:26:36, Note,7
02/26/2012, 12:26:36, Note,8
02/26/2012, 12:26:37, Note,7
02/26/2012, 12:26:37, Note,5
02/26/2012, 12:26:38, Note,4
02/26/2012, 12:26:39, Note,2
02/26/2012, 12:26:39, Note,1
02/26/2012, 12:26:39, Note,3
02/26/2012, 12:26:40, Note,1
