Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
GPS Configured
IR Controller Online
Light Controller Online
Master Init Complete
[GPS disabled], 2382, Switching to instrument 1
[GPS disabled], 2382, Note,1
[GPS disabled], 2382, Note,3
[GPS disabled], 2382, Note,2
[GPS disabled], 2382, Note,4
[GPS disabled], 2382, Note,3
[GPS disabled], 2382, Note,3
[GPS disabled], 2383, Note,4
[GPS disabled], 2383, Note,4
[GPS disabled], 2384, Note,3
[GPS disabled], 2384, Note,5
[GPS disabled], 2384, Note,3
[GPS disabled], 2385, Note,6
[GPS disabled], 2385, Note,4
[GPS disabled], 2385, Note,3
[GPS disabled], 2385, Note,3
[GPS disabled], 2385, Note,4
[GPS disabled], 2386, Note,2
[GPS disabled], 2387, Note,1
[GPS disabled], 2387, Note,1
[GPS disabled], 2388, Note,2
[GPS disabled], 2388, Note,2
[GPS disabled], 2388, Note,2
[GPS disabled], 2389, Note,3
[GPS disabled], 2389, Note,4
[GPS disabled], 2389, Note,4
[GPS disabled], 2389, Note,4
[GPS disabled], 2389, Note,5
[GPS disabled], 2390, Note,5
[GPS disabled], 2390, Note,6
[GPS disabled], 2390, Note,6
[GPS disabled], 2390, Note,7
[GPS disabled], 2390, Note,7
[GPS disabled], 2390, Note,8
[GPS disabled], 2391, Note,7
[GPS disabled], 2391, Note,7
[GPS disabled], 2391, Note,6
[GPS disabled], 2392, Note,5
[GPS disabled], 2392, Note,4
[GPS disabled], 2392, Note,3
[GPS disabled], 2392, Note,2
[GPS disabled], 2392, Note,1
[GPS disabled], 2392, Note,1
[GPS disabled], 2393, Note,1
[GPS disabled], 2393, Note,2
[GPS disabled], 2393, Note,3
[GPS disabled], 2393, Note,4
[GPS disabled], 2393, Note,5
[GPS disabled], 2393, Note,6
[GPS disabled], 2394, Note,7
[GPS disabled], 2394, Note,8
[GPS disabled], 2394, Note,8
[GPS disabled], 2394, Note,7
[GPS disabled], 2394, Note,6
[GPS disabled], 2394, Note,5
[GPS disabled], 2395, Note,4
[GPS disabled], 2395, Note,3
[GPS disabled], 2395, Note,2
[GPS disabled], 2395, Note,1
[GPS disabled], 2773, Note,3
[GPS disabled], 2774, Note,5
[GPS disabled], 2775, Note,1
[GPS disabled], 2776, Note,6
[GPS disabled], 2776, Note,3
[GPS disabled], 2776, Note,3
[GPS disabled], 2777, Note,5
[GPS disabled], 2777, Note,4
[GPS disabled], 2779, Note,2
[GPS disabled], 2780, Note,4
[GPS disabled], 2780, Note,1
[GPS disabled], 2781, Note,1
[GPS disabled], 2781, Note,4
[GPS disabled], 2781, Note,1
[GPS disabled], 2781, Note,4
[GPS disabled], 2782, Note,2
[GPS disabled], 2782, Note,2
[GPS disabled], 2782, Note,2
[GPS disabled], 2782, Note,2
[GPS disabled], 2782, Note,3
[GPS disabled], 2782, Note,4
[GPS disabled], 2783, Note,4
[GPS disabled], 2783, Note,4
