Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
GPS Configured
IR Controller Online
Light Controller Online
00/00/0000, 00:00:00, Master Init Complete
00/00/0000, 00:00:00, Switching to instrument 1
04/18/2012, 14:53:05, Note,5
04/18/2012, 14:53:06, Note,3
04/18/2012, 14:53:06, Note,2
04/18/2012, 14:53:06, Note,3
04/18/2012, 14:53:06, Note,1
04/18/2012, 14:53:06, Note,1
04/18/2012, 14:53:06, Note,4
04/18/2012, 14:53:07, Note,5
04/18/2012, 14:53:07, Note,1
04/18/2012, 14:53:07, Note,2
04/18/2012, 14:53:08, Switching to instrument 2
04/18/2012, 14:53:08, Note,1
04/18/2012, 14:53:08, Note,3
04/18/2012, 14:53:09, Note,2
04/18/2012, 14:53:09, Note,3
04/18/2012, 14:53:09, Note,5
04/18/2012, 14:53:10, Note,5
04/18/2012, 14:53:10, Note,6
04/18/2012, 14:53:10, Note,6
04/18/2012, 14:53:10, Note,4
04/18/2012, 14:53:10, Note,7
04/18/2012, 14:53:10, Note,6
04/18/2012, 14:53:11, Note,4
04/18/2012, 14:53:11, Note,8
04/18/2012, 14:53:11, Note,8
04/18/2012, 14:53:11, Note,4
04/18/2012, 14:53:12, Note,3
04/18/2012, 14:53:12, Note,3
04/18/2012, 14:53:12, Note,5
04/18/2012, 14:53:13, Note,2
04/18/2012, 14:53:14, Note,1
04/18/2012, 14:53:14, Note,1
04/18/2012, 14:53:14, Note,2
04/18/2012, 14:53:15, Note,5
04/18/2012, 14:53:15, Note,5
04/18/2012, 14:53:15, Note,6
04/18/2012, 14:53:15, Note,5
04/18/2012, 14:53:15, Note,3
04/18/2012, 14:53:16, Note,3
04/18/2012, 14:53:16, Note,6
04/18/2012, 14:53:16, Note,3
04/18/2012, 14:53:16, Note,5
04/18/2012, 14:53:17, Note,2
04/18/2012, 14:53:17, Note,1
04/18/2012, 14:53:18, Note,1
04/18/2012, 14:53:18, Note,3
04/18/2012, 14:53:19, Switching to instrument 3
04/18/2012, 14:53:19, Note,6
04/18/2012, 14:53:19, Note,3
04/18/2012, 14:53:19, Note,3
04/18/2012, 14:53:20, Note,2
04/18/2012, 14:53:20, Note,4
04/18/2012, 14:53:21, Note,5
04/18/2012, 14:53:21, Note,5
04/18/2012, 14:53:21, Note,6
04/18/2012, 14:53:22, Note,8
04/18/2012, 14:53:22, Note,6
04/18/2012, 14:53:22, Note,7
04/18/2012, 14:53:22, Note,8
04/18/2012, 14:53:22, Note,8
04/18/2012, 14:53:22, Note,7
04/18/2012, 14:53:23, Note,6
04/18/2012, 14:53:23, Note,3
04/18/2012, 14:53:24, Note,1
04/18/2012, 14:53:25, Note,4
04/18/2012, 14:53:25, Note,3
04/18/2012, 14:53:25, Note,5
04/18/2012, 14:53:25, Note,3
04/18/2012, 14:53:26, Note,3
04/18/2012, 14:53:26, Note,6
04/18/2012, 14:53:27, Note,4
04/18/2012, 14:53:28, Note,8
04/18/2012, 14:53:28, Note,7
04/18/2012, 14:53:28, Note,4
04/18/2012, 14:53:28, Note,6
04/18/2012, 14:53:28, Note,6
04/18/2012, 14:53:28, Note,2
04/18/2012, 14:53:29, Note,1
04/18/2012, 14:53:29, Note,2
04/18/2012, 14:53:29, Switching to instrument 4
04/18/2012, 14:53:29, Note,6
04/18/2012, 14:53:29, Note,1
04/18/2012, 14:53:30, Note,3
04/18/2012, 14:53:31, Note,4
