IR Controller Online
Light Controller Online
Master Init Complete
04/20/2011, 10:50:28, Screen Saver
04/20/2011, 10:50:39, Screen Saver
04/20/2011, 10:50:50, Screen Saver
04/20/2011, 10:51:01, Screen Saver
04/20/2011, 10:51:12, Screen Saver
04/20/2011, 10:51:23, Screen Saver
04/20/2011, 10:51:34, Screen Saver
04/20/2011, 10:51:45, Screen Saver
04/20/2011, 10:51:56, Screen Saver
04/20/2011, 10:52:07, Screen Saver
04/20/2011, 10:52:18, Screen Saver
04/20/2011, 10:52:29, Screen Saver
04/20/2011, 10:52:40, Screen Saver
04/20/2011, 10:52:51, Screen Saver
04/20/2011, 10:53:02, Screen Saver
04/20/2011, 10:53:13, Screen Saver
04/20/2011, 10:53:24, Screen Saver
04/20/2011, 10:53:35, Screen Saver
04/20/2011, 10:53:46, Screen Saver
04/20/2011, 10:53:57, Screen Saver
04/20/2011, 10:54:08, Screen Saver
04/20/2011, 10:54:19, Screen Saver
04/20/2011, 10:54:30, Screen Saver
04/20/2011, 10:54:41, Screen Saver
04/20/2011, 10:54:52, Screen Saver
04/20/2011, 10:55:03, Screen Saver
04/20/2011, 10:55:14, Screen Saver
04/20/2011, 10:55:24, Note,2
04/20/2011, 10:55:24, Note,2
04/20/2011, 10:55:26, Note,4
04/20/2011, 10:55:26, Note,2
04/20/2011, 10:55:26, Note,2
04/20/2011, 10:55:27, Note,4
04/20/2011, 10:55:28, Note,4
04/20/2011, 10:55:28, Note,5
04/20/2011, 10:55:29, Note,5
04/20/2011, 10:55:29, Note,2
04/20/2011, 10:55:30, Note,2
04/20/2011, 10:55:30, Note,2
04/20/2011, 10:55:32, Note,2
04/20/2011, 10:55:32, Note,2
04/20/2011, 10:55:32, Note,2
04/20/2011, 10:55:34, Note,2
04/20/2011, 10:55:34, Note,2
04/20/2011, 10:55:35, Note,2
04/20/2011, 10:55:35, Note,2
04/20/2011, 10:55:36, Note,2
04/20/2011, 10:55:38, Note,5
04/20/2011, 10:55:38, Note,4
04/20/2011, 10:55:39, Note,2
04/20/2011, 10:55:39, Note,4
04/20/2011, 10:55:40, Note,5
04/20/2011, 10:55:40, Note,5
04/20/2011, 10:55:40, Note,6
04/20/2011, 10:55:41, Note,4
04/20/2011, 10:55:41, Note,5
04/20/2011, 10:55:41, Note,3
04/20/2011, 10:55:41, Note,2
04/20/2011, 10:55:41, Note,2
04/20/2011, 10:55:42, Note,2
04/20/2011, 10:55:51, Note,2
04/20/2011, 10:55:52, Note,2
04/20/2011, 10:55:52, Note,2
04/20/2011, 10:55:53, Note,2
04/20/2011, 10:55:54, Note,3
04/20/2011, 10:55:54, Note,4
04/20/2011, 10:55:54, Note,2
04/20/2011, 10:55:55, Note,2
04/20/2011, 10:55:55, Note,2
04/20/2011, 10:55:55, Switching to instrument 1
04/20/2011, 10:55:56, Note,2
04/20/2011, 10:55:57, Note,2
04/20/2011, 10:55:58, Note,3
04/20/2011, 10:55:58, Note,2
04/20/2011, 10:55:58, Note,3
04/20/2011, 10:55:58, Note,3
04/20/2011, 10:56:01, Note,5
04/20/2011, 10:56:01, Note,5
04/20/2011, 10:56:01, Note,5
04/20/2011, 10:56:02, Note,5
04/20/2011, 10:56:02, Note,5
04/20/2011, 10:56:04, Note,5
04/20/2011, 10:56:04, Note,8
04/20/2011, 10:56:05, Note,8
04/20/2011, 10:56:05, Note,5
04/20/2011, 10:56:05, Note,8
04/20/2011, 10:56:05, Note,8
04/20/2011, 10:56:06, Note,5
04/20/2011, 10:56:07, Note,5
04/20/2011, 10:56:08, Note,5
04/20/2011, 10:56:08, Note,5
04/20/2011, 10:56:08, Note,5
04/20/2011, 10:56:09, Note,4
04/20/2011, 10:56:10, Note,4
04/20/2011, 10:56:12, Note,3
04/20/2011, 10:56:14, Note,4
04/20/2011, 10:56:15, Note,3
04/20/2011, 10:56:16, Note,2
04/20/2011, 10:56:18, Note,2
04/20/2011, 10:56:19, Note,2
04/20/2011, 10:56:19, Note,2
04/20/2011, 10:56:19, Note,2
04/20/2011, 10:56:20, Note,2
04/20/2011, 10:56:21, Note,2
04/20/2011, 10:56:22, Note,2
04/20/2011, 10:56:24, Note,2
04/20/2011, 10:56:24, Note,2
04/20/2011, 10:56:25, Note,2
04/20/2011, 10:56:26, Note,4
04/20/2011, 10:56:26, Note,5
04/20/2011, 10:56:26, Note,5
04/20/2011, 10:56:26, Note,4
04/20/2011, 10:56:27, Note,2
04/20/2011, 10:56:27, Note,2
04/20/2011, 10:56:27, Note,4
04/20/2011, 10:56:27, Note,5
04/20/2011, 10:56:28, Note,5
04/20/2011, 10:56:28, Note,4
04/20/2011, 10:56:30, Note,2
04/20/2011, 10:56:31, Note,5
04/20/2011, 10:56:31, Note,5
04/20/2011, 10:56:35, Note,2
04/20/2011, 10:56:36, Note,2
04/20/2011, 10:56:36, Note,2
04/20/2011, 10:56:36, Note,2
04/20/2011, 10:56:38, Note,2
04/20/2011, 10:56:38, Note,2
04/20/2011, 10:56:40, Note,2
04/20/2011, 10:56:40, Note,2
04/20/2011, 10:56:44, Note,5
04/20/2011, 10:56:44, Note,5
04/20/2011, 10:56:46, Note,8
04/20/2011, 10:56:47, Note,5
04/20/2011, 10:56:54, Note,2
04/20/2011, 10:56:56, Note,2
04/20/2011, 10:57:06, Screen Saver
04/20/2011, 10:57:11, Note,2
