IR Controller Online
Light Controller Online
Master Init Complete
04/20/2011, 11:10:36, Screen Saver
04/20/2011, 11:10:40, Note,2
04/20/2011, 11:10:41, Note,3
04/20/2011, 11:10:41, Note,4
04/20/2011, 11:10:41, Note,3
04/20/2011, 11:10:41, Note,3
04/20/2011, 11:10:49, Note,3
04/20/2011, 11:10:49, Note,5
04/20/2011, 11:10:51, Note,3
04/20/2011, 11:10:51, Note,5
04/20/2011, 11:10:52, Note,3
04/20/2011, 11:10:52, Note,5
04/20/2011, 11:10:52, Note,4
04/20/2011, 11:10:53, Note,3
04/20/2011, 11:11:03, Note,5
04/20/2011, 11:11:07, Note,8
04/20/2011, 11:11:07, Note,8
04/20/2011, 11:11:08, Note,8
04/20/2011, 11:11:08, Note,8
04/20/2011, 11:11:12, Note,5
04/20/2011, 11:11:12, Note,5
04/20/2011, 11:11:14, Note,5
04/20/2011, 11:11:17, Note,5
04/20/2011, 11:11:18, Note,8
04/20/2011, 11:11:19, Note,8
04/20/2011, 11:11:19, Note,5
04/20/2011, 11:11:19, Note,5
04/20/2011, 11:11:20, Note,8
04/20/2011, 11:11:20, Note,8
04/20/2011, 11:11:21, Note,8
04/20/2011, 11:11:22, Note,8
04/20/2011, 11:11:22, Note,5
04/20/2011, 11:11:23, Note,3
04/20/2011, 11:11:24, Note,3
04/20/2011, 11:11:25, Note,3
04/20/2011, 11:11:27, Note,8
04/20/2011, 11:11:27, Note,3
04/20/2011, 11:11:27, Note,5
04/20/2011, 11:11:27, Note,4
04/20/2011, 11:11:27, Switching to instrument 1
04/20/2011, 11:11:27, Note,6
04/20/2011, 11:11:27, Note,3
04/20/2011, 11:11:28, Note,5
04/20/2011, 11:11:28, Note,3
04/20/2011, 11:11:28, Note,6
04/20/2011, 11:11:29, Note,2
04/20/2011, 11:11:30, Note,3
04/20/2011, 11:11:30, Note,4
04/20/2011, 11:11:30, Note,6
04/20/2011, 11:11:30, Note,6
04/20/2011, 11:11:31, Note,4
04/20/2011, 11:11:31, Note,3
