Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
04/28/2011, 08:56:35, Screen Saver
04/28/2011, 08:56:46, Screen Saver
04/28/2011, 08:56:57, Screen Saver
04/28/2011, 08:57:08, Screen Saver
04/28/2011, 08:57:19, Screen Saver
04/28/2011, 08:57:29, Screen Saver
04/28/2011, 08:57:40, Screen Saver
04/28/2011, 08:57:51, Screen Saver
04/28/2011, 08:58:02, Screen Saver
04/28/2011, 08:58:13, Screen Saver
04/28/2011, 08:58:24, Screen Saver
04/28/2011, 08:58:35, Screen Saver
04/28/2011, 08:58:46, Screen Saver
04/28/2011, 08:58:57, Screen Saver
04/28/2011, 08:59:08, Screen Saver
04/28/2011, 08:59:19, Screen Saver
04/28/2011, 08:59:30, Screen Saver
04/28/2011, 08:59:41, Screen Saver
04/28/2011, 08:59:52, Screen Saver
04/28/2011, 09:00:03, Screen Saver
04/28/2011, 09:00:14, Screen Saver
04/28/2011, 09:00:25, Screen Saver
04/28/2011, 09:00:36, Screen Saver
04/28/2011, 09:00:47, Screen Saver
04/28/2011, 09:00:54, Note,4
04/28/2011, 09:00:55, Note,4
04/28/2011, 09:00:55, Note,4
04/28/2011, 09:00:55, Note,4
04/28/2011, 09:00:56, Note,4
04/28/2011, 09:00:56, Note,4
04/28/2011, 09:00:56, Note,4
04/28/2011, 09:00:56, Note,4
04/28/2011, 09:00:56, Note,4
04/28/2011, 09:00:57, Note,4
04/28/2011, 09:00:57, Note,4
04/28/2011, 09:00:57, Note,4
04/28/2011, 09:00:57, Note,4
04/28/2011, 09:00:57, Note,4
04/28/2011, 09:00:57, Note,4
04/28/2011, 09:00:57, Note,4
04/28/2011, 09:00:58, Note,4
04/28/2011, 09:00:58, Note,4
04/28/2011, 09:00:58, Note,4
04/28/2011, 09:00:59, Note,4
04/28/2011, 09:00:59, Note,4
04/28/2011, 09:00:59, Note,4
04/28/2011, 09:01:00, Note,4
04/28/2011, 09:01:00, Note,4
04/28/2011, 09:01:00, Note,4
04/28/2011, 09:01:01, Note,4
04/28/2011, 09:01:01, Note,4
04/28/2011, 09:01:01, Note,4
04/28/2011, 09:01:01, Note,4
04/28/2011, 09:01:01, Note,4
04/28/2011, 09:01:01, Note,4
04/28/2011, 09:01:01, Note,4
04/28/2011, 09:01:01, Note,4
04/28/2011, 09:01:02, Note,4
04/28/2011, 09:01:02, Note,4
04/28/2011, 09:01:02, Note,4
04/28/2011, 09:01:02, Note,4
04/28/2011, 09:01:03, Note,4
04/28/2011, 09:01:03, Note,4
04/28/2011, 09:01:03, Note,4
