S Configured
00/00/0000, 00:00:00, Master Init Complete
05/08/2012, 16:17:16, Note,6
05/08/2012, 16:17:19, Note,6
05/08/2012, 16:17:19, Note,1
05/08/2012, 16:17:20, Note,1
05/08/2012, 16:17:22, Note,6
05/08/2012, 16:17:29, Note,6
05/08/2012, 16:17:29, Note,6
05/08/2012, 16:17:29, Note,6
05/08/2012, 16:17:31, Note,6
05/08/2012, 16:17:33, Note,6
05/08/2012, 16:17:38, Note,6
05/08/2012, 16:17:39, Note,6
05/08/2012, 16:17:42, Note,6
05/08/2012, 16:17:46, Note,6
05/08/2012, 16:17:56, Note,6
05/08/2012, 16:17:57, Note,6
05/08/2012, 16:17:58, Note,6
05/08/2012, 16:18:00, Note,6
05/08/2012, 16:18:01, Note,3
05/08/2012, 16:18:01, Note,3
05/08/2012, 16:18:02, Note,2
05/08/2012, 16:18:03, Switching to instrument 1
05/08/2012, 16:18:03, Switching to instrument 2
05/08/2012, 16:18:10, Note,6
05/08/2012, 16:18:13, Note,6
05/08/2012, 16:18:17, Note,6
05/08/2012, 16:18:27, Note,6
05/08/2012, 16:18:27, Note,6
05/08/2012, 16:18:32, Note,6
05/08/2012, 16:18:32, Note,6
05/08/2012, 16:18:33, Note,6
05/08/2012, 16:18:36, Note,6
05/08/2012, 16:18:38, Note,6
05/08/2012, 16:18:39, Note,6
05/08/2012, 16:18:41, Note,6
05/08/2012, 16:18:43, Note,6
05/08/2012, 16:18:43, Note,6
05/08/2012, 16:18:46, Note,6
05/08/2012, 16:18:51, Note,6
05/08/2012, 16:18:53, Note,6
05/08/2012, 16:18:54, Note,6
05/08/2012, 16:19:01, Note,8
05/08/2012, 16:19:07, Note,6
05/08/2012, 16:19:09, Note,6
05/08/2012, 16:19:11, Note,6
05/08/2012, 16:19:15, Note,6
05/08/2012, 16:19:15, Note,6
05/08/2012, 16:19:18, Note,6
05/08/2012, 16:19:18, Note,6
05/08/2012, 16:19:21, Note,6
05/08/2012, 16:19:26, Note,6
05/08/2012, 16:19:37, Screen Saver
05/08/2012, 16:19:44, Note,6
05/08/2012, 16:19:53, Note,6
05/08/2012, 16:19:55, Note,6
05/08/2012, 16:19:56, Note,6
05/08/2012, 16:19:56, Note,6
05/08/2012, 16:19:59, Note,6
05/08/2012, 16:20:00, Note,6
05/08/2012, 16:20:01, Note,8
05/08/2012, 16:20:01, Note,6
05/08/2012, 16:20:04, Note,8
05/08/2012, 16:20:08, Note,6
05/08/2012, 16:20:12, Note,6
05/08/2012, 16:20:15, Note,6
05/08/2012, 16:20:15, Note,6
05/08/2012, 16:20:21, Note,6
05/08/2012, 16:20:23, Note,6
05/08/2012, 16:20:25, Note,6
05/08/2012, 16:20:30, Note,6
05/08/2012, 16:20:30, Note,6
05/08/2012, 16:20:35, Note,6
05/08/2012, 16:20:37, Note,6
05/08/2012, 16:20:39, Note,6
05/08/2012, 16:20:42, Note,8
05/08/2012, 16:20:51, Note,6
05/08/2012, 16:20:51, Note,6
05/08/2012, 16:20:53, Note,6
05/08/2012, 16:21:03, Note,6
05/08/2012, 16:21:05, Note,6
05/08/2012, 16:21:10, Note,6
05/08/2012, 16:21:18, Note,6
05/08/2012, 16:21:18, Note,6
05/08/2012, 16:21:21, Note,6
05/08/2012, 16:21:26, Note,6
05/08/2012, 16:21:27, Note,6
05/08/2012, 16:21:38, Screen Saver
05/08/2012, 16:21:38, Note,6
05/08/2012, 16:21:41, Note,6
05/08/2012, 16:21:42, Note,6
05/08/2012, 16:21:46, Note,6
05/08/2012, 16:21:49, Note,6
05/08/2012, 16:21:58, Note,6
05/08/2012, 16:22:00, Note,6
05/08/2012, 16:22:11, Screen Saver
05/08/2012, 16:22:18, Note,6
05/08/2012, 16:22:28, Screen Saver
05/08/2012, 16:22:38, Note,6
05/08/2012, 16:22:40, Note,6
05/08/2012, 16:22:40, Note,5
05/08/2012, 16:22:41, Note,3
05/08/2012, 16:22:41, Note,2
05/08/2012, 16:22:41, Note,1
05/08/2012, 16:22:42, Note,7
05/08/2012, 16:22:42, Note,6
05/08/2012, 16:22:43, Note,5
05/08/2012, 16:22:43, Note,4
05/08/2012, 16:22:44, Note,5
05/08/2012, 16:22:44, Switching to instrument 3
05/08/2012, 16:22:44, Note,6
05/08/2012, 16:22:44, Note,5
05/08/2012, 16:22:45, Note,4
05/08/2012, 16:22:45, Note,2
05/08/2012, 16:22:45, Note,1
05/08/2012, 16:22:46, Note,6
05/08/2012, 16:22:46, Note,4
05/08/2012, 16:22:46, Note,5
05/08/2012, 16:22:46, Note,6
05/08/2012, 16:22:46, Note,6
05/08/2012, 16:22:47, Note,7
05/08/2012, 16:22:47, Note,7
05/08/2012, 16:22:47, Note,8
05/08/2012, 16:22:48, Note,7
05/08/2012, 16:22:48, Note,7
05/08/2012, 16:22:48, Note,6
05/08/2012, 16:22:48, Note,4
05/08/2012, 16:22:49, Note,3
05/08/2012, 16:22:49, Note,3
05/08/2012, 16:22:50, Note,4
05/08/2012, 16:22:50, Note,6
05/08/2012, 16:22:50, Note,7
05/08/2012, 16:22:50, Note,8
05/08/2012, 16:22:51, Switching to instrument 4
05/08/2012, 16:22:52, Note,6
05/08/2012, 16:22:53, Note,8
05/08/2012, 16:22:53, Note,6
05/08/2012, 16:22:53, Note,8
05/08/2012, 16:22:54, Note,7
05/08/2012, 16:22:54, Note,1
05/08/2012, 16:22:54, Note,2
05/08/2012, 16:22:55, Note,3
05/08/2012, 16:22:55, Note,3
05/08/2012, 16:22:55, Note,4
05/08/2012, 16:22:55, Note,5
05/08/2012, 16:22:55, Note,6
05/08/2012, 16:22:56, Note,7
05/08/2012, 16:22:56, Note,7
05/08/2012, 16:22:56, Note,7
