00/00/0000, 00:00:00, Master Init Complete
05/30/2012, 16:07:13, Note,7
05/30/2012, 16:07:14, Note,6
05/30/2012, 16:07:14, Note,5
05/30/2012, 16:07:14, Note,4
05/30/2012, 16:07:15, Note,3
05/30/2012, 16:07:16, Note,3
05/30/2012, 16:07:16, Note,2
05/30/2012, 16:07:17, Note,1
05/30/2012, 16:07:17, Switching to instrument 1
05/30/2012, 16:07:19, Switching to instrument 2
05/30/2012, 16:07:19, Switching to instrument 3
05/30/2012, 16:07:21, Note,1
05/30/2012, 16:07:21, Note,2
05/30/2012, 16:07:22, Note,4
05/30/2012, 16:07:23, Note,5
05/30/2012, 16:07:23, Note,6
05/30/2012, 16:07:24, Note,7
05/30/2012, 16:07:24, Note,6
05/30/2012, 16:07:25, Note,7
05/30/2012, 16:07:25, Note,7
05/30/2012, 16:07:26, Note,5
05/30/2012, 16:07:27, Note,4
05/30/2012, 16:07:28, Note,3
05/30/2012, 16:07:29, Note,2
05/30/2012, 16:07:29, Note,1
05/30/2012, 16:07:30, Note,1
05/30/2012, 16:07:30, Note,1
05/30/2012, 16:07:30, Note,1
05/30/2012, 16:07:30, Note,2
05/30/2012, 16:07:30, Note,2
05/30/2012, 16:07:31, Note,3
05/30/2012, 16:07:31, Note,3
05/30/2012, 16:07:31, Note,2
05/30/2012, 16:07:31, Note,4
05/30/2012, 16:07:31, Note,5
05/30/2012, 16:07:32, Note,6
05/30/2012, 16:07:32, Note,5
05/30/2012, 16:07:32, Note,7
05/30/2012, 16:07:32, Note,6
05/30/2012, 16:07:32, Note,6
05/30/2012, 16:07:33, Note,6
05/30/2012, 16:07:33, Note,7
05/30/2012, 16:07:33, Note,6
05/30/2012, 16:07:33, Note,5
05/30/2012, 16:07:34, Note,5
05/30/2012, 16:07:34, Note,6
05/30/2012, 16:07:34, Note,5
05/30/2012, 16:07:34, Note,5
05/30/2012, 16:07:34, Note,4
05/30/2012, 16:07:35, Note,1
05/30/2012, 16:07:35, Note,2
05/30/2012, 16:07:35, Note,1
05/30/2012, 16:07:35, Note,2
05/30/2012, 16:07:35, Note,1
05/30/2012, 16:07:36, Note,3
05/30/2012, 16:07:36, Note,2
05/30/2012, 16:07:36, Note,4
05/30/2012, 16:07:37, Note,5
05/30/2012, 16:07:38, Note,7
05/30/2012, 16:07:38, Note,7
05/30/2012, 16:07:38, Note,7
05/30/2012, 16:07:48, Screen Saver
05/30/2012, 16:07:59, Screen Saver
05/30/2012, 16:08:10, Screen Saver
05/30/2012, 16:08:22, Screen Saver
05/30/2012, 16:08:33, Screen Saver
05/30/2012, 16:08:44, Screen Saver
05/30/2012, 16:08:55, Screen Saver
05/30/2012, 16:09:06, Screen Saver
05/30/2012, 16:09:17, Screen Saver
05/30/2012, 16:09:28, Screen Saver
05/30/2012, 16:09:39, Screen Saver
05/30/2012, 16:09:50, Screen Saver
05/30/2012, 16:10:01, Screen Saver
05/30/2012, 16:10:12, Screen Saver
05/30/2012, 16:10:23, Screen Saver
05/30/2012, 16:10:34, Screen Saver
05/30/2012, 16:10:34, Note,4
05/30/2012, 16:10:45, Screen Saver
05/30/2012, 16:10:56, Screen Saver
05/30/2012, 16:11:07, Screen Saver
05/30/2012, 16:11:18, Screen Saver
05/30/2012, 16:11:29, Screen Saver
05/30/2012, 16:11:29, Note,2
05/30/2012, 16:11:40, Screen Saver
05/30/2012, 16:11:51, Screen Saver
05/30/2012, 16:12:02, Screen Saver
05/30/2012, 16:12:13, Screen Saver
05/30/2012, 16:12:24, Screen Saver
05/30/2012, 16:12:35, Screen Saver
05/30/2012, 16:12:46, Screen Saver
05/30/2012, 16:12:57, Screen Saver
05/30/2012, 16:13:08, Screen Saver
05/30/2012, 16:13:19, Screen Saver
05/30/2012, 16:13:30, Screen Saver
05/30/2012, 16:13:41, Screen Saver
05/30/2012, 16:13:52, Screen Saver
05/30/2012, 16:14:01, Note,2
05/30/2012, 16:14:11, Screen Saver
05/30/2012, 16:14:23, Screen Saver
05/30/2012, 16:14:34, Screen Saver
05/30/2012, 16:14:45, Screen Saver
05/30/2012, 16:14:56, Screen Saver
05/30/2012, 16:15:07, Screen Saver
05/30/2012, 16:15:18, Screen Saver
05/30/2012, 16:15:29, Screen Saver
05/30/2012, 16:15:40, Screen Saver
05/30/2012, 16:15:51, Screen Saver
05/30/2012, 16:16:02, Screen Saver
05/30/2012, 16:16:13, Screen Saver
05/30/2012, 16:16:24, Screen Saver
05/30/2012, 16:16:35, Screen Saver
05/30/2012, 16:16:46, Screen Saver
05/30/2012, 16:16:57, Screen Saver
05/30/2012, 16:17:08, Screen Saver
05/30/2012, 16:17:19, Screen Saver
05/30/2012, 16:17:30, Screen Saver
05/30/2012, 16:17:41, Screen Saver
