S Configured
00/00/0000, 00:00:00, Master Init Complete
05/31/2012, 16:41:12, Switching to instrument 1
05/31/2012, 16:41:13, Switching to instrument 2
05/31/2012, 16:41:13, Note,1
05/31/2012, 16:41:13, Switching to instrument 3
05/31/2012, 16:41:18, Note,2
05/31/2012, 16:41:22, Note,7
05/31/2012, 16:41:22, Note,7
05/31/2012, 16:41:27, Note,4
05/31/2012, 16:41:28, Note,4
05/31/2012, 16:41:29, Note,4
05/31/2012, 16:41:29, Note,6
05/31/2012, 16:41:30, Note,5
05/31/2012, 16:41:31, Note,5
05/31/2012, 16:41:31, Note,5
05/31/2012, 16:41:31, Note,5
05/31/2012, 16:41:32, Note,5
05/31/2012, 16:41:32, Note,4
05/31/2012, 16:41:43, Screen Saver
05/31/2012, 16:41:53, Note,4
05/31/2012, 16:42:04, Screen Saver
05/31/2012, 16:42:15, Screen Saver
05/31/2012, 16:42:19, Note,5
05/31/2012, 16:42:19, Note,5
05/31/2012, 16:42:19, Note,4
05/31/2012, 16:42:19, Note,3
05/31/2012, 16:42:20, Note,4
05/31/2012, 16:42:20, Note,5
05/31/2012, 16:42:20, Note,5
05/31/2012, 16:42:21, Note,4
05/31/2012, 16:42:21, Note,2
05/31/2012, 16:42:21, Note,4
05/31/2012, 16:42:21, Note,5
05/31/2012, 16:42:22, Note,4
05/31/2012, 16:42:22, Note,4
05/31/2012, 16:42:22, Note,4
05/31/2012, 16:42:22, Note,5
05/31/2012, 16:42:23, Note,5
05/31/2012, 16:42:23, Note,4
05/31/2012, 16:42:23, Note,5
05/31/2012, 16:42:23, Note,4
05/31/2012, 16:42:23, Note,5
05/31/2012, 16:42:23, Note,4
05/31/2012, 16:42:23, Note,5
05/31/2012, 16:42:23, Note,3
05/31/2012, 16:42:24, Note,3
05/31/2012, 16:42:24, Note,4
05/31/2012, 16:42:24, Note,5
05/31/2012, 16:42:24, Note,7
05/31/2012, 16:42:24, Note,3
05/31/2012, 16:42:24, Note,4
05/31/2012, 16:42:24, Note,3
05/31/2012, 16:42:24, Note,7
05/31/2012, 16:42:24, Note,4
05/31/2012, 16:42:25, Note,3
05/31/2012, 16:42:25, Note,4
05/31/2012, 16:42:25, Note,7
05/31/2012, 16:42:25, Note,3
05/31/2012, 16:42:25, Note,4
05/31/2012, 16:42:25, Note,7
