00/00/0000, 00:00:00, Master Init Complete
00/00/0000, 00:00:00, Screen Saver
00/00/0000, 00:00:00, Screen Saver
00/00/0000, 00:00:00, Screen Saver
06/06/2012, 08:52:43, Screen Saver
06/06/2012, 08:52:54, Screen Saver
06/06/2012, 08:53:06, Screen Saver
06/06/2012, 08:53:17, Screen Saver
06/06/2012, 08:53:28, Screen Saver
06/06/2012, 08:53:39, Screen Saver
06/06/2012, 08:53:50, Screen Saver
06/06/2012, 08:54:01, Screen Saver
06/06/2012, 08:54:12, Screen Saver
06/06/2012, 08:54:23, Screen Saver
06/06/2012, 08:54:34, Screen Saver
06/06/2012, 08:54:45, Screen Saver
06/06/2012, 08:54:56, Screen Saver
06/06/2012, 08:55:07, Screen Saver
06/06/2012, 08:55:18, Screen Saver
06/06/2012, 08:55:29, Screen Saver
06/06/2012, 08:55:40, Screen Saver
06/06/2012, 08:55:51, Screen Saver
06/06/2012, 08:56:02, Screen Saver
06/06/2012, 08:56:13, Screen Saver
06/06/2012, 08:56:24, Screen Saver
06/06/2012, 08:56:35, Screen Saver
06/06/2012, 08:56:46, Screen Saver
06/06/2012, 08:56:57, Screen Saver
06/06/2012, 08:57:08, Screen Saver
06/06/2012, 08:57:19, Screen Saver
06/06/2012, 08:57:30, Screen Saver
06/06/2012, 08:57:41, Screen Saver
06/06/2012, 08:57:52, Screen Saver
06/06/2012, 08:58:03, Screen Saver
06/06/2012, 08:58:14, Screen Saver
06/06/2012, 08:58:25, Screen Saver
06/06/2012, 08:58:36, Screen Saver
06/06/2012, 08:58:47, Screen Saver
06/06/2012, 08:58:58, Screen Saver
06/06/2012, 08:59:09, Screen Saver
06/06/2012, 08:59:21, Screen Saver
06/06/2012, 08:59:32, Screen Saver
06/06/2012, 08:59:43, Screen Saver
06/06/2012, 08:59:54, Screen Saver
06/06/2012, 09:00:05, Screen Saver
06/06/2012, 09:00:16, Screen Saver
06/06/2012, 09:00:27, Screen Saver
06/06/2012, 09:00:38, Screen Saver
06/06/2012, 09:00:49, Screen Saver
06/06/2012, 09:01:00, Screen Saver
06/06/2012, 09:01:11, Screen Saver
06/06/2012, 09:01:22, Screen Saver
06/06/2012, 09:01:33, Screen Saver
06/06/2012, 09:01:44, Screen Saver
06/06/2012, 09:01:55, Screen Saver
06/06/2012, 09:01:57, Note,2
06/06/2012, 09:01:57, Note,2
06/06/2012, 09:01:58, Note,2
06/06/2012, 09:02:04, Note,4
06/06/2012, 09:02:09, Note,1
06/06/2012, 09:02:10, Note,4
06/06/2012, 09:02:17, Note,4
06/06/2012, 09:02:21, Note,2
06/06/2012, 09:02:25, Note,5
06/06/2012, 09:02:26, Note,2
06/06/2012, 09:02:27, Note,5
06/06/2012, 09:02:27, Note,4
06/06/2012, 09:02:28, Note,2
06/06/2012, 09:02:34, Note,2
06/06/2012, 09:02:34, Note,5
06/06/2012, 09:02:34, Note,5
06/06/2012, 09:02:45, Screen Saver
06/06/2012, 09:02:49, Note,5
06/06/2012, 09:02:49, Note,5
06/06/2012, 09:02:51, Note,4
06/06/2012, 09:03:02, Screen Saver
06/06/2012, 09:03:11, Note,4
06/06/2012, 09:03:21, Screen Saver
06/06/2012, 09:03:28, Note,5
06/06/2012, 09:03:39, Note,2
06/06/2012, 09:03:41, Note,5
06/06/2012, 09:03:43, Note,5
06/06/2012, 09:03:45, Note,2
06/06/2012, 09:03:49, Note,2
06/06/2012, 09:03:50, Note,5
06/06/2012, 09:03:50, Note,2
06/06/2012, 09:03:52, Note,4
06/06/2012, 09:03:54, Note,5
06/06/2012, 09:03:57, Note,5
06/06/2012, 09:03:57, Note,2
06/06/2012, 09:03:59, Note,5
06/06/2012, 09:04:01, Note,5
06/06/2012, 09:04:01, Note,2
06/06/2012, 09:04:02, Note,5
06/06/2012, 09:04:05, Note,2
06/06/2012, 09:04:05, Note,5
06/06/2012, 09:04:11, Note,4
06/06/2012, 09:04:13, Note,5
06/06/2012, 09:04:14, Note,2
06/06/2012, 09:04:15, Note,4
06/06/2012, 09:04:15, Note,5
06/06/2012, 09:04:15, Note,5
06/06/2012, 09:04:16, Note,2
06/06/2012, 09:04:18, Note,2
06/06/2012, 09:04:27, Note,5
06/06/2012, 09:04:27, Note,5
06/06/2012, 09:04:38, Screen Saver
06/06/2012, 09:04:38, Note,2
06/06/2012, 09:04:40, Note,4
06/06/2012, 09:04:46, Note,5
06/06/2012, 09:04:54, Note,5
06/06/2012, 09:04:54, Note,2
06/06/2012, 09:05:05, Screen Saver
06/06/2012, 09:05:16, Screen Saver
06/06/2012, 09:05:22, Note,5
06/06/2012, 09:05:31, Note,2
06/06/2012, 09:05:32, Note,5
06/06/2012, 09:05:32, Note,5
06/06/2012, 09:05:40, Note,4
06/06/2012, 09:05:50, Screen Saver
06/06/2012, 09:05:50, Note,2
06/06/2012, 09:05:51, Note,5
06/06/2012, 09:05:51, Note,5
06/06/2012, 09:05:52, Note,2
06/06/2012, 09:05:53, Note,2
06/06/2012, 09:05:57, Note,5
06/06/2012, 09:05:59, Note,2
06/06/2012, 09:06:04, Note,4
06/06/2012, 09:06:14, Screen Saver
06/06/2012, 09:06:19, Note,2
06/06/2012, 09:06:19, Note,5
06/06/2012, 09:06:23, Note,4
06/06/2012, 09:06:27, Note,2
06/06/2012, 09:06:31, Note,5
06/06/2012, 09:06:33, Note,5
06/06/2012, 09:06:39, Note,4
06/06/2012, 09:06:49, Note,4
06/06/2012, 09:06:50, Note,1
06/06/2012, 09:06:53, Note,2
06/06/2012, 09:06:56, Note,4
06/06/2012, 09:06:56, Note,5
06/06/2012, 09:07:00, Note,2
06/06/2012, 09:07:01, Note,5
06/06/2012, 09:07:03, Note,5
06/06/2012, 09:07:04, Note,5
06/06/2012, 09:07:06, Note,1
06/06/2012, 09:07:12, Note,2
06/06/2012, 09:07:12, Note,2
06/06/2012, 09:07:12, Note,5
06/06/2012, 09:07:13, Note,5
06/06/2012, 09:07:24, Screen Saver
06/06/2012, 09:07:29, Note,5
06/06/2012, 09:07:30, Note,2
06/06/2012, 09:07:31, Note,2
06/06/2012, 09:07:34, Note,5
06/06/2012, 09:07:44, Screen Saver
06/06/2012, 09:07:46, Note,4
06/06/2012, 09:07:52, Note,5
06/06/2012, 09:07:53, Note,2
06/06/2012, 09:07:57, Note,4
06/06/2012, 09:08:00, Note,5
06/06/2012, 09:08:01, Note,5
06/06/2012, 09:08:01, Note,2
06/06/2012, 09:08:05, Note,4
06/06/2012, 09:08:09, Note,5
06/06/2012, 09:08:20, Screen Saver
06/06/2012, 09:08:25, Note,2
06/06/2012, 09:08:25, Note,5
06/06/2012, 09:08:26, Note,5
06/06/2012, 09:08:27, Note,5
06/06/2012, 09:08:37, Screen Saver
06/06/2012, 09:08:39, Note,4
06/06/2012, 09:08:40, Note,5
06/06/2012, 09:08:40, Note,5
06/06/2012, 09:08:42, Note,5
06/06/2012, 09:08:43, Note,5
06/06/2012, 09:08:46, Note,2
06/06/2012, 09:08:51, Note,1
06/06/2012, 09:08:53, Note,4
06/06/2012, 09:08:54, Note,5
06/06/2012, 09:08:58, Note,5
06/06/2012, 09:08:58, Note,5
06/06/2012, 09:08:58, Note,2
06/06/2012, 09:08:59, Note,5
06/06/2012, 09:09:02, Note,5
06/06/2012, 09:09:02, Note,2
06/06/2012, 09:09:13, Screen Saver
06/06/2012, 09:09:13, Note,2
06/06/2012, 09:09:13, Note,2
06/06/2012, 09:09:15, Note,5
06/06/2012, 09:09:16, Note,2
06/06/2012, 09:09:26, Screen Saver
06/06/2012, 09:09:28, Note,4
06/06/2012, 09:09:31, Note,5
06/06/2012, 09:09:41, Screen Saver
06/06/2012, 09:09:48, Note,5
06/06/2012, 09:09:58, Screen Saver
06/06/2012, 09:10:00, Note,5
06/06/2012, 09:10:02, Note,5
06/06/2012, 09:10:03, Note,1
06/06/2012, 09:10:05, Note,4
06/06/2012, 09:10:16, Screen Saver
06/06/2012, 09:10:16, Note,2
06/06/2012, 09:10:26, Note,2
06/06/2012, 09:10:28, Note,5
06/06/2012, 09:10:32, Note,2
06/06/2012, 09:10:33, Note,2
06/06/2012, 09:10:37, Note,5
06/06/2012, 09:10:44, Note,5
06/06/2012, 09:10:48, Note,5
06/06/2012, 09:10:55, Note,5
06/06/2012, 09:10:56, Note,2
06/06/2012, 09:10:59, Note,5
06/06/2012, 09:10:59, Note,5
06/06/2012, 09:11:09, Note,5
06/06/2012, 09:11:10, Note,4
06/06/2012, 09:11:19, Note,2
06/06/2012, 09:11:19, Note,5
06/06/2012, 09:11:21, Note,2
06/06/2012, 09:11:22, Note,2
06/06/2012, 09:11:25, Note,4
06/06/2012, 09:11:27, Note,4
06/06/2012, 09:11:31, Note,4
06/06/2012, 09:11:32, Note,5
06/06/2012, 09:11:34, Note,5
06/06/2012, 09:11:34, Note,2
06/06/2012, 09:11:43, Note,2
06/06/2012, 09:11:51, Note,2
06/06/2012, 09:12:02, Screen Saver
06/06/2012, 09:12:02, Note,1
06/06/2012, 09:12:07, Note,2
06/06/2012, 09:12:17, Screen Saver
06/06/2012, 09:12:19, Note,2
06/06/2012, 09:12:20, Note,5
06/06/2012, 09:12:21, Note,5
06/06/2012, 09:12:21, Note,5
06/06/2012, 09:12:21, Note,5
06/06/2012, 09:12:28, Note,4
06/06/2012, 09:12:36, Note,5
06/06/2012, 09:12:38, Note,5
06/06/2012, 09:12:39, Note,5
06/06/2012, 09:12:40, Note,5
06/06/2012, 09:12:42, Note,5
06/06/2012, 09:12:52, Screen Saver
06/06/2012, 09:12:52, Note,4
06/06/2012, 09:12:52, Note,5
06/06/2012, 09:12:55, Note,2
06/06/2012, 09:12:56, Note,2
06/06/2012, 09:12:58, Note,5
06/06/2012, 09:12:58, Note,5
06/06/2012, 09:12:58, Note,5
06/06/2012, 09:13:04, Note,2
06/06/2012, 09:13:05, Note,2
06/06/2012, 09:13:15, Screen Saver
06/06/2012, 09:13:19, Note,2
06/06/2012, 09:13:19, Note,5
06/06/2012, 09:13:21, Note,5
06/06/2012, 09:13:31, Screen Saver
06/06/2012, 09:13:42, Screen Saver
06/06/2012, 09:13:42, Note,4
06/06/2012, 09:13:53, Screen Saver
06/06/2012, 09:13:55, Note,4
06/06/2012, 09:14:06, Screen Saver
06/06/2012, 09:14:06, Note,4
06/06/2012, 09:14:15, Note,2
06/06/2012, 09:14:17, Note,2
06/06/2012, 09:14:21, Note,5
06/06/2012, 09:14:23, Note,4
06/06/2012, 09:14:32, Note,5
06/06/2012, 09:14:34, Note,5
06/06/2012, 09:14:36, Note,2
06/06/2012, 09:14:36, Note,2
06/06/2012, 09:14:36, Note,2
06/06/2012, 09:14:38, Note,5
06/06/2012, 09:14:49, Screen Saver
06/06/2012, 09:14:52, Note,5
06/06/2012, 09:14:52, Note,5
06/06/2012, 09:14:54, Note,2
06/06/2012, 09:15:03, Note,2
06/06/2012, 09:15:04, Note,2
06/06/2012, 09:15:04, Note,5
06/06/2012, 09:15:04, Note,5
06/06/2012, 09:15:05, Note,5
06/06/2012, 09:15:09, Note,2
06/06/2012, 09:15:10, Note,4
06/06/2012, 09:15:21, Screen Saver
06/06/2012, 09:15:28, Note,2
06/06/2012, 09:15:39, Screen Saver
06/06/2012, 09:15:50, Screen Saver
06/06/2012, 09:16:01, Screen Saver
06/06/2012, 09:16:01, Note,5
06/06/2012, 09:16:12, Screen Saver
06/06/2012, 09:16:23, Note,2
06/06/2012, 09:16:24, Note,2
06/06/2012, 09:16:27, Note,4
06/06/2012, 09:16:29, Note,5
06/06/2012, 09:16:40, Screen Saver
06/06/2012, 09:16:51, Screen Saver
06/06/2012, 09:17:02, Screen Saver
06/06/2012, 09:17:13, Screen Saver
06/06/2012, 09:17:24, Screen Saver
06/06/2012, 09:17:35, Screen Saver
06/06/2012, 09:17:46, Screen Saver
06/06/2012, 09:17:57, Screen Saver
06/06/2012, 09:18:08, Screen Saver
06/06/2012, 09:18:08, Note,4
06/06/2012, 09:18:18, Note,4
06/06/2012, 09:18:28, Screen Saver
06/06/2012, 09:18:31, Note,2
06/06/2012, 09:18:41, Screen Saver
06/06/2012, 09:18:52, Screen Saver
06/06/2012, 09:19:03, Screen Saver
06/06/2012, 09:19:05, Note,5
06/06/2012, 09:19:16, Screen Saver
06/06/2012, 09:19:27, Screen Saver
06/06/2012, 09:19:38, Screen Saver
06/06/2012, 09:19:49, Note,2
06/06/2012, 09:19:57, Note,2
06/06/2012, 09:20:07, Screen Saver
06/06/2012, 09:20:07, Note,5
06/06/2012, 09:20:19, Screen Saver
06/06/2012, 09:20:23, Note,2
06/06/2012, 09:20:33, Screen Saver
06/06/2012, 09:20:44, Screen Saver
06/06/2012, 09:20:55, Screen Saver
06/06/2012, 09:21:05, Note,2
06/06/2012, 09:21:05, Note,2
06/06/2012, 09:21:16, Screen Saver
06/06/2012, 09:21:18, Note,4
06/06/2012, 09:21:29, Screen Saver
06/06/2012, 09:21:40, Screen Saver
06/06/2012, 09:21:48, Note,5
06/06/2012, 09:21:59, Screen Saver
06/06/2012, 09:22:09, Note,2
06/06/2012, 09:22:19, Screen Saver
06/06/2012, 09:22:19, Note,5
06/06/2012, 09:22:30, Screen Saver
06/06/2012, 09:22:41, Screen Saver
06/06/2012, 09:22:52, Screen Saver
06/06/2012, 09:22:52, Note,2
06/06/2012, 09:22:53, Note,2
06/06/2012, 09:23:04, Screen Saver
06/06/2012, 09:23:04, Note,2
06/06/2012, 09:23:15, Screen Saver
06/06/2012, 09:23:15, Note,2
06/06/2012, 09:23:19, Note,2
06/06/2012, 09:23:30, Screen Saver
06/06/2012, 09:23:40, Note,5
06/06/2012, 09:23:40, Note,4
06/06/2012, 09:23:50, Note,2
06/06/2012, 09:24:00, Note,5
06/06/2012, 09:24:01, Note,5
06/06/2012, 09:24:02, Note,5
06/06/2012, 09:24:13, Screen Saver
06/06/2012, 09:24:22, Note,2
06/06/2012, 09:24:33, Screen Saver
06/06/2012, 09:24:44, Screen Saver
06/06/2012, 09:24:55, Screen Saver
06/06/2012, 09:24:59, Note,5
06/06/2012, 09:25:08, Note,5
06/06/2012, 09:25:16, Note,5
06/06/2012, 09:25:17, Note,4
06/06/2012, 09:25:24, Note,2
06/06/2012, 09:25:26, Note,5
06/06/2012, 09:25:26, Note,5
06/06/2012, 09:25:36, Note,2
06/06/2012, 09:25:46, Screen Saver
06/06/2012, 09:25:53, Note,2
06/06/2012, 09:25:59, Note,5
06/06/2012, 09:26:09, Screen Saver
06/06/2012, 09:26:12, Note,2
06/06/2012, 09:26:22, Screen Saver
06/06/2012, 09:26:31, Note,5
06/06/2012, 09:26:41, Screen Saver
06/06/2012, 09:26:52, Screen Saver
06/06/2012, 09:26:55, Note,2
06/06/2012, 09:26:55, Note,2
06/06/2012, 09:27:05, Screen Saver
06/06/2012, 09:27:07, Note,2
06/06/2012, 09:27:07, Note,2
06/06/2012, 09:27:08, Note,2
06/06/2012, 09:27:19, Screen Saver
06/06/2012, 09:27:21, Note,4
06/06/2012, 09:27:23, Note,2
06/06/2012, 09:27:23, Note,5
06/06/2012, 09:27:25, Note,2
06/06/2012, 09:27:35, Screen Saver
06/06/2012, 09:27:46, Screen Saver
06/06/2012, 09:27:50, Note,2
06/06/2012, 09:28:00, Screen Saver
06/06/2012, 09:28:12, Screen Saver
06/06/2012, 09:28:23, Screen Saver
06/06/2012, 09:28:23, Note,2
06/06/2012, 09:28:35, Screen Saver
06/06/2012, 09:28:46, Screen Saver
06/06/2012, 09:28:52, Note,5
06/06/2012, 09:29:03, Screen Saver
06/06/2012, 09:29:03, Note,5
06/06/2012, 09:29:03, Note,5
06/06/2012, 09:29:04, Note,2
06/06/2012, 09:29:09, Note,2
06/06/2012, 09:29:20, Screen Saver
06/06/2012, 09:29:24, Note,5
06/06/2012, 09:29:26, Note,5
06/06/2012, 09:29:26, Note,2
06/06/2012, 09:29:36, Note,5
06/06/2012, 09:29:47, Screen Saver
06/06/2012, 09:29:47, Note,2
06/06/2012, 09:29:58, Screen Saver
06/06/2012, 09:30:09, Screen Saver
06/06/2012, 09:30:18, Note,5
06/06/2012, 09:30:26, Note,5
06/06/2012, 09:30:33, Note,5
06/06/2012, 09:30:44, Screen Saver
06/06/2012, 09:30:55, Screen Saver
06/06/2012, 09:30:57, Note,2
06/06/2012, 09:31:08, Screen Saver
06/06/2012, 09:31:19, Screen Saver
06/06/2012, 09:31:29, Note,2
06/06/2012, 09:31:29, Switching to instrument 1
06/06/2012, 09:31:31, Note,1
06/06/2012, 09:31:31, Note,3
06/06/2012, 09:31:31, Note,4
06/06/2012, 09:31:32, Note,5
06/06/2012, 09:31:32, Note,3
06/06/2012, 09:31:32, Note,1
06/06/2012, 09:31:32, Note,3
06/06/2012, 09:31:33, Note,1
06/06/2012, 09:31:33, Note,6
06/06/2012, 09:31:33, Note,6
06/06/2012, 09:31:33, Note,5
06/06/2012, 09:31:33, Note,3
06/06/2012, 09:31:33, Note,7
06/06/2012, 09:31:33, Note,7
06/06/2012, 09:31:35, Note,1
06/06/2012, 09:31:36, Note,1
06/06/2012, 09:31:37, Note,2
06/06/2012, 09:31:38, Note,4
06/06/2012, 09:31:38, Note,5
06/06/2012, 09:31:39, Note,6
06/06/2012, 09:31:39, Note,6
06/06/2012, 09:31:39, Note,7
06/06/2012, 09:31:39, Note,7
06/06/2012, 09:31:40, Note,7
06/06/2012, 09:31:40, Note,6
06/06/2012, 09:31:40, Note,7
06/06/2012, 09:31:40, Note,5
06/06/2012, 09:31:40, Note,5
06/06/2012, 09:31:41, Note,6
06/06/2012, 09:31:41, Note,5
06/06/2012, 09:31:41, Note,5
06/06/2012, 09:31:41, Note,4
06/06/2012, 09:31:42, Note,3
06/06/2012, 09:31:42, Note,3
06/06/2012, 09:31:42, Note,3
06/06/2012, 09:31:42, Note,3
