onfigured
00/00/0000, 00:00:00, Master Init Complete
06/19/2012, 15:59:17, Note,1
06/19/2012, 15:59:17, Note,2
06/19/2012, 15:59:18, Note,3
06/19/2012, 15:59:19, Note,4
06/19/2012, 15:59:19, Note,5
06/19/2012, 15:59:20, Note,7
06/19/2012, 15:59:21, Note,6
06/19/2012, 15:59:22, Note,5
06/19/2012, 15:59:23, Note,6
06/19/2012, 15:59:23, Note,7
06/19/2012, 15:59:24, Note,6
06/19/2012, 15:59:25, Note,5
06/19/2012, 15:59:25, Note,4
06/19/2012, 15:59:26, Note,3
06/19/2012, 15:59:26, Note,1
06/19/2012, 15:59:27, Note,1
06/19/2012, 15:59:28, Note,2
06/19/2012, 15:59:28, Note,3
06/19/2012, 15:59:28, Note,4
06/19/2012, 15:59:28, Note,5
06/19/2012, 15:59:29, Note,6
06/19/2012, 15:59:29, Note,7
06/19/2012, 15:59:30, Note,6
06/19/2012, 15:59:31, Note,5
06/19/2012, 15:59:31, Note,4
06/19/2012, 15:59:31, Note,4
06/19/2012, 15:59:31, Note,3
06/19/2012, 15:59:31, Note,3
06/19/2012, 15:59:32, Note,2
06/19/2012, 15:59:32, Note,4
06/19/2012, 15:59:32, Note,2
06/19/2012, 15:59:32, Note,1
06/19/2012, 15:59:32, Note,1
06/19/2012, 15:59:32, Note,1
06/19/2012, 15:59:32, Note,5
06/19/2012, 15:59:32, Note,3
06/19/2012, 15:59:33, Note,1
06/19/2012, 15:59:33, Note,2
06/19/2012, 15:59:34, Note,1
06/19/2012, 15:59:34, Note,3
06/19/2012, 15:59:34, Note,1
06/19/2012, 15:59:35, Note,5
06/19/2012, 15:59:36, Note,4
06/19/2012, 15:59:36, Note,4
06/19/2012, 15:59:37, Note,2
06/19/2012, 15:59:37, Note,5
06/19/2012, 15:59:37, Note,6
06/19/2012, 15:59:37, Note,6
06/19/2012, 15:59:37, Note,3
06/19/2012, 15:59:38, Note,3
06/19/2012, 15:59:38, Note,5
06/19/2012, 15:59:38, Note,3
06/19/2012, 15:59:38, Note,3
06/19/2012, 15:59:38, Note,5
06/19/2012, 15:59:39, Note,6
06/19/2012, 15:59:39, Note,5
06/19/2012, 15:59:39, Note,7
06/19/2012, 15:59:39, Note,7
06/19/2012, 15:59:39, Note,7
06/19/2012, 15:59:40, Note,7
06/19/2012, 15:59:40, Note,7
06/19/2012, 15:59:40, Note,7
06/19/2012, 15:59:40, Note,6
06/19/2012, 15:59:40, Note,4
06/19/2012, 15:59:41, Note,5
06/19/2012, 15:59:41, Note,3
06/19/2012, 15:59:41, Note,3
06/19/2012, 15:59:41, Note,3
06/19/2012, 15:59:41, Note,2
06/19/2012, 15:59:41, Note,2
06/19/2012, 15:59:42, Note,1
06/19/2012, 15:59:42, Note,2
06/19/2012, 15:59:43, Note,3
06/19/2012, 15:59:44, Note,4
06/19/2012, 15:59:44, Note,4
06/19/2012, 15:59:44, Note,3
06/19/2012, 15:59:45, Note,3
06/19/2012, 15:59:45, Note,5
06/19/2012, 15:59:45, Note,6
06/19/2012, 15:59:46, Note,6
06/19/2012, 15:59:47, Note,7
06/19/2012, 15:59:47, Note,7
06/19/2012, 15:59:48, Note,7
06/19/2012, 15:59:48, Note,7
06/19/2012, 15:59:51, Note,2
06/19/2012, 15:59:51, Note,2
06/19/2012, 15:59:53, Note,1
06/19/2012, 15:59:54, Note,1
06/19/2012, 15:59:54, Note,2
06/19/2012, 15:59:55, Note,3
06/19/2012, 15:59:55, Note,4
06/19/2012, 15:59:56, Note,5
06/19/2012, 15:59:56, Note,5
06/19/2012, 15:59:56, Note,6
06/19/2012, 15:59:57, Note,7
06/19/2012, 15:59:58, Note,5
06/19/2012, 16:00:08, Screen Saver
06/19/2012, 16:00:19, Screen Saver
06/19/2012, 16:00:30, Screen Saver
06/19/2012, 16:00:41, Screen Saver
06/19/2012, 16:00:45, Note,1
06/19/2012, 16:00:46, Note,2
06/19/2012, 16:00:46, Note,3
06/19/2012, 16:00:46, Note,3
06/19/2012, 16:00:46, Note,4
06/19/2012, 16:00:47, Note,5
06/19/2012, 16:00:47, Note,4
06/19/2012, 16:00:48, Note,6
06/19/2012, 16:00:48, Note,5
06/19/2012, 16:00:49, Note,6
06/19/2012, 16:00:49, Note,4
06/19/2012, 16:00:50, Note,5
06/19/2012, 16:00:50, Note,6
06/19/2012, 16:00:50, Note,7
06/19/2012, 16:00:51, Note,4
06/19/2012, 16:00:52, Note,3
06/19/2012, 16:00:52, Note,5
06/19/2012, 16:00:52, Note,4
06/19/2012, 16:00:52, Note,2
06/19/2012, 16:00:53, Note,1
06/19/2012, 16:00:55, Note,1
06/19/2012, 16:00:55, Switching to instrument 1
06/19/2012, 16:00:56, Note,1
06/19/2012, 16:00:58, Note,3
06/19/2012, 16:01:00, Note,5
06/19/2012, 16:01:01, Note,6
06/19/2012, 16:01:02, Note,6
06/19/2012, 16:01:02, Note,6
06/19/2012, 16:01:02, Note,7
06/19/2012, 16:01:02, Note,7
06/19/2012, 16:01:02, Note,7
06/19/2012, 16:01:03, Note,7
06/19/2012, 16:01:08, Note,6
06/19/2012, 16:01:08, Note,5
06/19/2012, 16:01:08, Note,4
06/19/2012, 16:01:09, Note,2
06/19/2012, 16:01:10, Note,1
06/19/2012, 16:01:10, Note,2
06/19/2012, 16:01:11, Switching to instrument 2
06/19/2012, 16:01:11, Note,3
06/19/2012, 16:01:11, Note,4
06/19/2012, 16:01:12, Note,5
06/19/2012, 16:01:12, Note,6
06/19/2012, 16:01:12, Note,7
06/19/2012, 16:01:12, Note,7
06/19/2012, 16:01:14, Note,7
06/19/2012, 16:01:15, Note,6
06/19/2012, 16:01:15, Note,5
06/19/2012, 16:01:16, Note,4
06/19/2012, 16:01:16, Note,3
06/19/2012, 16:01:16, Note,2
06/19/2012, 16:01:17, Note,2
06/19/2012, 16:01:17, Note,3
06/19/2012, 16:01:17, Note,4
06/19/2012, 16:01:17, Note,5
06/19/2012, 16:01:18, Note,6
06/19/2012, 16:01:18, Note,7
06/19/2012, 16:01:18, Note,7
06/19/2012, 16:01:19, Note,6
06/19/2012, 16:01:24, Switching to instrument 3
06/19/2012, 16:01:26, Note,1
06/19/2012, 16:01:27, Note,3
06/19/2012, 16:01:28, Note,4
06/19/2012, 16:01:29, Note,5
06/19/2012, 16:01:29, Note,6
06/19/2012, 16:01:29, Note,6
06/19/2012, 16:01:29, Note,6
06/19/2012, 16:01:30, Note,6
06/19/2012, 16:01:30, Note,5
06/19/2012, 16:01:40, Screen Saver
06/19/2012, 16:01:51, Screen Saver
06/19/2012, 16:02:02, Screen Saver
06/19/2012, 16:02:13, Screen Saver
06/19/2012, 16:02:24, Screen Saver
06/19/2012, 16:02:35, Screen Saver
06/19/2012, 16:02:35, Note,4
06/19/2012, 16:02:47, Screen Saver
06/19/2012, 16:02:58, Screen Saver
06/19/2012, 16:03:10, Screen Saver
06/19/2012, 16:03:21, Screen Saver
06/19/2012, 16:03:32, Screen Saver
06/19/2012, 16:03:43, Screen Saver
06/19/2012, 16:03:54, Screen Saver
06/19/2012, 16:04:05, Screen Saver
06/19/2012, 16:04:16, Screen Saver
06/19/2012, 16:04:27, Screen Saver
06/19/2012, 16:04:38, Screen Saver
06/19/2012, 16:04:49, Screen Saver
06/19/2012, 16:05:00, Screen Saver
06/19/2012, 16:05:11, Screen Saver
06/19/2012, 16:05:16, Switching to instrument 4
06/19/2012, 16:05:16, Note,1
06/19/2012, 16:05:18, Note,2
06/19/2012, 16:05:19, Note,3
06/19/2012, 16:05:19, Note,4
06/19/2012, 16:05:20, Note,5
06/19/2012, 16:05:21, Note,5
06/19/2012, 16:05:21, Note,6
06/19/2012, 16:05:22, Note,7
06/19/2012, 16:05:22, Note,7
06/19/2012, 16:05:22, Note,4
