³igured
00/00/0000, 00:00:00, Master Init Complete
06/20/2012, 13:49:00, Note,1
06/20/2012, 13:49:00, Note,2
06/20/2012, 13:49:00, Note,5
06/20/2012, 13:49:01, Note,1
06/20/2012, 13:49:01, Note,1
06/20/2012, 13:49:02, Note,2
06/20/2012, 13:49:02, Note,4
06/20/2012, 13:49:02, Note,4
06/20/2012, 13:49:03, Note,2
06/20/2012, 13:49:03, Switching to instrument 1
06/20/2012, 13:49:03, Note,2
06/20/2012, 13:49:04, Note,4
06/20/2012, 13:49:05, Note,4
06/20/2012, 13:49:05, Note,5
06/20/2012, 13:49:07, Note,2
06/20/2012, 13:49:07, Note,1
06/20/2012, 13:49:08, Note,2
06/20/2012, 13:49:08, Note,2
06/20/2012, 13:49:09, Switching to instrument 2
06/20/2012, 13:49:10, Note,2
06/20/2012, 13:49:10, Note,2
06/20/2012, 13:49:11, Note,2
06/20/2012, 13:49:11, Note,2
06/20/2012, 13:49:12, Note,2
06/20/2012, 13:49:12, Note,2
06/20/2012, 13:49:14, Note,2
06/20/2012, 13:49:14, Switching to instrument 3
06/20/2012, 13:49:14, Note,2
06/20/2012, 13:49:15, Note,2
06/20/2012, 13:49:16, Note,2
06/20/2012, 13:49:16, Note,1
06/20/2012, 13:49:17, Note,2
06/20/2012, 13:49:18, Note,3
06/20/2012, 13:49:18, Note,4
06/20/2012, 13:49:18, Note,4
06/20/2012, 13:49:18, Note,3
06/20/2012, 13:49:18, Note,3
06/20/2012, 13:49:18, Note,4
06/20/2012, 13:49:19, Note,4
06/20/2012, 13:49:19, Note,3
06/20/2012, 13:49:19, Note,4
06/20/2012, 13:49:19, Note,4
06/20/2012, 13:49:19, Note,3
06/20/2012, 13:49:20, Note,4
06/20/2012, 13:49:20, Note,4
06/20/2012, 13:49:21, Note,3
06/20/2012, 13:49:21, Note,3
06/20/2012, 13:49:22, Note,3
06/20/2012, 13:49:22, Note,3
06/20/2012, 13:49:22, Note,2
06/20/2012, 13:49:22, Note,4
06/20/2012, 13:49:23, Note,5
06/20/2012, 13:49:23, Note,2
06/20/2012, 13:49:23, Note,5
06/20/2012, 13:49:24, Note,3
06/20/2012, 13:49:24, Note,4
06/20/2012, 13:49:25, Note,3
06/20/2012, 13:49:26, Note,3
06/20/2012, 13:49:26, Note,5
06/20/2012, 13:49:26, Note,3
06/20/2012, 13:49:26, Note,3
06/20/2012, 13:49:26, Note,5
06/20/2012, 13:49:26, Note,3
06/20/2012, 13:49:26, Note,3
06/20/2012, 13:49:26, Note,3
06/20/2012, 13:49:26, Note,5
06/20/2012, 13:49:27, Note,3
06/20/2012, 13:49:27, Note,5
06/20/2012, 13:49:27, Note,3
06/20/2012, 13:49:27, Note,5
06/20/2012, 13:49:27, Note,3
06/20/2012, 13:49:27, Note,3
06/20/2012, 13:49:27, Note,5
06/20/2012, 13:49:28, Note,1
06/20/2012, 13:49:28, Switching to instrument 4
06/20/2012, 13:49:28, Note,1
06/20/2012, 13:49:29, Note,3
06/20/2012, 13:49:29, Note,2
06/20/2012, 13:49:29, Note,2
06/20/2012, 13:49:30, Note,3
06/20/2012, 13:49:30, Note,3
06/20/2012, 13:49:30, Note,3
06/20/2012, 13:49:30, Note,3
06/20/2012, 13:49:31, Note,3
06/20/2012, 13:49:31, Note,3
06/20/2012, 13:49:31, Note,3
06/20/2012, 13:49:31, Note,3
06/20/2012, 13:49:32, Note,3
06/20/2012, 13:49:32, Note,2
06/20/2012, 13:49:32, Note,3
06/20/2012, 13:49:32, Note,2
06/20/2012, 13:49:33, Note,2
06/20/2012, 13:49:33, Note,5
06/20/2012, 13:49:33, Note,4
06/20/2012, 13:49:33, Note,5
06/20/2012, 13:49:33, Note,5
06/20/2012, 13:49:33, Note,2
06/20/2012, 13:49:33, Note,4
06/20/2012, 13:49:34, Note,5
06/20/2012, 13:49:34, Note,2
06/20/2012, 13:49:34, Note,2
06/20/2012, 13:49:35, Note,2
06/20/2012, 13:49:35, Note,6
06/20/2012, 13:49:35, Note,2
06/20/2012, 13:49:35, Note,2
06/20/2012, 13:49:35, Note,4
06/20/2012, 13:49:35, Note,7
06/20/2012, 13:49:35, Note,4
06/20/2012, 13:49:35, Note,4
06/20/2012, 13:49:35, Note,4
06/20/2012, 13:49:36, Note,4
06/20/2012, 13:49:36, Note,4
06/20/2012, 13:49:36, Note,6
06/20/2012, 13:49:36, Note,3
06/20/2012, 13:49:36, Note,5
06/20/2012, 13:49:36, Note,1
06/20/2012, 13:49:36, Note,4
06/20/2012, 13:49:36, Note,2
06/20/2012, 13:49:37, Note,1
06/20/2012, 13:49:38, Note,2
06/20/2012, 13:49:39, Note,1
06/20/2012, 13:49:39, Note,1
06/20/2012, 13:49:39, Note,2
06/20/2012, 13:49:39, Note,1
06/20/2012, 13:49:39, Note,3
06/20/2012, 13:49:39, Note,2
06/20/2012, 13:49:39, Note,3
06/20/2012, 13:49:39, Note,2
06/20/2012, 13:49:39, Note,2
06/20/2012, 13:49:39, Note,4
06/20/2012, 13:49:40, Note,3
06/20/2012, 13:49:40, Note,5
06/20/2012, 13:49:40, Note,4
06/20/2012, 13:49:40, Note,4
06/20/2012, 13:49:40, Note,5
06/20/2012, 13:49:41, Note,4
06/20/2012, 13:49:41, Note,5
06/20/2012, 13:49:41, Note,1
06/20/2012, 13:49:41, Switching to noises
06/20/2012, 13:49:42, Note,1
06/20/2012, 13:49:43, Note,2
06/20/2012, 13:49:43, Note,2
06/20/2012, 13:49:43, Note,4
06/20/2012, 13:49:43, Note,3
06/20/2012, 13:49:43, Note,3
06/20/2012, 13:49:43, Note,5
06/20/2012, 13:49:43, Note,4
06/20/2012, 13:49:44, Note,5
06/20/2012, 13:49:44, Note,6
06/20/2012, 13:49:44, Note,6
06/20/2012, 13:49:44, Note,5
