00/00/0000, 00:00:00, Master Init Complete
06/23/2012, 16:46:27, Switching to instrument 1
06/23/2012, 16:46:28, Note,3
06/23/2012, 16:46:28, Note,3
06/23/2012, 16:46:28, Note,1
06/23/2012, 16:46:28, Note,3
06/23/2012, 16:46:28, Note,3
06/23/2012, 16:46:28, Note,3
06/23/2012, 16:46:28, Note,3
06/23/2012, 16:46:29, Note,4
06/23/2012, 16:46:29, Note,2
06/23/2012, 16:46:29, Note,4
06/23/2012, 16:46:29, Note,4
06/23/2012, 16:46:29, Note,7
06/23/2012, 16:46:31, Note,4
06/23/2012, 16:46:31, Note,7
06/23/2012, 16:46:31, Note,4
06/23/2012, 16:46:31, Note,6
06/23/2012, 16:46:31, Note,7
06/23/2012, 16:46:32, Note,6
06/23/2012, 16:46:33, Note,1
06/23/2012, 16:46:33, Note,3
06/23/2012, 16:46:33, Note,2
06/23/2012, 16:46:35, Note,3
06/23/2012, 16:46:35, Note,5
06/23/2012, 16:46:36, Note,3
06/23/2012, 16:46:36, Note,3
06/23/2012, 16:46:36, Note,4
06/23/2012, 16:46:36, Note,3
06/23/2012, 16:46:36, Note,3
06/23/2012, 16:46:36, Note,3
06/23/2012, 16:46:36, Note,2
06/23/2012, 16:46:36, Note,3
06/23/2012, 16:46:37, Note,2
06/23/2012, 16:46:37, Note,4
06/23/2012, 16:46:38, Note,4
06/23/2012, 16:46:38, Note,3
06/23/2012, 16:46:38, Note,2
06/23/2012, 16:46:38, Note,4
06/23/2012, 16:46:38, Note,1
06/23/2012, 16:46:39, Note,2
06/23/2012, 16:46:39, Note,5
06/23/2012, 16:46:39, Note,3
06/23/2012, 16:46:40, Note,3
06/23/2012, 16:46:41, Note,3
06/23/2012, 16:46:41, Note,5
06/23/2012, 16:46:41, Note,3
06/23/2012, 16:46:41, Note,3
06/23/2012, 16:46:41, Note,3
06/23/2012, 16:46:41, Note,3
06/23/2012, 16:46:41, Note,3
06/23/2012, 16:46:41, Note,3
06/23/2012, 16:46:42, Note,5
06/23/2012, 16:46:42, Note,5
06/23/2012, 16:46:43, Note,6
06/23/2012, 16:46:43, Note,6
06/23/2012, 16:46:43, Note,4
06/23/2012, 16:46:43, Note,7
06/23/2012, 16:46:44, Note,7
06/23/2012, 16:46:44, Note,7
06/23/2012, 16:46:44, Note,7
06/23/2012, 16:46:44, Note,7
06/23/2012, 16:46:45, Note,5
06/23/2012, 16:46:46, Note,1
06/23/2012, 16:46:46, Note,1
06/23/2012, 16:46:47, Note,2
06/23/2012, 16:46:47, Note,2
06/23/2012, 16:46:49, Note,3
06/23/2012, 16:46:49, Note,3
06/23/2012, 16:46:49, Note,3
06/23/2012, 16:46:56, Note,7
06/23/2012, 16:46:57, Note,6
06/23/2012, 16:46:58, Note,4
06/23/2012, 16:46:58, Note,5
06/23/2012, 16:46:58, Note,5
06/23/2012, 16:46:59, Note,3
06/23/2012, 16:46:59, Note,3
06/23/2012, 16:46:59, Note,3
06/23/2012, 16:46:59, Note,4
06/23/2012, 16:46:59, Note,3
06/23/2012, 16:47:00, Note,2
06/23/2012, 16:47:00, Note,1
06/23/2012, 16:47:00, Note,2
06/23/2012, 16:47:00, Note,2
06/23/2012, 16:47:00, Note,1
06/23/2012, 16:47:02, Note,1
06/23/2012, 16:47:02, Note,1
06/23/2012, 16:47:06, Note,2
06/23/2012, 16:47:07, Note,2
06/23/2012, 16:47:08, Note,3
06/23/2012, 16:47:08, Note,3
06/23/2012, 16:47:08, Note,1
06/23/2012, 16:47:09, Note,3
06/23/2012, 16:47:09, Note,3
06/23/2012, 16:47:10, Switching to instrument 2
06/23/2012, 16:47:10, Note,2
06/23/2012, 16:47:12, Note,2
06/23/2012, 16:47:13, Note,1
06/23/2012, 16:47:15, Note,2
06/23/2012, 16:47:15, Switching to instrument 3
06/23/2012, 16:47:25, Screen Saver
06/23/2012, 16:47:37, Screen Saver
06/23/2012, 16:47:45, Note,5
06/23/2012, 16:47:56, Screen Saver
06/23/2012, 16:48:07, Screen Saver
06/23/2012, 16:48:18, Screen Saver
06/23/2012, 16:48:23, Note,2
06/23/2012, 16:48:24, Note,3
06/23/2012, 16:48:24, Note,3
06/23/2012, 16:48:24, Note,2
06/23/2012, 16:48:24, Note,3
06/23/2012, 16:48:25, Note,3
06/23/2012, 16:48:26, Note,1
06/23/2012, 16:48:26, Switching to instrument 4
06/23/2012, 16:48:28, Note,3
06/23/2012, 16:48:28, Note,2
06/23/2012, 16:48:28, Note,3
06/23/2012, 16:48:28, Note,3
06/23/2012, 16:48:29, Note,3
06/23/2012, 16:48:29, Note,4
06/23/2012, 16:48:29, Note,5
06/23/2012, 16:48:29, Note,6
06/23/2012, 16:48:30, Note,5
06/23/2012, 16:48:30, Note,7
06/23/2012, 16:48:30, Note,7
06/23/2012, 16:48:31, Note,4
06/23/2012, 16:48:31, Note,6
06/23/2012, 16:48:31, Note,3
06/23/2012, 16:48:31, Note,3
06/23/2012, 16:48:31, Note,2
06/23/2012, 16:48:31, Note,3
06/23/2012, 16:48:32, Note,2
06/23/2012, 16:48:32, Note,4
06/23/2012, 16:48:32, Note,5
06/23/2012, 16:48:32, Note,2
06/23/2012, 16:48:33, Note,5
06/23/2012, 16:48:33, Switching to noises
06/23/2012, 16:48:33, Note,4
06/23/2012, 16:48:33, Note,1
06/23/2012, 16:48:34, Note,4
06/23/2012, 16:48:34, Note,5
06/23/2012, 16:48:35, Note,6
06/23/2012, 16:48:35, Note,4
06/23/2012, 16:48:35, Note,5
06/23/2012, 16:48:35, Note,5
06/23/2012, 16:48:35, Note,2
06/23/2012, 16:48:36, Note,2
06/23/2012, 16:48:36, Note,3
06/23/2012, 16:48:37, Note,3
06/23/2012, 16:48:37, Note,5
06/23/2012, 16:48:37, Note,3
06/23/2012, 16:48:37, Note,6
06/23/2012, 16:48:37, Note,3
06/23/2012, 16:48:37, Note,7
06/23/2012, 16:48:37, Note,4
06/23/2012, 16:48:37, Note,7
06/23/2012, 16:48:38, Note,5
06/23/2012, 16:48:38, Note,7
06/23/2012, 16:48:38, Note,5
06/23/2012, 16:48:38, Note,6
06/23/2012, 16:48:38, Note,5
06/23/2012, 16:48:38, Note,3
06/23/2012, 16:48:38, Note,4
06/23/2012, 16:48:39, Note,1
06/23/2012, 16:48:39, Note,2
06/23/2012, 16:48:39, Note,3
06/23/2012, 16:48:39, Note,3
06/23/2012, 16:48:39, Note,2
06/23/2012, 16:48:39, Note,2
06/23/2012, 16:48:39, Note,3
06/23/2012, 16:48:39, Note,4
06/23/2012, 16:48:39, Note,5
06/23/2012, 16:48:39, Note,4
06/23/2012, 16:48:39, Note,6
06/23/2012, 16:48:40, Note,7
06/23/2012, 16:48:40, Note,5
06/23/2012, 16:48:40, Note,7
06/23/2012, 16:48:40, Note,4
06/23/2012, 16:48:40, Note,6
06/23/2012, 16:48:40, Note,5
06/23/2012, 16:48:40, Note,7
06/23/2012, 16:48:41, Note,6
06/23/2012, 16:48:41, Note,7
06/23/2012, 16:48:42, Note,7
06/23/2012, 16:48:42, Note,7
06/23/2012, 16:48:42, Note,5
06/23/2012, 16:48:42, Note,6
06/23/2012, 16:48:43, Note,5
06/23/2012, 16:48:43, Note,5
06/23/2012, 16:48:43, Note,5
06/23/2012, 16:48:43, Note,4
06/23/2012, 16:48:44, Note,4
06/23/2012, 16:48:44, Note,3
06/23/2012, 16:48:44, Note,3
06/23/2012, 16:48:44, Note,2
06/23/2012, 16:48:44, Note,3
06/23/2012, 16:48:44, Note,2
06/23/2012, 16:48:44, Note,1
06/23/2012, 16:48:45, Note,3
06/23/2012, 16:48:45, Note,2
06/23/2012, 16:48:45, Note,3
06/23/2012, 16:48:45, Note,5
