‘5
00/00/0000, 00:00:00, Master Init Complete
00/00/0000, 00:00:00, Screen Saver
00/00/0000, 00:00:00, Screen Saver
00/00/0000, 00:00:00, Screen Saver
07/07/2012, 09:53:29, Screen Saver
07/07/2012, 09:53:40, Screen Saver
07/07/2012, 09:53:51, Screen Saver
07/07/2012, 09:54:02, Screen Saver
07/07/2012, 09:54:13, Screen Saver
07/07/2012, 09:54:24, Screen Saver
07/07/2012, 09:54:35, Screen Saver
07/07/2012, 09:54:46, Screen Saver
07/07/2012, 09:54:57, Screen Saver
07/07/2012, 09:55:08, Screen Saver
07/07/2012, 09:55:19, Screen Saver
07/07/2012, 09:55:30, Screen Saver
07/07/2012, 09:55:41, Screen Saver
07/07/2012, 09:55:52, Screen Saver
07/07/2012, 09:56:03, Screen Saver
07/07/2012, 09:56:14, Screen Saver
07/07/2012, 09:56:25, Screen Saver
07/07/2012, 09:56:36, Screen Saver
07/07/2012, 09:56:47, Screen Saver
07/07/2012, 09:56:58, Screen Saver
07/07/2012, 09:57:09, Screen Saver
07/07/2012, 09:57:21, Screen Saver
07/07/2012, 09:57:32, Screen Saver
07/07/2012, 09:57:43, Screen Saver
07/07/2012, 09:57:54, Screen Saver
07/07/2012, 09:58:02, Note,4
07/07/2012, 09:58:05, Note,1
07/07/2012, 09:58:08, Note,1
07/07/2012, 09:58:12, Note,1
07/07/2012, 09:58:13, Note,1
07/07/2012, 09:58:14, Note,1
07/07/2012, 09:58:16, Note,1
07/07/2012, 09:58:19, Note,1
07/07/2012, 09:58:22, Note,1
07/07/2012, 09:58:23, Note,1
07/07/2012, 09:58:24, Note,1
07/07/2012, 09:58:25, Note,1
07/07/2012, 09:58:36, Screen Saver
07/07/2012, 09:58:37, Note,1
07/07/2012, 09:58:43, Note,1
07/07/2012, 09:58:43, Note,1
07/07/2012, 09:58:47, Note,1
07/07/2012, 09:58:58, Screen Saver
07/07/2012, 09:59:06, Note,1
07/07/2012, 09:59:08, Note,1
07/07/2012, 09:59:17, Note,1
07/07/2012, 09:59:19, Note,1
07/07/2012, 09:59:27, Note,4
07/07/2012, 09:59:30, Note,4
07/07/2012, 09:59:33, Note,1
07/07/2012, 09:59:33, Note,4
07/07/2012, 09:59:36, Note,1
07/07/2012, 09:59:42, Note,4
07/07/2012, 09:59:47, Note,1
07/07/2012, 09:59:51, Note,1
07/07/2012, 09:59:52, Note,1
07/07/2012, 09:59:53, Note,4
07/07/2012, 10:00:01, Note,1
07/07/2012, 10:00:05, Note,1
07/07/2012, 10:00:05, Note,1
07/07/2012, 10:00:05, Note,1
07/07/2012, 10:00:11, Note,1
07/07/2012, 10:00:11, Note,1
07/07/2012, 10:00:17, Note,1
07/07/2012, 10:00:17, Note,1
07/07/2012, 10:00:23, Note,1
07/07/2012, 10:00:24, Note,1
07/07/2012, 10:00:27, Note,1
07/07/2012, 10:00:32, Note,1
07/07/2012, 10:00:34, Note,6
07/07/2012, 10:00:34, Note,5
07/07/2012, 10:00:35, Note,4
07/07/2012, 10:00:35, Note,5
07/07/2012, 10:00:36, Note,6
07/07/2012, 10:00:36, Note,5
07/07/2012, 10:00:36, Note,4
07/07/2012, 10:00:37, Note,4
07/07/2012, 10:00:37, Note,5
07/07/2012, 10:00:37, Note,6
07/07/2012, 10:00:37, Note,6
07/07/2012, 10:00:37, Note,4
07/07/2012, 10:00:38, Note,5
07/07/2012, 10:00:39, Note,2
07/07/2012, 10:00:39, Note,1
07/07/2012, 10:00:40, Note,1
07/07/2012, 10:00:40, Note,1
07/07/2012, 10:00:40, Switching to instrument 1
07/07/2012, 10:00:42, Note,1
07/07/2012, 10:00:43, Note,2
07/07/2012, 10:00:43, Note,5
07/07/2012, 10:00:43, Note,4
07/07/2012, 10:00:43, Note,5
07/07/2012, 10:00:43, Note,6
07/07/2012, 10:00:44, Note,2
07/07/2012, 10:00:44, Note,1
07/07/2012, 10:00:44, Note,2
07/07/2012, 10:00:44, Note,1
07/07/2012, 10:00:44, Note,2
07/07/2012, 10:00:47, Note,1
07/07/2012, 10:00:47, Note,2
07/07/2012, 10:00:50, Switching to instrument 2
07/07/2012, 10:00:51, Note,6
07/07/2012, 10:00:51, Note,5
07/07/2012, 10:00:51, Note,4
07/07/2012, 10:00:51, Note,2
07/07/2012, 10:00:52, Note,5
07/07/2012, 10:00:52, Note,6
07/07/2012, 10:00:55, Note,1
07/07/2012, 10:00:55, Note,2
07/07/2012, 10:00:56, Note,4
07/07/2012, 10:00:56, Note,4
07/07/2012, 10:00:56, Note,5
07/07/2012, 10:00:56, Note,6
07/07/2012, 10:00:56, Note,4
07/07/2012, 10:00:57, Note,6
07/07/2012, 10:00:57, Note,5
07/07/2012, 10:00:57, Note,4
07/07/2012, 10:00:57, Note,2
07/07/2012, 10:00:57, Note,1
07/07/2012, 10:00:59, Note,1
07/07/2012, 10:00:59, Switching to instrument 3
07/07/2012, 10:01:01, Note,1
07/07/2012, 10:01:02, Note,1
07/07/2012, 10:01:02, Note,4
07/07/2012, 10:01:02, Note,5
07/07/2012, 10:01:02, Note,2
07/07/2012, 10:01:02, Note,4
07/07/2012, 10:01:02, Note,6
07/07/2012, 10:01:03, Note,1
07/07/2012, 10:01:03, Note,2
07/07/2012, 10:01:03, Note,4
07/07/2012, 10:01:04, Note,5
07/07/2012, 10:01:04, Note,6
07/07/2012, 10:01:04, Note,6
07/07/2012, 10:01:04, Note,6
07/07/2012, 10:01:05, Note,5
07/07/2012, 10:01:05, Note,4
07/07/2012, 10:01:05, Note,2
07/07/2012, 10:01:05, Note,1
07/07/2012, 10:01:05, Note,1
07/07/2012, 10:01:06, Note,1
07/07/2012, 10:01:06, Note,4
07/07/2012, 10:01:06, Note,5
07/07/2012, 10:01:06, Note,6
07/07/2012, 10:01:07, Note,6
07/07/2012, 10:01:08, Note,2
07/07/2012, 10:01:08, Note,1
07/07/2012, 10:01:09, Note,1
07/07/2012, 10:01:09, Note,5
07/07/2012, 10:01:10, Note,6
07/07/2012, 10:01:10, Note,6
07/07/2012, 10:01:10, Note,5
07/07/2012, 10:01:10, Note,4
07/07/2012, 10:01:10, Note,1
07/07/2012, 10:01:10, Note,1
07/07/2012, 10:01:11, Note,2
07/07/2012, 10:01:11, Note,5
07/07/2012, 10:01:11, Note,5
07/07/2012, 10:01:11, Note,4
07/07/2012, 10:01:11, Note,2
07/07/2012, 10:01:11, Note,1
07/07/2012, 10:01:12, Note,2
07/07/2012, 10:01:16, Switching to instrument 4
07/07/2012, 10:01:17, Note,1
07/07/2012, 10:01:18, Note,1
07/07/2012, 10:01:18, Note,4
07/07/2012, 10:01:19, Note,5
07/07/2012, 10:01:19, Note,4
07/07/2012, 10:01:20, Note,6
07/07/2012, 10:01:20, Note,5
