Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
05/14/2011, 16:47:24, Screen Saver
05/14/2011, 16:47:35, Screen Saver
05/14/2011, 16:47:46, Screen Saver
05/14/2011, 16:47:57, Screen Saver
05/14/2011, 16:48:08, Screen Saver
05/14/2011, 16:48:19, Screen Saver
05/14/2011, 16:48:30, Screen Saver
05/14/2011, 16:48:41, Screen Saver
05/14/2011, 16:48:52, Screen Saver
05/14/2011, 16:49:03, Screen Saver
05/14/2011, 16:49:14, Screen Saver
05/14/2011, 16:49:25, Screen Saver
05/14/2011, 16:49:36, Screen Saver
05/14/2011, 16:49:47, Screen Saver
05/14/2011, 16:49:58, Screen Saver
05/14/2011, 16:50:09, Screen Saver
05/14/2011, 16:50:20, Screen Saver
05/14/2011, 16:50:23, Note,7
05/14/2011, 16:50:24, Note,6
05/14/2011, 16:50:25, Note,5
05/14/2011, 16:50:25, Note,5
05/14/2011, 16:50:25, Note,4
05/14/2011, 16:50:26, Note,3
05/14/2011, 16:50:27, Note,1
05/14/2011, 16:50:28, Note,1
05/14/2011, 16:50:28, Note,1
05/14/2011, 16:50:28, Note,1
05/14/2011, 16:50:28, Note,1
05/14/2011, 16:50:28, Note,1
05/14/2011, 16:50:28, Note,1
05/14/2011, 16:50:29, Note,2
05/14/2011, 16:50:29, Note,3
05/14/2011, 16:50:29, Note,4
05/14/2011, 16:50:29, Note,6
05/14/2011, 16:50:29, Note,7
05/14/2011, 16:50:29, Note,8
05/14/2011, 16:50:30, Note,7
05/14/2011, 16:50:30, Note,6
05/14/2011, 16:50:30, Note,5
05/14/2011, 16:50:31, Note,4
05/14/2011, 16:50:31, Note,3
05/14/2011, 16:50:31, Note,2
05/14/2011, 16:50:31, Note,1
05/14/2011, 16:50:31, Note,8
05/14/2011, 16:50:32, Note,5
05/14/2011, 16:50:32, Note,5
05/14/2011, 16:50:34, Note,8
05/14/2011, 16:50:35, Note,7
05/14/2011, 16:50:35, Note,6
05/14/2011, 16:50:35, Note,4
05/14/2011, 16:50:36, Note,2
05/14/2011, 16:50:36, Note,1
05/14/2011, 16:50:38, Switching to instrument 0
05/14/2011, 16:50:40, Note,1
05/14/2011, 16:50:40, Note,1
