Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
05/18/2011, 15:37:36, Screen Saver
05/18/2011, 15:37:47, Screen Saver
05/18/2011, 15:37:58, Screen Saver
05/18/2011, 15:38:09, Screen Saver
05/18/2011, 15:38:20, Screen Saver
05/18/2011, 15:38:31, Screen Saver
05/18/2011, 15:38:42, Screen Saver
05/18/2011, 15:38:53, Screen Saver
05/18/2011, 15:39:04, Screen Saver
05/18/2011, 15:39:15, Screen Saver
05/18/2011, 15:39:26, Screen Saver
05/18/2011, 15:39:37, Screen Saver
05/18/2011, 15:39:48, Screen Saver
05/18/2011, 15:39:59, Screen Saver
05/18/2011, 15:40:10, Screen Saver
05/18/2011, 15:40:21, Screen Saver
05/18/2011, 15:40:32, Screen Saver
05/18/2011, 15:40:43, Screen Saver
05/18/2011, 15:40:54, Screen Saver
05/18/2011, 15:41:05, Screen Saver
05/18/2011, 15:41:16, Screen Saver
05/18/2011, 15:41:27, Screen Saver
05/18/2011, 15:41:38, Screen Saver
05/18/2011, 15:41:49, Screen Saver
05/18/2011, 15:42:00, Screen Saver
05/18/2011, 15:42:11, Screen Saver
05/18/2011, 15:42:22, Screen Saver
05/18/2011, 15:42:33, Screen Saver
05/18/2011, 15:42:44, Screen Saver
05/18/2011, 15:42:55, Screen Saver
05/18/2011, 15:43:06, Screen Saver
05/18/2011, 15:43:17, Screen Saver
05/18/2011, 15:43:28, Screen Saver
05/18/2011, 15:43:36, Note,1
05/18/2011, 15:43:36, Note,2
05/18/2011, 15:43:36, Note,4
05/18/2011, 15:43:37, Note,6
05/18/2011, 15:43:37, Note,7
05/18/2011, 15:43:37, Note,7
05/18/2011, 15:43:37, Note,4
05/18/2011, 15:43:37, Note,2
05/18/2011, 15:43:38, Note,4
05/18/2011, 15:43:38, Note,5
05/18/2011, 15:43:38, Note,7
05/18/2011, 15:43:38, Note,4
05/18/2011, 15:43:38, Note,6
05/18/2011, 15:43:38, Note,2
05/18/2011, 15:43:40, Note,1
05/18/2011, 15:43:40, Note,2
05/18/2011, 15:43:41, Note,6
05/18/2011, 15:43:41, Note,7
05/18/2011, 15:43:41, Note,8
05/18/2011, 15:43:42, Note,4
05/18/2011, 15:43:42, Note,4
05/18/2011, 15:43:42, Note,2
05/18/2011, 15:43:42, Note,1
05/18/2011, 15:43:43, Note,1
05/18/2011, 15:43:43, Note,2
05/18/2011, 15:43:43, Note,3
05/18/2011, 15:43:43, Note,4
05/18/2011, 15:43:43, Note,4
05/18/2011, 15:43:43, Note,7
05/18/2011, 15:43:43, Note,6
05/18/2011, 15:43:43, Note,8
05/18/2011, 15:43:43, Note,7
05/18/2011, 15:43:44, Note,8
05/18/2011, 15:43:44, Note,1
05/18/2011, 15:43:44, Note,1
05/18/2011, 15:43:44, Note,1
05/18/2011, 15:43:44, Note,7
05/18/2011, 15:43:44, Note,6
05/18/2011, 15:43:44, Note,5
05/18/2011, 15:43:44, Note,7
05/18/2011, 15:43:45, Note,5
05/18/2011, 15:43:45, Note,4
05/18/2011, 15:43:45, Note,5
05/18/2011, 15:43:45, Note,6
05/18/2011, 15:43:45, Note,7
05/18/2011, 15:43:45, Note,8
05/18/2011, 15:43:46, Note,2
05/18/2011, 15:43:46, Note,7
05/18/2011, 15:43:46, Note,6
05/18/2011, 15:43:46, Note,4
05/18/2011, 15:43:46, Note,7
05/18/2011, 15:43:46, Note,1
05/18/2011, 15:43:46, Note,7
05/18/2011, 15:43:46, Note,8
05/18/2011, 15:43:46, Note,7
05/18/2011, 15:43:46, Note,3
05/18/2011, 15:43:47, Note,7
05/18/2011, 15:43:47, Note,7
05/18/2011, 15:43:47, Note,7
05/18/2011, 15:43:49, Note,5
05/18/2011, 15:43:49, Note,8
05/18/2011, 15:43:49, Note,5
05/18/2011, 15:43:49, Note,4
05/18/2011, 15:43:49, Note,7
05/18/2011, 15:43:50, Note,6
05/18/2011, 15:43:50, Note,2
05/18/2011, 15:43:50, Switching to instrument 0
05/18/2011, 15:43:50, Note,5
05/18/2011, 15:43:51, Note,4
05/18/2011, 15:43:51, Note,4
05/18/2011, 15:43:52, Note,3
05/18/2011, 15:43:53, Note,2
05/18/2011, 15:43:53, Note,2
05/18/2011, 15:43:54, Note,2
05/18/2011, 15:43:54, Note,2
05/18/2011, 15:43:56, Note,2
05/18/2011, 15:43:56, Note,2
05/18/2011, 15:43:57, Note,2
05/18/2011, 15:43:57, Note,1
05/18/2011, 15:43:57, Note,4
05/18/2011, 15:43:57, Note,6
05/18/2011, 15:43:57, Note,4
05/18/2011, 15:43:57, Note,7
05/18/2011, 15:43:58, Note,6
05/18/2011, 15:43:58, Note,8
