Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
06/08/2011, 08:49:03, Screen Saver
06/08/2011, 08:49:14, Screen Saver
06/08/2011, 08:49:25, Screen Saver
06/08/2011, 08:49:36, Screen Saver
06/08/2011, 08:49:47, Screen Saver
06/08/2011, 08:49:58, Screen Saver
06/08/2011, 08:50:09, Screen Saver
06/08/2011, 08:50:20, Screen Saver
06/08/2011, 08:50:31, Screen Saver
06/08/2011, 08:50:42, Screen Saver
06/08/2011, 08:50:53, Screen Saver
06/08/2011, 08:51:04, Screen Saver
06/08/2011, 08:51:15, Screen Saver
06/08/2011, 08:51:26, Screen Saver
06/08/2011, 08:51:37, Screen Saver
06/08/2011, 08:51:48, Screen Saver
06/08/2011, 08:51:59, Screen Saver
06/08/2011, 08:52:10, Screen Saver
06/08/2011, 08:52:21, Screen Saver
06/08/2011, 08:52:32, Screen Saver
06/08/2011, 08:52:43, Screen Saver
06/08/2011, 08:52:54, Screen Saver
06/08/2011, 08:53:05, Screen Saver
06/08/2011, 08:53:16, Screen Saver
06/08/2011, 08:53:27, Screen Saver
06/08/2011, 08:53:38, Screen Saver
06/08/2011, 08:53:49, Screen Saver
06/08/2011, 08:54:00, Screen Saver
06/08/2011, 08:54:11, Screen Saver
06/08/2011, 08:54:22, Screen Saver
06/08/2011, 08:54:33, Screen Saver
06/08/2011, 08:54:44, Screen Saver
06/08/2011, 08:54:55, Screen Saver
06/08/2011, 08:55:06, Screen Saver
06/08/2011, 08:55:17, Screen Saver
06/08/2011, 08:55:28, Screen Saver
06/08/2011, 08:55:39, Screen Saver
06/08/2011, 08:55:50, Screen Saver
06/08/2011, 08:56:01, Screen Saver
06/08/2011, 08:56:12, Screen Saver
06/08/2011, 08:56:23, Screen Saver
06/08/2011, 08:56:34, Screen Saver
06/08/2011, 08:56:45, Screen Saver
06/08/2011, 08:56:56, Screen Saver
06/08/2011, 08:57:07, Screen Saver
06/08/2011, 08:57:18, Screen Saver
06/08/2011, 08:57:29, Screen Saver
06/08/2011, 08:57:40, Screen Saver
06/08/2011, 08:57:51, Screen Saver
06/08/2011, 08:58:02, Screen Saver
06/08/2011, 08:58:13, Screen Saver
06/08/2011, 08:58:24, Screen Saver
06/08/2011, 08:58:35, Screen Saver
06/08/2011, 08:58:46, Screen Saver
06/08/2011, 08:58:57, Screen Saver
06/08/2011, 08:59:08, Screen Saver
06/08/2011, 08:59:19, Screen Saver
06/08/2011, 08:59:30, Screen Saver
06/08/2011, 08:59:30, Note,8
06/08/2011, 08:59:34, Note,8
06/08/2011, 08:59:41, Note,8
06/08/2011, 08:59:42, Note,8
06/08/2011, 08:59:48, Note,8
06/08/2011, 08:59:50, Note,8
06/08/2011, 08:59:51, Note,8
06/08/2011, 08:59:52, Note,8
06/08/2011, 08:59:53, Note,8
06/08/2011, 08:59:56, Note,8
06/08/2011, 08:59:58, Note,8
06/08/2011, 08:59:58, Note,8
06/08/2011, 09:00:00, Note,8
06/08/2011, 09:00:03, Note,8
06/08/2011, 09:00:13, Screen Saver
06/08/2011, 09:00:15, Note,8
06/08/2011, 09:00:15, Note,8
06/08/2011, 09:00:20, Note,8
06/08/2011, 09:00:22, Note,8
06/08/2011, 09:00:22, Note,8
06/08/2011, 09:00:25, Note,8
06/08/2011, 09:00:25, Note,8
06/08/2011, 09:00:31, Note,8
06/08/2011, 09:00:38, Note,8
06/08/2011, 09:00:39, Note,8
06/08/2011, 09:00:42, Note,8
06/08/2011, 09:00:45, Note,8
06/08/2011, 09:00:46, Note,8
06/08/2011, 09:00:46, Note,8
06/08/2011, 09:00:46, Note,8
06/08/2011, 09:00:49, Note,8
06/08/2011, 09:00:58, Note,8
06/08/2011, 09:01:02, Note,8
06/08/2011, 09:01:02, Note,8
06/08/2011, 09:01:04, Note,8
06/08/2011, 09:01:04, Note,8
06/08/2011, 09:01:06, Note,8
06/08/2011, 09:01:08, Note,8
06/08/2011, 09:01:09, Note,8
06/08/2011, 09:01:09, Note,8
06/08/2011, 09:01:12, Note,8
06/08/2011, 09:01:13, Note,8
06/08/2011, 09:01:14, Note,8
06/08/2011, 09:01:14, Note,8
06/08/2011, 09:01:17, Note,8
06/08/2011, 09:01:18, Note,8
06/08/2011, 09:01:22, Note,8
06/08/2011, 09:01:25, Note,8
06/08/2011, 09:01:25, Note,8
06/08/2011, 09:01:26, Note,8
06/08/2011, 09:01:26, Note,8
06/08/2011, 09:01:28, Note,8
06/08/2011, 09:01:32, Note,8
06/08/2011, 09:01:34, Note,8
06/08/2011, 09:01:39, Note,8
06/08/2011, 09:01:40, Note,8
06/08/2011, 09:01:43, Note,8
06/08/2011, 09:01:43, Note,8
06/08/2011, 09:01:43, Note,8
06/08/2011, 09:01:45, Note,8
06/08/2011, 09:01:45, Note,8
06/08/2011, 09:01:46, Note,8
06/08/2011, 09:01:47, Note,8
06/08/2011, 09:01:47, Note,8
06/08/2011, 09:01:47, Note,8
06/08/2011, 09:01:48, Note,8
06/08/2011, 09:01:49, Note,8
06/08/2011, 09:01:49, Note,8
06/08/2011, 09:01:49, Note,8
06/08/2011, 09:01:50, Note,8
06/08/2011, 09:01:56, Note,8
06/08/2011, 09:01:57, Note,8
06/08/2011, 09:01:58, Note,8
06/08/2011, 09:01:58, Note,8
06/08/2011, 09:02:06, Note,8
06/08/2011, 09:02:07, Note,8
06/08/2011, 09:02:09, Note,8
06/08/2011, 09:02:09, Note,8
06/08/2011, 09:02:12, Note,8
06/08/2011, 09:02:14, Note,8
