Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
06/10/2011, 07:41:29, Screen Saver
06/10/2011, 07:41:40, Screen Saver
06/10/2011, 07:41:51, Screen Saver
06/10/2011, 07:42:02, Screen Saver
06/10/2011, 07:42:13, Screen Saver
06/10/2011, 07:42:24, Screen Saver
06/10/2011, 07:42:35, Screen Saver
06/10/2011, 07:42:46, Screen Saver
06/10/2011, 07:42:57, Screen Saver
06/10/2011, 07:43:08, Screen Saver
06/10/2011, 07:43:19, Screen Saver
06/10/2011, 07:43:30, Screen Saver
06/10/2011, 07:43:41, Screen Saver
06/10/2011, 07:43:52, Screen Saver
06/10/2011, 07:44:03, Screen Saver
06/10/2011, 07:44:14, Screen Saver
06/10/2011, 07:44:17, Note,1
06/10/2011, 07:44:17, Note,1
06/10/2011, 07:44:28, Screen Saver
06/10/2011, 07:44:28, Note,7
06/10/2011, 07:44:28, Note,8
06/10/2011, 07:44:31, Note,7
06/10/2011, 07:44:32, Note,6
06/10/2011, 07:44:33, Note,5
06/10/2011, 07:44:34, Note,4
06/10/2011, 07:44:35, Note,3
06/10/2011, 07:44:38, Note,2
06/10/2011, 07:44:41, Note,1
06/10/2011, 07:44:41, Note,2
06/10/2011, 07:44:41, Note,2
06/10/2011, 07:44:42, Note,3
06/10/2011, 07:44:43, Note,4
06/10/2011, 07:44:44, Note,5
06/10/2011, 07:44:44, Note,5
06/10/2011, 07:44:44, Note,6
06/10/2011, 07:44:45, Note,7
06/10/2011, 07:44:46, Note,8
06/10/2011, 07:44:47, Note,8
06/10/2011, 07:44:47, Note,8
06/10/2011, 07:44:48, Switching to instrument 0
06/10/2011, 07:44:50, Note,8
06/10/2011, 07:44:51, Note,7
06/10/2011, 07:44:51, Note,6
06/10/2011, 07:44:52, Note,5
06/10/2011, 07:44:53, Note,4
06/10/2011, 07:44:53, Note,3
06/10/2011, 07:44:54, Note,2
06/10/2011, 07:44:54, Note,1
06/10/2011, 07:44:55, Switching to instrument 1
06/10/2011, 07:44:56, Note,2
06/10/2011, 07:44:57, Note,1
