Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
06/14/2011, 08:56:47, Screen Saver
06/14/2011, 08:56:58, Screen Saver
06/14/2011, 08:57:09, Screen Saver
06/14/2011, 08:57:20, Screen Saver
06/14/2011, 08:57:31, Screen Saver
06/14/2011, 08:57:42, Screen Saver
06/14/2011, 08:57:53, Screen Saver
06/14/2011, 08:58:04, Screen Saver
06/14/2011, 08:58:15, Screen Saver
06/14/2011, 08:58:26, Screen Saver
06/14/2011, 08:58:37, Screen Saver
06/14/2011, 08:58:48, Screen Saver
06/14/2011, 08:58:59, Screen Saver
06/14/2011, 08:59:10, Screen Saver
06/14/2011, 08:59:21, Screen Saver
06/14/2011, 08:59:32, Screen Saver
06/14/2011, 08:59:43, Screen Saver
06/14/2011, 08:59:54, Screen Saver
06/14/2011, 09:00:05, Screen Saver
06/14/2011, 09:00:16, Screen Saver
06/14/2011, 09:00:27, Screen Saver
06/14/2011, 09:00:38, Screen Saver
06/14/2011, 09:00:49, Screen Saver
06/14/2011, 09:01:00, Screen Saver
06/14/2011, 09:01:11, Screen Saver
06/14/2011, 09:01:22, Screen Saver
06/14/2011, 09:01:33, Screen Saver
06/14/2011, 09:01:44, Screen Saver
06/14/2011, 09:01:55, Screen Saver
06/14/2011, 09:02:06, Screen Saver
06/14/2011, 09:02:17, Screen Saver
06/14/2011, 09:02:28, Screen Saver
06/14/2011, 09:02:39, Screen Saver
06/14/2011, 09:02:50, Screen Saver
06/14/2011, 09:03:01, Screen Saver
06/14/2011, 09:03:12, Screen Saver
06/14/2011, 09:03:23, Screen Saver
06/14/2011, 09:03:34, Screen Saver
06/14/2011, 09:03:45, Screen Saver
06/14/2011, 09:03:56, Screen Saver
06/14/2011, 09:04:07, Screen Saver
06/14/2011, 09:04:18, Screen Saver
06/14/2011, 09:04:29, Screen Saver
06/14/2011, 09:04:40, Screen Saver
06/14/2011, 09:04:51, Screen Saver
06/14/2011, 09:05:02, Screen Saver
06/14/2011, 09:05:13, Screen Saver
06/14/2011, 09:05:24, Screen Saver
06/14/2011, 09:05:35, Screen Saver
06/14/2011, 09:05:46, Screen Saver
06/14/2011, 09:05:57, Screen Saver
06/14/2011, 09:06:08, Screen Saver
06/14/2011, 09:06:19, Screen Saver
06/14/2011, 09:06:30, Screen Saver
06/14/2011, 09:06:41, Screen Saver
06/14/2011, 09:06:52, Screen Saver
06/14/2011, 09:07:03, Screen Saver
06/14/2011, 09:07:14, Screen Saver
06/14/2011, 09:07:25, Screen Saver
06/14/2011, 09:07:36, Screen Saver
06/14/2011, 09:07:47, Screen Saver
06/14/2011, 09:07:58, Screen Saver
06/14/2011, 09:08:09, Screen Saver
06/14/2011, 09:08:20, Screen Saver
06/14/2011, 09:08:31, Screen Saver
06/14/2011, 09:08:42, Screen Saver
06/14/2011, 09:08:53, Screen Saver
06/14/2011, 09:09:04, Screen Saver
06/14/2011, 09:09:15, Screen Saver
06/14/2011, 09:09:23, Note,4
06/14/2011, 09:09:25, Note,4
06/14/2011, 09:09:30, Note,8
06/14/2011, 09:09:41, Screen Saver
06/14/2011, 09:09:47, Note,8
06/14/2011, 09:09:53, Note,4
06/14/2011, 09:09:53, Note,8
06/14/2011, 09:09:57, Note,4
06/14/2011, 09:09:59, Note,4
06/14/2011, 09:10:00, Note,8
06/14/2011, 09:10:01, Note,8
06/14/2011, 09:10:01, Note,8
06/14/2011, 09:10:04, Note,8
06/14/2011, 09:10:08, Note,8
06/14/2011, 09:10:09, Note,8
06/14/2011, 09:10:13, Note,8
06/14/2011, 09:10:16, Note,8
06/14/2011, 09:10:17, Note,4
06/14/2011, 09:10:19, Note,8
06/14/2011, 09:10:20, Note,8
06/14/2011, 09:10:20, Note,8
06/14/2011, 09:10:22, Note,8
06/14/2011, 09:10:23, Note,8
06/14/2011, 09:10:23, Note,8
06/14/2011, 09:10:25, Note,8
06/14/2011, 09:10:26, Note,8
06/14/2011, 09:10:28, Note,8
06/14/2011, 09:10:29, Note,8
06/14/2011, 09:10:31, Note,8
06/14/2011, 09:10:32, Note,8
06/14/2011, 09:10:33, Note,8
06/14/2011, 09:10:34, Note,8
06/14/2011, 09:10:34, Note,8
06/14/2011, 09:10:34, Note,8
06/14/2011, 09:10:35, Note,8
06/14/2011, 09:10:36, Note,8
06/14/2011, 09:10:36, Note,8
06/14/2011, 09:10:36, Note,8
06/14/2011, 09:10:36, Note,8
06/14/2011, 09:10:37, Note,4
06/14/2011, 09:10:37, Note,8
06/14/2011, 09:10:38, Note,8
06/14/2011, 09:10:39, Note,8
06/14/2011, 09:10:40, Note,8
06/14/2011, 09:10:41, Note,8
06/14/2011, 09:10:44, Note,8
06/14/2011, 09:10:44, Note,8
06/14/2011, 09:10:45, Note,8
06/14/2011, 09:10:45, Note,8
06/14/2011, 09:10:48, Note,8
06/14/2011, 09:10:49, Note,8
06/14/2011, 09:10:49, Note,4
06/14/2011, 09:10:50, Note,4
06/14/2011, 09:10:51, Note,8
06/14/2011, 09:10:51, Note,8
06/14/2011, 09:10:52, Note,8
06/14/2011, 09:10:53, Note,8
06/14/2011, 09:10:53, Note,4
06/14/2011, 09:10:53, Note,8
06/14/2011, 09:10:53, Note,8
06/14/2011, 09:10:55, Note,8
06/14/2011, 09:10:55, Note,8
06/14/2011, 09:10:56, Note,8
06/14/2011, 09:10:56, Note,8
06/14/2011, 09:10:56, Note,8
06/14/2011, 09:10:57, Note,8
06/14/2011, 09:11:00, Note,8
06/14/2011, 09:11:00, Note,8
06/14/2011, 09:11:01, Note,8
06/14/2011, 09:11:02, Note,8
06/14/2011, 09:11:03, Note,8
06/14/2011, 09:11:04, Note,8
06/14/2011, 09:11:05, Note,8
06/14/2011, 09:11:06, Note,8
06/14/2011, 09:11:06, Note,8
06/14/2011, 09:11:07, Note,8
06/14/2011, 09:11:07, Note,8
06/14/2011, 09:11:08, Note,8
06/14/2011, 09:11:09, Note,8
