Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
06/17/2011, 16:08:59, Screen Saver
06/17/2011, 16:09:10, Screen Saver
06/17/2011, 16:09:21, Screen Saver
06/17/2011, 16:09:32, Screen Saver
06/17/2011, 16:09:43, Screen Saver
06/17/2011, 16:09:54, Screen Saver
06/17/2011, 16:10:05, Screen Saver
06/17/2011, 16:10:16, Screen Saver
06/17/2011, 16:10:27, Screen Saver
06/17/2011, 16:10:38, Screen Saver
06/17/2011, 16:10:49, Screen Saver
06/17/2011, 16:11:00, Screen Saver
06/17/2011, 16:11:11, Screen Saver
06/17/2011, 16:11:22, Screen Saver
06/17/2011, 16:11:33, Screen Saver
06/17/2011, 16:11:44, Screen Saver
06/17/2011, 16:11:55, Screen Saver
06/17/2011, 16:12:06, Screen Saver
06/17/2011, 16:12:17, Screen Saver
06/17/2011, 16:12:28, Screen Saver
06/17/2011, 16:12:39, Screen Saver
06/17/2011, 16:12:50, Screen Saver
06/17/2011, 16:13:01, Screen Saver
06/17/2011, 16:13:12, Screen Saver
06/17/2011, 16:13:23, Screen Saver
06/17/2011, 16:13:29, Note,8
06/17/2011, 16:13:29, Note,6
06/17/2011, 16:13:29, Note,5
06/17/2011, 16:13:30, Note,5
06/17/2011, 16:13:30, Note,6
06/17/2011, 16:13:30, Note,7
06/17/2011, 16:13:30, Note,8
06/17/2011, 16:13:30, Note,8
06/17/2011, 16:13:31, Note,7
06/17/2011, 16:13:31, Note,6
06/17/2011, 16:13:31, Note,4
06/17/2011, 16:13:31, Note,3
06/17/2011, 16:13:31, Note,2
06/17/2011, 16:13:31, Note,2
06/17/2011, 16:13:31, Note,3
06/17/2011, 16:13:31, Note,6
06/17/2011, 16:13:32, Note,7
06/17/2011, 16:13:33, Switching to instrument 0
06/17/2011, 16:13:34, Note,1
06/17/2011, 16:13:34, Note,1
06/17/2011, 16:13:35, Note,1
06/17/2011, 16:13:35, Note,2
06/17/2011, 16:13:35, Note,1
06/17/2011, 16:13:35, Note,1
06/17/2011, 16:13:36, Note,3
06/17/2011, 16:13:36, Note,5
06/17/2011, 16:13:36, Note,6
06/17/2011, 16:13:36, Note,5
06/17/2011, 16:13:37, Note,3
06/17/2011, 16:13:37, Note,2
06/17/2011, 16:13:37, Note,1
06/17/2011, 16:13:37, Note,1
06/17/2011, 16:13:37, Note,2
06/17/2011, 16:13:38, Note,5
06/17/2011, 16:13:38, Note,6
06/17/2011, 16:13:38, Note,7
06/17/2011, 16:13:38, Note,8
06/17/2011, 16:13:38, Note,6
06/17/2011, 16:13:38, Note,7
06/17/2011, 16:13:38, Note,5
06/17/2011, 16:13:38, Note,3
06/17/2011, 16:13:38, Note,1
06/17/2011, 16:13:39, Note,1
06/17/2011, 16:13:39, Note,3
06/17/2011, 16:13:39, Note,4
06/17/2011, 16:13:39, Note,5
06/17/2011, 16:13:39, Note,7
06/17/2011, 16:13:39, Note,6
06/17/2011, 16:13:39, Note,5
06/17/2011, 16:13:39, Note,4
06/17/2011, 16:13:39, Note,3
06/17/2011, 16:13:40, Note,2
06/17/2011, 16:13:40, Note,1
06/17/2011, 16:13:40, Note,2
06/17/2011, 16:13:40, Note,3
06/17/2011, 16:13:40, Note,4
06/17/2011, 16:13:40, Note,5
06/17/2011, 16:13:41, Note,5
06/17/2011, 16:13:41, Note,4
06/17/2011, 16:13:41, Note,3
06/17/2011, 16:13:41, Note,2
06/17/2011, 16:13:42, Note,3
06/17/2011, 16:13:42, Note,4
06/17/2011, 16:13:43, Note,2
06/17/2011, 16:13:43, Note,8
06/17/2011, 16:13:44, Note,8
06/17/2011, 16:13:45, Note,8
06/17/2011, 16:13:46, Switching to instrument 1
06/17/2011, 16:13:47, Note,7
06/17/2011, 16:13:47, Note,6
06/17/2011, 16:13:47, Note,4
06/17/2011, 16:13:47, Note,4
06/17/2011, 16:13:47, Note,3
06/17/2011, 16:13:48, Note,5
06/17/2011, 16:13:48, Note,2
06/17/2011, 16:13:48, Note,2
06/17/2011, 16:13:48, Note,3
06/17/2011, 16:13:48, Note,2
06/17/2011, 16:13:48, Note,4
06/17/2011, 16:13:48, Note,6
06/17/2011, 16:13:48, Note,2
06/17/2011, 16:13:48, Note,3
06/17/2011, 16:13:48, Note,7
06/17/2011, 16:13:48, Note,6
06/17/2011, 16:13:49, Note,1
06/17/2011, 16:13:49, Note,2
06/17/2011, 16:13:49, Note,3
06/17/2011, 16:13:49, Note,6
06/17/2011, 16:13:49, Note,3
06/17/2011, 16:13:49, Note,7
06/17/2011, 16:13:49, Note,3
06/17/2011, 16:13:49, Note,2
06/17/2011, 16:13:49, Note,4
06/17/2011, 16:13:49, Note,8
06/17/2011, 16:13:49, Note,3
06/17/2011, 16:13:49, Note,1
06/17/2011, 16:13:49, Note,2
06/17/2011, 16:13:50, Note,1
06/17/2011, 16:13:50, Note,3
06/17/2011, 16:13:50, Note,8
06/17/2011, 16:13:50, Note,2
06/17/2011, 16:13:50, Note,4
06/17/2011, 16:13:50, Note,3
06/17/2011, 16:13:50, Note,7
06/17/2011, 16:13:50, Note,5
06/17/2011, 16:13:50, Note,3
06/17/2011, 16:13:50, Note,4
06/17/2011, 16:13:50, Note,7
06/17/2011, 16:13:50, Note,2
06/17/2011, 16:13:50, Note,1
06/17/2011, 16:13:50, Note,8
06/17/2011, 16:13:50, Note,2
06/17/2011, 16:13:50, Note,2
06/17/2011, 16:13:50, Note,1
06/17/2011, 16:13:50, Note,8
06/17/2011, 16:13:51, Note,3
06/17/2011, 16:13:51, Note,4
06/17/2011, 16:13:51, Note,3
06/17/2011, 16:13:51, Note,5
06/17/2011, 16:13:51, Note,7
06/17/2011, 16:13:51, Note,4
06/17/2011, 16:13:51, Note,2
06/17/2011, 16:13:51, Note,1
06/17/2011, 16:13:51, Note,2
06/17/2011, 16:13:51, Note,7
06/17/2011, 16:13:51, Note,2
06/17/2011, 16:13:52, Note,3
06/17/2011, 16:13:52, Note,2
06/17/2011, 16:13:52, Note,4
06/17/2011, 16:13:52, Note,3
06/17/2011, 16:13:52, Note,5
06/17/2011, 16:13:52, Note,6
06/17/2011, 16:13:52, Note,8
06/17/2011, 16:13:52, Note,6
06/17/2011, 16:13:52, Note,4
06/17/2011, 16:13:52, Note,4
06/17/2011, 16:13:52, Note,8
06/17/2011, 16:13:52, Note,2
06/17/2011, 16:13:52, Note,7
06/17/2011, 16:13:53, Note,1
06/17/2011, 16:13:53, Note,7
06/17/2011, 16:13:53, Note,8
06/17/2011, 16:13:53, Note,8
06/17/2011, 16:13:53, Note,1
06/17/2011, 16:13:53, Note,2
