Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
07/02/2011, 16:39:38, Screen Saver
07/02/2011, 16:39:49, Screen Saver
07/02/2011, 16:40:00, Screen Saver
07/02/2011, 16:40:11, Screen Saver
07/02/2011, 16:40:22, Screen Saver
07/02/2011, 16:40:33, Screen Saver
07/02/2011, 16:40:44, Screen Saver
07/02/2011, 16:40:55, Screen Saver
07/02/2011, 16:41:06, Screen Saver
07/02/2011, 16:41:17, Screen Saver
07/02/2011, 16:41:28, Screen Saver
07/02/2011, 16:41:39, Note,1
07/02/2011, 16:41:39, Note,2
07/02/2011, 16:41:39, Note,3
07/02/2011, 16:41:40, Note,3
07/02/2011, 16:41:40, Note,3
07/02/2011, 16:41:40, Note,2
07/02/2011, 16:41:40, Note,1
07/02/2011, 16:41:40, Note,2
07/02/2011, 16:41:41, Note,1
07/02/2011, 16:41:41, Note,3
07/02/2011, 16:41:41, Note,4
07/02/2011, 16:41:41, Note,5
07/02/2011, 16:41:41, Note,4
07/02/2011, 16:41:41, Note,6
07/02/2011, 16:41:41, Note,7
07/02/2011, 16:41:41, Note,5
07/02/2011, 16:41:41, Note,8
07/02/2011, 16:41:42, Note,7
07/02/2011, 16:41:42, Note,5
07/02/2011, 16:41:42, Note,4
07/02/2011, 16:41:43, Note,2
07/02/2011, 16:41:43, Note,1
07/02/2011, 16:41:43, Note,1
07/02/2011, 16:41:43, Note,2
07/02/2011, 16:41:44, Note,1
07/02/2011, 16:41:44, Note,2
07/02/2011, 16:41:44, Note,3
07/02/2011, 16:41:44, Note,3
07/02/2011, 16:41:44, Note,2
07/02/2011, 16:41:44, Note,4
07/02/2011, 16:41:44, Note,4
07/02/2011, 16:41:45, Note,4
07/02/2011, 16:41:45, Note,2
07/02/2011, 16:41:45, Note,5
07/02/2011, 16:41:45, Note,5
07/02/2011, 16:41:47, Note,3
07/02/2011, 16:41:48, Note,5
07/02/2011, 16:41:48, Note,5
07/02/2011, 16:41:48, Note,5
07/02/2011, 16:41:48, Note,5
07/02/2011, 16:41:48, Note,5
07/02/2011, 16:41:48, Note,5
07/02/2011, 16:41:49, Note,5
07/02/2011, 16:41:49, Note,5
07/02/2011, 16:41:49, Note,5
07/02/2011, 16:41:49, Note,4
07/02/2011, 16:41:49, Note,2
07/02/2011, 16:41:50, Note,4
07/02/2011, 16:41:50, Note,3
07/02/2011, 16:41:50, Note,4
07/02/2011, 16:41:50, Note,3
07/02/2011, 16:41:50, Note,2
