Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
07/07/2011, 08:49:29, Screen Saver
07/07/2011, 08:49:40, Screen Saver
07/07/2011, 08:49:51, Screen Saver
07/07/2011, 08:50:01, Note,8
07/07/2011, 08:50:01, Note,7
07/07/2011, 08:50:02, Note,6
07/07/2011, 08:50:02, Note,4
07/07/2011, 08:50:02, Note,3
07/07/2011, 08:50:02, Note,3
07/07/2011, 08:50:03, Note,2
07/07/2011, 08:50:03, Note,1
07/07/2011, 08:50:04, Note,1
07/07/2011, 08:50:04, Note,1
07/07/2011, 08:50:05, Note,1
07/07/2011, 08:50:06, Note,1
07/07/2011, 08:50:06, Note,1
07/07/2011, 08:50:07, Note,1
07/07/2011, 08:50:08, Note,1
07/07/2011, 08:50:08, Note,2
07/07/2011, 08:50:09, Note,3
07/07/2011, 08:50:10, Note,4
07/07/2011, 08:50:11, Note,5
07/07/2011, 08:50:12, Note,6
07/07/2011, 08:50:13, Note,7
07/07/2011, 08:50:13, Note,7
07/07/2011, 08:50:14, Note,8
07/07/2011, 08:50:16, Note,1
07/07/2011, 08:50:16, Note,1
07/07/2011, 08:50:16, Switching to instrument 0
07/07/2011, 08:50:16, Note,1
07/07/2011, 08:50:17, Note,1
07/07/2011, 08:50:17, Note,1
07/07/2011, 08:50:18, Note,1
07/07/2011, 08:50:18, Note,2
07/07/2011, 08:50:19, Note,3
07/07/2011, 08:50:23, Note,5
07/07/2011, 08:50:24, Note,6
07/07/2011, 08:50:24, Note,6
07/07/2011, 08:50:24, Note,7
07/07/2011, 08:50:24, Note,7
07/07/2011, 08:50:26, Note,8
07/07/2011, 08:50:26, Note,7
07/07/2011, 08:50:27, Note,7
07/07/2011, 08:50:27, Note,7
07/07/2011, 08:50:27, Note,6
07/07/2011, 08:50:27, Note,6
07/07/2011, 08:50:27, Note,6
07/07/2011, 08:50:27, Note,5
07/07/2011, 08:50:27, Note,5
07/07/2011, 08:50:27, Note,5
07/07/2011, 08:50:28, Note,4
07/07/2011, 08:50:28, Note,4
07/07/2011, 08:50:28, Note,4
07/07/2011, 08:50:28, Note,3
07/07/2011, 08:50:28, Note,3
07/07/2011, 08:50:28, Note,3
07/07/2011, 08:50:29, Note,2
07/07/2011, 08:50:29, Note,1
07/07/2011, 08:50:29, Note,1
07/07/2011, 08:50:29, Note,1
07/07/2011, 08:50:30, Note,1
07/07/2011, 08:50:30, Note,2
07/07/2011, 08:50:30, Note,2
07/07/2011, 08:50:30, Note,5
07/07/2011, 08:50:30, Note,6
07/07/2011, 08:50:30, Note,7
07/07/2011, 08:50:30, Note,7
07/07/2011, 08:50:31, Note,8
07/07/2011, 08:50:31, Note,8
07/07/2011, 08:50:31, Note,8
07/07/2011, 08:50:31, Note,7
07/07/2011, 08:50:31, Note,6
07/07/2011, 08:50:31, Note,6
07/07/2011, 08:50:31, Note,5
07/07/2011, 08:50:32, Note,5
07/07/2011, 08:50:32, Note,4
07/07/2011, 08:50:32, Note,4
07/07/2011, 08:50:33, Note,2
07/07/2011, 08:50:34, Note,1
07/07/2011, 08:50:34, Note,1
07/07/2011, 08:50:34, Note,1
07/07/2011, 08:50:34, Note,2
07/07/2011, 08:50:34, Note,3
07/07/2011, 08:50:34, Note,4
07/07/2011, 08:50:34, Note,5
07/07/2011, 08:50:34, Note,6
07/07/2011, 08:50:34, Note,6
07/07/2011, 08:50:35, Note,7
07/07/2011, 08:50:35, Note,8
07/07/2011, 08:50:35, Note,8
07/07/2011, 08:50:36, Note,6
07/07/2011, 08:50:36, Note,5
07/07/2011, 08:50:36, Note,5
07/07/2011, 08:50:36, Note,4
07/07/2011, 08:50:37, Note,3
07/07/2011, 08:50:37, Note,2
07/07/2011, 08:50:37, Note,1
07/07/2011, 08:50:38, Note,2
07/07/2011, 08:50:38, Note,3
07/07/2011, 08:50:38, Note,5
07/07/2011, 08:50:39, Note,7
07/07/2011, 08:50:39, Note,5
07/07/2011, 08:50:39, Note,8
07/07/2011, 08:50:39, Note,8
07/07/2011, 08:50:39, Note,7
07/07/2011, 08:50:39, Note,4
07/07/2011, 08:50:40, Switching to instrument 1
07/07/2011, 08:50:41, Note,1
07/07/2011, 08:50:41, Note,1
07/07/2011, 08:50:42, Note,3
07/07/2011, 08:50:42, Note,4
07/07/2011, 08:50:42, Note,5
07/07/2011, 08:50:42, Note,6
07/07/2011, 08:50:42, Note,6
07/07/2011, 08:50:42, Switching to instrument 2
07/07/2011, 08:50:42, Note,5
07/07/2011, 08:50:42, Note,4
07/07/2011, 08:50:42, Note,3
07/07/2011, 08:50:42, Note,2
07/07/2011, 08:50:43, Note,1
07/07/2011, 08:50:43, Note,1
07/07/2011, 08:50:43, Note,2
07/07/2011, 08:50:44, Note,3
07/07/2011, 08:50:44, Note,4
07/07/2011, 08:50:44, Note,5
07/07/2011, 08:50:44, Note,6
07/07/2011, 08:50:44, Note,5
07/07/2011, 08:50:44, Switching to instrument 3
07/07/2011, 08:50:44, Note,2
07/07/2011, 08:50:45, Note,1
