Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
07/14/2011, 15:41:06, Screen Saver
07/14/2011, 15:41:17, Screen Saver
07/14/2011, 15:41:28, Screen Saver
07/14/2011, 15:41:39, Screen Saver
07/14/2011, 15:41:50, Screen Saver
07/14/2011, 15:42:01, Screen Saver
07/14/2011, 15:42:12, Screen Saver
07/14/2011, 15:42:23, Screen Saver
07/14/2011, 15:42:34, Screen Saver
07/14/2011, 15:42:45, Screen Saver
07/14/2011, 15:42:56, Screen Saver
07/14/2011, 15:43:07, Screen Saver
07/14/2011, 15:43:18, Screen Saver
07/14/2011, 15:43:29, Screen Saver
07/14/2011, 15:43:40, Screen Saver
07/14/2011, 15:43:51, Screen Saver
07/14/2011, 15:44:02, Screen Saver
07/14/2011, 15:44:13, Screen Saver
07/14/2011, 15:44:24, Screen Saver
07/14/2011, 15:44:35, Screen Saver
07/14/2011, 15:44:46, Screen Saver
07/14/2011, 15:44:57, Screen Saver
07/14/2011, 15:45:08, Screen Saver
07/14/2011, 15:45:19, Screen Saver
07/14/2011, 15:45:30, Screen Saver
07/14/2011, 15:45:41, Screen Saver
07/14/2011, 15:45:52, Screen Saver
07/14/2011, 15:45:52, Note,8
07/14/2011, 15:45:52, Note,7
07/14/2011, 15:45:53, Note,5
07/14/2011, 15:45:53, Note,3
07/14/2011, 15:45:53, Note,2
07/14/2011, 15:45:54, Note,1
07/14/2011, 15:45:54, Switching to instrument 0
07/14/2011, 15:45:55, Note,1
07/14/2011, 15:45:55, Note,1
07/14/2011, 15:45:56, Note,2
07/14/2011, 15:45:56, Note,3
07/14/2011, 15:45:56, Note,3
07/14/2011, 15:45:57, Note,3
07/14/2011, 15:45:57, Note,2
07/14/2011, 15:45:58, Switching to instrument 1
07/14/2011, 15:45:58, Note,1
07/14/2011, 15:45:59, Note,2
07/14/2011, 15:46:00, Note,3
07/14/2011, 15:46:00, Note,3
07/14/2011, 15:46:00, Note,2
07/14/2011, 15:46:01, Switching to instrument 2
07/14/2011, 15:46:02, Note,1
07/14/2011, 15:46:02, Note,1
07/14/2011, 15:46:03, Note,2
07/14/2011, 15:46:03, Note,2
07/14/2011, 15:46:04, Note,1
07/14/2011, 15:46:04, Note,1
07/14/2011, 15:46:05, Note,2
07/14/2011, 15:46:05, Note,3
07/14/2011, 15:46:06, Note,2
07/14/2011, 15:46:07, Note,1
07/14/2011, 15:46:07, Note,1
