Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
07/15/2011, 15:49:18, Screen Saver
07/15/2011, 15:49:29, Screen Saver
07/15/2011, 15:49:40, Screen Saver
07/15/2011, 15:49:51, Screen Saver
07/15/2011, 15:50:02, Screen Saver
07/15/2011, 15:50:13, Screen Saver
07/15/2011, 15:50:24, Screen Saver
07/15/2011, 15:50:35, Screen Saver
07/15/2011, 15:50:46, Screen Saver
07/15/2011, 15:50:57, Screen Saver
07/15/2011, 15:51:08, Screen Saver
07/15/2011, 15:51:19, Screen Saver
07/15/2011, 15:51:25, Note,6
07/15/2011, 15:51:25, Note,2
07/15/2011, 15:51:25, Note,1
07/15/2011, 15:51:25, Note,1
07/15/2011, 15:51:26, Note,1
07/15/2011, 15:51:26, Note,6
07/15/2011, 15:51:26, Note,2
07/15/2011, 15:51:26, Note,3
07/15/2011, 15:51:26, Note,6
07/15/2011, 15:51:27, Note,4
07/15/2011, 15:51:27, Note,3
07/15/2011, 15:51:27, Note,2
07/15/2011, 15:51:27, Note,3
07/15/2011, 15:51:27, Note,4
07/15/2011, 15:51:27, Note,5
07/15/2011, 15:51:27, Note,2
07/15/2011, 15:51:27, Note,6
07/15/2011, 15:51:27, Note,3
07/15/2011, 15:51:27, Note,7
07/15/2011, 15:51:27, Note,4
07/15/2011, 15:51:28, Note,4
07/15/2011, 15:51:28, Note,7
07/15/2011, 15:51:28, Note,6
07/15/2011, 15:51:28, Note,3
07/15/2011, 15:51:28, Note,4
07/15/2011, 15:51:29, Note,2
07/15/2011, 15:51:29, Note,5
07/15/2011, 15:51:29, Note,6
07/15/2011, 15:51:29, Note,4
07/15/2011, 15:51:29, Note,7
07/15/2011, 15:51:29, Note,5
07/15/2011, 15:51:29, Note,5
07/15/2011, 15:51:29, Note,4
07/15/2011, 15:51:29, Note,7
07/15/2011, 15:51:30, Note,3
07/15/2011, 15:51:30, Note,6
07/15/2011, 15:51:30, Note,5
07/15/2011, 15:51:30, Note,4
07/15/2011, 15:51:30, Note,4
07/15/2011, 15:51:30, Note,5
07/15/2011, 15:51:30, Note,6
07/15/2011, 15:51:30, Note,7
