Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
07/19/2011, 15:48:17, Screen Saver
07/19/2011, 15:48:28, Screen Saver
07/19/2011, 15:48:32, Note,7
07/19/2011, 15:48:32, Note,6
07/19/2011, 15:48:32, Note,4
07/19/2011, 15:48:32, Note,5
07/19/2011, 15:48:32, Note,4
07/19/2011, 15:48:33, Note,4
07/19/2011, 15:48:33, Note,4
07/19/2011, 15:48:33, Note,5
07/19/2011, 15:48:33, Note,6
07/19/2011, 15:48:33, Note,7
07/19/2011, 15:48:33, Note,4
07/19/2011, 15:48:33, Note,7
07/19/2011, 15:48:33, Note,7
07/19/2011, 15:48:33, Note,6
07/19/2011, 15:48:33, Note,8
07/19/2011, 15:48:34, Note,7
07/19/2011, 15:48:34, Note,6
07/19/2011, 15:48:34, Note,4
07/19/2011, 15:48:34, Note,7
07/19/2011, 15:48:34, Note,3
07/19/2011, 15:48:34, Note,6
07/19/2011, 15:48:34, Note,2
07/19/2011, 15:48:34, Note,1
07/19/2011, 15:48:35, Note,1
07/19/2011, 15:48:35, Note,4
07/19/2011, 15:48:35, Note,4
07/19/2011, 15:48:35, Note,2
07/19/2011, 15:48:35, Note,6
07/19/2011, 15:48:35, Note,4
07/19/2011, 15:48:36, Note,5
07/19/2011, 15:48:36, Note,7
07/19/2011, 15:48:36, Note,6
07/19/2011, 15:48:36, Note,7
07/19/2011, 15:48:37, Note,2
07/19/2011, 15:48:37, Note,2
07/19/2011, 15:48:37, Note,2
07/19/2011, 15:48:37, Note,2
07/19/2011, 15:48:37, Note,3
07/19/2011, 15:48:37, Note,4
07/19/2011, 15:48:37, Note,1
07/19/2011, 15:48:38, Note,7
07/19/2011, 15:48:38, Note,2
07/19/2011, 15:48:38, Note,8
07/19/2011, 15:48:38, Note,4
07/19/2011, 15:48:38, Note,7
07/19/2011, 15:48:38, Note,6
07/19/2011, 15:48:38, Note,5
07/19/2011, 15:48:39, Note,4
07/19/2011, 15:48:39, Note,2
07/19/2011, 15:48:39, Note,2
07/19/2011, 15:48:39, Note,4
07/19/2011, 15:48:39, Note,2
07/19/2011, 15:48:39, Note,2
07/19/2011, 15:48:40, Note,6
07/19/2011, 15:48:40, Note,4
07/19/2011, 15:48:40, Note,7
07/19/2011, 15:48:40, Note,7
07/19/2011, 15:48:40, Note,6
07/19/2011, 15:48:40, Note,4
07/19/2011, 15:48:40, Note,6
07/19/2011, 15:48:41, Note,5
07/19/2011, 15:48:41, Note,5
07/19/2011, 15:48:41, Note,2
07/19/2011, 15:48:41, Note,5
07/19/2011, 15:48:41, Note,6
07/19/2011, 15:48:42, Note,2
07/19/2011, 15:48:42, Note,2
07/19/2011, 15:48:43, Note,1
07/19/2011, 15:48:43, Note,2
07/19/2011, 15:48:43, Note,1
07/19/2011, 15:48:43, Note,2
07/19/2011, 15:48:43, Note,2
07/19/2011, 15:48:43, Note,1
07/19/2011, 15:48:43, Note,1
07/19/2011, 15:48:43, Note,1
07/19/2011, 15:48:43, Note,1
07/19/2011, 15:48:44, Note,2
07/19/2011, 15:48:44, Note,4
07/19/2011, 15:48:44, Note,6
07/19/2011, 15:48:44, Note,7
07/19/2011, 15:48:45, Note,7
07/19/2011, 15:48:45, Note,6
07/19/2011, 15:48:45, Note,5
07/19/2011, 15:48:45, Note,4
07/19/2011, 15:48:45, Note,5
07/19/2011, 15:48:45, Note,4
07/19/2011, 15:48:46, Note,5
07/19/2011, 15:48:46, Note,3
07/19/2011, 15:48:46, Note,3
07/19/2011, 15:48:47, Note,7
07/19/2011, 15:48:48, Note,7
07/19/2011, 15:48:48, Note,7
07/19/2011, 15:48:48, Note,7
07/19/2011, 15:48:49, Note,6
07/19/2011, 15:48:50, Note,7
07/19/2011, 15:48:51, Note,8
07/19/2011, 15:48:51, Note,7
07/19/2011, 15:48:52, Note,7
07/19/2011, 15:48:53, Note,6
07/19/2011, 15:48:53, Note,5
07/19/2011, 15:48:53, Note,4
07/19/2011, 15:48:53, Note,2
07/19/2011, 15:49:04, Screen Saver
07/19/2011, 15:49:08, Note,8
07/19/2011, 15:49:08, Note,8
07/19/2011, 15:49:08, Note,8
07/19/2011, 15:49:09, Note,8
07/19/2011, 15:49:10, Note,7
07/19/2011, 15:49:10, Note,6
07/19/2011, 15:49:11, Note,5
07/19/2011, 15:49:11, Note,5
07/19/2011, 15:49:12, Note,4
07/19/2011, 15:49:17, Note,4
07/19/2011, 15:49:19, Note,3
07/19/2011, 15:49:22, Note,2
