Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
07/21/2011, 15:44:16, Switching to instrument 0
07/21/2011, 15:44:18, Note,1
07/21/2011, 15:44:18, Note,2
07/21/2011, 15:44:19, Note,2
07/21/2011, 15:44:19, Note,2
07/21/2011, 15:44:20, Note,3
07/21/2011, 15:44:20, Note,4
07/21/2011, 15:44:20, Note,6
07/21/2011, 15:44:20, Note,6
07/21/2011, 15:44:25, Note,2
07/21/2011, 15:44:25, Note,3
07/21/2011, 15:44:26, Note,5
07/21/2011, 15:44:26, Note,6
07/21/2011, 15:44:26, Note,4
07/21/2011, 15:44:26, Note,3
07/21/2011, 15:44:26, Note,2
07/21/2011, 15:44:26, Note,1
07/21/2011, 15:44:27, Note,3
07/21/2011, 15:44:27, Note,1
07/21/2011, 15:44:27, Note,5
07/21/2011, 15:44:27, Note,3
07/21/2011, 15:44:27, Note,6
07/21/2011, 15:44:27, Note,7
07/21/2011, 15:44:27, Note,4
07/21/2011, 15:44:27, Note,8
07/21/2011, 15:44:28, Note,5
07/21/2011, 15:44:28, Note,4
07/21/2011, 15:44:28, Note,7
07/21/2011, 15:44:28, Note,4
07/21/2011, 15:44:28, Note,7
07/21/2011, 15:44:28, Note,6
07/21/2011, 15:44:28, Note,5
07/21/2011, 15:44:28, Note,5
07/21/2011, 15:44:28, Note,2
07/21/2011, 15:44:28, Note,5
07/21/2011, 15:44:28, Note,5
07/21/2011, 15:44:28, Note,2
07/21/2011, 15:44:28, Note,4
07/21/2011, 15:44:28, Note,2
07/21/2011, 15:44:28, Note,1
07/21/2011, 15:44:28, Note,3
07/21/2011, 15:44:28, Note,2
07/21/2011, 15:44:28, Note,4
07/21/2011, 15:44:29, Note,1
07/21/2011, 15:44:29, Note,5
07/21/2011, 15:44:29, Note,2
07/21/2011, 15:44:29, Note,7
07/21/2011, 15:44:30, Note,4
07/21/2011, 15:44:30, Note,4
07/21/2011, 15:44:30, Switching to instrument 1
07/21/2011, 15:44:32, Note,2
07/21/2011, 15:44:32, Note,5
07/21/2011, 15:44:32, Note,2
07/21/2011, 15:44:32, Note,5
07/21/2011, 15:44:32, Note,4
07/21/2011, 15:44:32, Note,6
07/21/2011, 15:44:33, Note,3
07/21/2011, 15:44:33, Note,6
07/21/2011, 15:44:33, Note,3
07/21/2011, 15:44:33, Note,7
07/21/2011, 15:44:33, Note,4
07/21/2011, 15:44:33, Note,8
07/21/2011, 15:44:33, Note,5
07/21/2011, 15:44:33, Note,4
07/21/2011, 15:44:33, Note,3
07/21/2011, 15:44:33, Note,8
07/21/2011, 15:44:33, Note,4
07/21/2011, 15:44:33, Note,7
07/21/2011, 15:44:34, Note,5
07/21/2011, 15:44:34, Note,2
07/21/2011, 15:44:34, Note,4
07/21/2011, 15:44:34, Note,1
07/21/2011, 15:44:34, Note,3
07/21/2011, 15:44:34, Note,2
07/21/2011, 15:44:34, Note,2
07/21/2011, 15:44:34, Note,5
07/21/2011, 15:44:35, Note,6
07/21/2011, 15:44:35, Note,3
07/21/2011, 15:44:35, Note,7
07/21/2011, 15:44:35, Note,4
07/21/2011, 15:44:35, Note,3
07/21/2011, 15:44:35, Note,7
07/21/2011, 15:44:35, Note,6
07/21/2011, 15:44:35, Note,3
07/21/2011, 15:44:35, Note,6
07/21/2011, 15:44:35, Note,4
07/21/2011, 15:44:35, Note,7
07/21/2011, 15:44:36, Note,6
07/21/2011, 15:44:36, Note,2
07/21/2011, 15:44:36, Note,6
07/21/2011, 15:44:36, Note,3
07/21/2011, 15:44:36, Note,7
07/21/2011, 15:44:36, Note,4
07/21/2011, 15:44:36, Note,4
07/21/2011, 15:44:36, Note,7
07/21/2011, 15:44:36, Note,5
07/21/2011, 15:44:36, Note,8
07/21/2011, 15:44:36, Note,5
07/21/2011, 15:44:37, Note,4
07/21/2011, 15:44:37, Note,7
07/21/2011, 15:44:37, Note,4
07/21/2011, 15:44:37, Note,4
07/21/2011, 15:44:37, Note,6
07/21/2011, 15:44:37, Note,5
07/21/2011, 15:44:37, Note,6
07/21/2011, 15:44:38, Note,5
07/21/2011, 15:44:38, Note,2
07/21/2011, 15:44:38, Note,4
07/21/2011, 15:44:38, Note,2
