00/00/0000, 00:00:00, Screen Saver
07/18/2012, 09:49:53, Screen Saver
07/18/2012, 09:50:04, Screen Saver
07/18/2012, 09:50:15, Screen Saver
07/18/2012, 09:50:26, Screen Saver
07/18/2012, 09:50:37, Screen Saver
07/18/2012, 09:50:48, Screen Saver
07/18/2012, 09:50:59, Screen Saver
07/18/2012, 09:51:10, Screen Saver
07/18/2012, 09:51:21, Screen Saver
07/18/2012, 09:51:33, Screen Saver
07/18/2012, 09:51:44, Screen Saver
07/18/2012, 09:51:55, Screen Saver
07/18/2012, 09:52:06, Screen Saver
07/18/2012, 09:52:17, Screen Saver
07/18/2012, 09:52:28, Screen Saver
07/18/2012, 09:52:39, Screen Saver
07/18/2012, 09:52:47, Note,8
07/18/2012, 09:52:49, Note,8
07/18/2012, 09:52:50, Note,8
07/18/2012, 09:52:50, Note,8
07/18/2012, 09:52:50, Note,8
07/18/2012, 09:52:53, Note,8
07/18/2012, 09:52:53, Note,6
07/18/2012, 09:52:54, Note,5
07/18/2012, 09:52:54, Note,1
07/18/2012, 09:52:54, Note,4
07/18/2012, 09:52:54, Note,3
07/18/2012, 09:52:55, Note,1
07/18/2012, 09:52:55, Note,2
07/18/2012, 09:52:55, Note,2
07/18/2012, 09:52:55, Note,1
07/18/2012, 09:52:55, Note,2
07/18/2012, 09:52:55, Note,1
07/18/2012, 09:52:55, Note,2
07/18/2012, 09:52:55, Note,1
07/18/2012, 09:52:55, Note,2
07/18/2012, 09:52:55, Note,1
07/18/2012, 09:52:56, Note,2
07/18/2012, 09:52:56, Note,2
07/18/2012, 09:52:57, Note,2
07/18/2012, 09:52:58, Note,1
07/18/2012, 09:53:00, Note,1
07/18/2012, 09:53:01, Note,1
07/18/2012, 09:53:01, Note,1
07/18/2012, 09:53:01, Note,1
07/18/2012, 09:53:02, Note,3
07/18/2012, 09:53:05, Note,5
07/18/2012, 09:53:09, Note,2
07/18/2012, 09:53:09, Note,1
07/18/2012, 09:53:09, Note,1
07/18/2012, 09:53:09, Note,2
07/18/2012, 09:53:10, Switching to instrument 1
07/18/2012, 09:53:12, Switching to instrument 2
07/18/2012, 09:53:14, Note,1
07/18/2012, 09:53:15, Note,1
07/18/2012, 09:53:17, Switching to instrument 3
07/18/2012, 09:53:18, Note,1
07/18/2012, 09:53:18, Note,1
07/18/2012, 09:53:19, Note,1
07/18/2012, 09:53:20, Note,1
07/18/2012, 09:53:20, Note,1
07/18/2012, 09:53:20, Note,1
07/18/2012, 09:53:21, Note,2
07/18/2012, 09:53:22, Note,2
07/18/2012, 09:53:23, Note,3
07/18/2012, 09:53:24, Note,2
07/18/2012, 09:53:24, Note,3
07/18/2012, 09:53:24, Note,3
07/18/2012, 09:53:25, Note,3
07/18/2012, 09:53:25, Note,3
07/18/2012, 09:53:25, Note,2
07/18/2012, 09:53:25, Note,2
07/18/2012, 09:53:26, Note,2
07/18/2012, 09:53:26, Note,2
07/18/2012, 09:53:26, Note,2
07/18/2012, 09:53:27, Note,2
07/18/2012, 09:53:27, Note,2
07/18/2012, 09:53:27, Note,2
07/18/2012, 09:53:28, Note,2
07/18/2012, 09:53:28, Note,2
07/18/2012, 09:53:31, Note,2
07/18/2012, 09:53:34, Note,3
07/18/2012, 09:53:34, Note,3
07/18/2012, 09:53:35, Note,3
07/18/2012, 09:53:37, Note,3
07/18/2012, 09:53:38, Note,4
07/18/2012, 09:53:39, Note,4
07/18/2012, 09:53:41, Note,4
07/18/2012, 09:53:41, Note,4
07/18/2012, 09:53:41, Note,4
07/18/2012, 09:53:41, Note,4
07/18/2012, 09:53:41, Note,4
07/18/2012, 09:53:42, Note,4
07/18/2012, 09:53:42, Note,4
07/18/2012, 09:53:42, Note,4
07/18/2012, 09:53:42, Note,4
07/18/2012, 09:53:42, Note,4
07/18/2012, 09:53:42, Note,4
07/18/2012, 09:53:42, Note,4
07/18/2012, 09:53:42, Note,4
07/18/2012, 09:53:43, Note,4
07/18/2012, 09:53:44, Note,5
07/18/2012, 09:53:44, Note,5
07/18/2012, 09:53:47, Note,5
07/18/2012, 09:53:48, Note,6
07/18/2012, 09:53:49, Note,6
07/18/2012, 09:53:49, Note,6
07/18/2012, 09:53:49, Note,6
07/18/2012, 09:53:49, Note,6
07/18/2012, 09:53:49, Note,6
07/18/2012, 09:53:49, Note,6
07/18/2012, 09:53:50, Note,6
07/18/2012, 09:53:50, Note,6
07/18/2012, 09:54:01, Screen Saver
07/18/2012, 09:54:03, Note,1
07/18/2012, 09:54:13, Screen Saver
07/18/2012, 09:54:19, Note,6
07/18/2012, 09:54:20, Note,6
07/18/2012, 09:54:20, Note,6
07/18/2012, 09:54:20, Note,6
07/18/2012, 09:54:20, Note,6
07/18/2012, 09:54:21, Note,6
07/18/2012, 09:54:21, Note,6
07/18/2012, 09:54:21, Note,6
07/18/2012, 09:54:21, Note,6
07/18/2012, 09:54:22, Note,6
07/18/2012, 09:54:22, Note,6
07/18/2012, 09:54:22, Note,6
07/18/2012, 09:54:22, Note,6
07/18/2012, 09:54:22, Note,6
07/18/2012, 09:54:22, Note,6
07/18/2012, 09:54:23, Note,6
07/18/2012, 09:54:23, Note,6
07/18/2012, 09:54:23, Note,6
07/18/2012, 09:54:23, Note,6
