Configured
00/00/0000, 00:00:00, Master Init Complete
08/15/2012, 09:40:43, Screen Saver
08/15/2012, 09:40:43, Note,8
08/15/2012, 09:40:44, Note,7
08/15/2012, 09:40:44, Note,6
08/15/2012, 09:40:44, Note,5
08/15/2012, 09:40:44, Note,3
08/15/2012, 09:40:47, Note,8
08/15/2012, 09:40:47, Note,7
08/15/2012, 09:40:47, Note,6
08/15/2012, 09:40:47, Note,4
08/15/2012, 09:40:48, Note,3
08/15/2012, 09:40:48, Note,2
08/15/2012, 09:40:48, Note,1
08/15/2012, 09:40:48, Note,1
08/15/2012, 09:40:48, Note,2
08/15/2012, 09:40:49, Note,3
08/15/2012, 09:40:49, Note,4
08/15/2012, 09:40:49, Note,5
08/15/2012, 09:40:49, Note,7
08/15/2012, 09:40:49, Note,8
08/15/2012, 09:40:50, Note,8
08/15/2012, 09:40:50, Note,7
08/15/2012, 09:40:50, Note,6
08/15/2012, 09:40:50, Note,5
08/15/2012, 09:40:50, Note,4
08/15/2012, 09:40:50, Note,2
08/15/2012, 09:40:51, Note,2
08/15/2012, 09:40:51, Note,4
08/15/2012, 09:40:51, Note,5
08/15/2012, 09:40:54, Note,8
08/15/2012, 09:40:54, Note,7
08/15/2012, 09:40:55, Note,6
08/15/2012, 09:40:55, Note,5
08/15/2012, 09:40:55, Note,3
08/15/2012, 09:40:56, Note,2
08/15/2012, 09:40:56, Note,1
08/15/2012, 09:40:59, Note,8
08/15/2012, 09:41:04, Switching to instrument 1
08/15/2012, 09:41:05, Note,1
08/15/2012, 09:41:05, Note,2
08/15/2012, 09:41:05, Note,3
08/15/2012, 09:41:06, Note,8
08/15/2012, 09:41:06, Note,7
08/15/2012, 09:41:06, Note,6
08/15/2012, 09:41:07, Note,4
08/15/2012, 09:41:07, Note,6
08/15/2012, 09:41:07, Note,7
08/15/2012, 09:41:07, Note,5
08/15/2012, 09:41:07, Note,4
08/15/2012, 09:41:07, Note,6
08/15/2012, 09:41:07, Note,7
08/15/2012, 09:41:08, Note,7
08/15/2012, 09:41:08, Note,6
08/15/2012, 09:41:08, Note,4
08/15/2012, 09:41:08, Note,3
08/15/2012, 09:41:08, Note,2
08/15/2012, 09:41:08, Note,1
08/15/2012, 09:41:08, Note,2
08/15/2012, 09:41:08, Note,3
08/15/2012, 09:41:08, Note,4
08/15/2012, 09:41:09, Note,5
08/15/2012, 09:41:09, Note,6
08/15/2012, 09:41:09, Note,7
08/15/2012, 09:41:09, Note,7
08/15/2012, 09:41:09, Note,6
08/15/2012, 09:41:09, Note,5
08/15/2012, 09:41:09, Note,4
08/15/2012, 09:41:09, Note,3
08/15/2012, 09:41:09, Note,2
08/15/2012, 09:41:10, Note,3
08/15/2012, 09:41:10, Note,4
08/15/2012, 09:41:10, Note,5
08/15/2012, 09:41:10, Note,6
08/15/2012, 09:41:10, Note,7
08/15/2012, 09:41:10, Note,7
08/15/2012, 09:41:10, Note,5
08/15/2012, 09:41:10, Note,4
08/15/2012, 09:41:10, Note,3
08/15/2012, 09:41:11, Note,4
08/15/2012, 09:41:11, Note,5
08/15/2012, 09:41:11, Note,6
08/15/2012, 09:41:11, Note,7
08/15/2012, 09:41:11, Note,8
08/15/2012, 09:41:11, Note,7
08/15/2012, 09:41:11, Note,6
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Switching to instrument 2
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Switching to instrument 3
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Switching to instrument 4
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,8
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Switching to noises
08/15/2012, 09:41:12, Note,1
08/15/2012, 09:41:12, Note,2
08/15/2012, 09:41:12, Note,3
08/15/2012, 09:41:12, Note,4
08/15/2012, 09:41:12, Note,5
08/15/2012, 09:41:12, Note,6
08/15/2012, 09:41:12, Note,7
08/15/2012, 09:41:12, Note,8
